archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: A,0.011234,1,0.17398
1,subtype: A,0.032893,1,0.07729
1,10 08 2020: A,0.037705,1,0.068884
1,source: Minna,0.057365,1,0.21307
1,subtype: A2,0.47546,1,0.0029969
1,10 08 2020: A2,0.53538,1,0.0012317
1,NEW 10 2020: A2,0.5643,1,0.0007524
1,source: CCLE,0.98873,1,2.02e-12
1,subtype: N,1,1,1.5031e-09
1,subtype: P,1,1,9.0578e-07
1,subtype: Y,1,1,3.8739e-06
1,subtype: uncl,1,1,0.00010368
1,NEW 10 2020: N,1,1,3.6615e-12
1,NEW 10 2020: P,1,1,9.0578e-07
1,NEW 10 2020: Y,1,1,1.6843e-06
1,10 08 2020: N,1,1,8.6086e-09
1,10 08 2020: P,1,1,9.0578e-07
1,10 08 2020: Y,1,1,1.6843e-06
1,10 08 2020: uncl,1,1,0.00042969
2,source: CCLE,0.0026125,1,0.43015
2,NEW 10 2020: Y,0.0057012,1,0.49875
2,10 08 2020: Y,0.0057012,1,0.49875
2,subtype: Y,0.032541,1,0.28716
2,10 08 2020: N,0.20046,1,0.051234
2,NEW 10 2020: N,0.21913,1,0.043988
2,subtype: N,0.25857,1,0.025275
2,subtype: uncl,0.34761,1,0.024087
2,subtype: A2,0.47546,1,0.0035148
2,10 08 2020: A2,0.53538,1,0.0017448
2,NEW 10 2020: A2,0.5643,1,0.0015376
2,subtype: P,0.66638,1,0.00073651
2,NEW 10 2020: P,0.66638,1,0.00073651
2,10 08 2020: P,0.66638,1,0.00073651
2,subtype: A,0.99962,1,4.0383e-18
2,10 08 2020: A,0.99969,1,9.0967e-19
2,source: Minna,0.99974,1,3.4991e-20
2,NEW 10 2020: A,1,1,2.2298e-22
2,10 08 2020: uncl,1,1,0.00045
3,source: CCLE,0.00025953,1,0.95787
3,subtype: Y,0.0033559,1,0.64865
3,NEW 10 2020: Y,0.0057012,1,0.53721
3,10 08 2020: Y,0.0057012,1,0.53721
3,10 08 2020: uncl,0.0092437,1,0.35036
3,NEW 10 2020: N,0.073282,1,0.23481
3,subtype: N,0.081298,1,0.17582
3,subtype: uncl,0.34761,1,0.024087
3,10 08 2020: N,0.49754,1,0.0056626
3,subtype: P,0.66638,1,0.00097284
3,NEW 10 2020: P,0.66638,1,0.00097284
3,10 08 2020: P,0.66638,1,0.00097284
3,subtype: A2,0.94816,1,1.4142e-07
3,10 08 2020: A2,0.96049,1,3.8214e-08
3,NEW 10 2020: A2,0.96559,1,2.2663e-08
3,10 08 2020: A,0.99574,1,5.2885e-14
3,NEW 10 2020: A,0.99854,1,7.9336e-16
3,subtype: A,0.99962,1,1.9957e-18
3,source: Minna,0.99999,1,1.408e-24
4,source: CCLE,0.0026125,1,0.78362
4,10 08 2020: uncl,0.0092437,1,0.35036
4,NEW 10 2020: N,0.017596,1,0.40674
4,subtype: N,0.017649,1,0.47506
4,subtype: Y,0.032541,1,0.31338
4,NEW 10 2020: Y,0.045961,1,0.25307
4,10 08 2020: Y,0.045961,1,0.25307
4,10 08 2020: N,0.20046,1,0.056073
4,subtype: uncl,0.34761,1,0.024087
4,subtype: P,0.66638,1,0.00081704
4,NEW 10 2020: P,0.66638,1,0.00081704
4,10 08 2020: P,0.66638,1,0.00081704
4,subtype: A2,0.94816,1,1.5398e-07
4,10 08 2020: A2,0.96049,1,4.5483e-08
4,NEW 10 2020: A2,0.96559,1,2.0732e-08
4,10 08 2020: A,0.99574,1,4.6614e-15
4,NEW 10 2020: A,0.99854,1,1.3586e-16
4,subtype: A,0.99962,1,2.1184e-19
4,source: Minna,0.99974,1,1.2854e-18
