archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,5.1336e-09,1,0.99637
1,10 08 2020: Y,5.1336e-09,1,0.99637
1,subtype: Y,1.0239e-07,1,0.98788
1,subtype: P,0.0089655,1,0.18284
1,NEW 10 2020: P,0.0089655,1,0.18284
1,10 08 2020: P,0.0089655,1,0.18284
1,source: CCLE,0.015621,1,0.51827
1,subtype: uncl,0.34761,1,0.021713
1,source: Minna,0.99739,1,2.8647e-14
1,subtype: A,1,1,7.3274e-28
1,subtype: A2,1,1,1.2981e-12
1,subtype: N,1,1,1.3869e-09
1,NEW 10 2020: A,1,1,7.4397e-24
1,NEW 10 2020: A2,1,1,1.2417e-13
1,NEW 10 2020: N,1,1,4.4243e-12
1,10 08 2020: A,1,1,5.2106e-28
1,10 08 2020: A2,1,1,2.7092e-13
1,10 08 2020: N,1,1,8.1662e-09
1,10 08 2020: uncl,1,1,0.00042969
2,10 08 2020: N,1.7264e-13,1,0.99977
2,NEW 10 2020: N,4.9325e-10,1,0.88995
2,subtype: N,2.1689e-08,1,0.97686
2,subtype: uncl,0.049376,1,0.21889
2,source: Minna,0.38448,1,0.0047016
2,source: CCLE,0.82173,1,3.1259e-06
2,subtype: A,1,1,1.2898e-28
2,subtype: A2,1,1,2.7999e-13
2,subtype: P,1,1,9.5485e-07
2,subtype: Y,1,1,3.509e-06
2,NEW 10 2020: A,1,1,5.4676e-25
2,NEW 10 2020: A2,1,1,1.3128e-14
2,NEW 10 2020: P,1,1,9.5485e-07
2,NEW 10 2020: Y,1,1,1.6843e-06
2,10 08 2020: A,1,1,6.7348e-29
2,10 08 2020: A2,1,1,3.0195e-14
2,10 08 2020: P,1,1,9.5485e-07
2,10 08 2020: Y,1,1,1.6843e-06
2,10 08 2020: uncl,1,1,0.00045
3,10 08 2020: A2,1.6489e-09,1,0.75983
3,NEW 10 2020: A2,2.8855e-09,1,0.75937
3,subtype: A2,4.0658e-08,1,0.7022
3,source: CCLE,0.17698,1,0.018109
3,source: Minna,0.93769,1,1.1361e-08
3,subtype: A,0.99962,1,1.9865e-20
3,subtype: N,1,1,1.7319e-10
3,subtype: P,1,1,6.764e-07
3,subtype: Y,1,1,1.5446e-06
3,subtype: uncl,1,1,9.9e-05
3,NEW 10 2020: A,1,1,9.6831e-25
3,NEW 10 2020: N,1,1,4.2006e-14
3,NEW 10 2020: P,1,1,6.764e-07
3,NEW 10 2020: Y,1,1,4.2906e-07
3,10 08 2020: A,1,1,6.4931e-29
3,10 08 2020: N,1,1,1.1588e-10
3,10 08 2020: P,1,1,6.764e-07
3,10 08 2020: Y,1,1,4.2906e-07
3,10 08 2020: uncl,1,1,0.00045
4,NEW 10 2020: A,6.6081e-06,1,0.6708
4,subtype: A,4.1614e-05,1,0.6313
4,10 08 2020: A,5.2963e-05,1,0.23741
4,source: Minna,0.38448,1,0.001677
4,source: CCLE,0.82173,1,8.6201e-07
4,subtype: A2,1,1,2.4969e-12
4,subtype: N,1,1,1.5312e-09
4,subtype: P,1,1,4.6786e-07
4,subtype: Y,1,1,2.3478e-06
4,subtype: uncl,1,1,9.9e-05
4,NEW 10 2020: A2,1,1,1.5919e-13
4,NEW 10 2020: N,1,1,3.9853e-12
4,NEW 10 2020: P,1,1,4.6786e-07
4,NEW 10 2020: Y,1,1,7.0795e-07
4,10 08 2020: A2,1,1,3.8913e-13
4,10 08 2020: N,1,1,5.5237e-09
4,10 08 2020: P,1,1,4.6786e-07
4,10 08 2020: Y,1,1,7.0795e-07
4,10 08 2020: uncl,1,1,0.00045
