NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_COVALENT_CHROMATIN_MODIFICATION	GOBP_COVALENT_CHROMATIN_MODIFICATION	Details ...	421	-0.36611506	-8.449029	0.0	0.0	0.0	4862	tags=61%, list=25%, signal=79%	
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	Details ...	461	-0.3155412	-7.699685	0.0	0.0	0.0	7638	tags=70%, list=39%, signal=113%	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	471	-0.30624586	-7.6779284	0.0	0.0	0.0	6950	tags=66%, list=36%, signal=100%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	Details ...	291	-0.3529444	-7.081175	0.0	0.0	0.0	6006	tags=66%, list=31%, signal=94%	
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	Details ...	388	-0.306815	-7.0404034	0.0	0.0	0.0	7889	tags=71%, list=41%, signal=116%	
GOBP_REGULATION_OF_GTPASE_ACTIVITY	GOBP_REGULATION_OF_GTPASE_ACTIVITY	Details ...	430	-0.29567695	-6.9531374	0.0	0.0	0.0	7722	tags=69%, list=40%, signal=111%	
GOBP_RNA_SPLICING	GOBP_RNA_SPLICING	Details ...	414	-0.29325694	-6.8666396	0.0	0.0	0.0	4849	tags=54%, list=25%, signal=70%	
GOBP_NUCLEAR_TRANSPORT	GOBP_NUCLEAR_TRANSPORT	Details ...	309	-0.3271678	-6.823386	0.0	0.0	0.0	5825	tags=62%, list=30%, signal=87%	
GOBP_PEPTIDYL_LYSINE_MODIFICATION	GOBP_PEPTIDYL_LYSINE_MODIFICATION	Details ...	350	-0.31344184	-6.785922	0.0	0.0	0.0	4907	tags=56%, list=25%, signal=74%	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION	Details ...	261	-0.36230972	-6.7736917	0.0	0.0	0.0	7805	tags=76%, list=40%, signal=125%	
GOBP_MITOTIC_NUCLEAR_DIVISION	GOBP_MITOTIC_NUCLEAR_DIVISION	Details ...	275	-0.34293595	-6.7690187	0.0	0.0	0.0	6440	tags=67%, list=33%, signal=99%	
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	254	-0.35041645	-6.570049	0.0	0.0	0.0	4455	tags=57%, list=23%, signal=74%	
GOBP_ORGANELLE_FISSION	GOBP_ORGANELLE_FISSION	Details ...	424	-0.27387738	-6.558828	0.0	0.0	0.0	5617	tags=56%, list=29%, signal=77%	
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	Details ...	410	-0.27925134	-6.5355825	0.0	0.0	0.0	5928	tags=58%, list=30%, signal=81%	
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE	GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE	Details ...	333	-0.30903792	-6.5282264	0.0	0.0	0.0	4841	tags=55%, list=25%, signal=72%	
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	Details ...	247	-0.35673103	-6.4988675	0.0	0.0	0.0	5672	tags=64%, list=29%, signal=90%	
