archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO_SIGNAL_PEPTIDE_PROCESSING,0.0049572,688.7026,679.7373,1,1
1,GO_REGULATION_OF_PROSTAGLANDIN_SECRETION,0.030713,176.5661,162.0387,1,1
1,GO_NEGATIVE_REGULATION_OF_MACROPHAGE_MIGRATION,0.033245,173.0988,159.026,1,1
1,GO_PROSTAGLANDIN_SECRETION,0.030713,146.4074,134.4119,1,1
1,GO_PROSTAGLANDIN_TRANSPORT,0.027226,126.3331,116.446,1,1
1,GO_POSITIVE_REGULATION_OF_FATTY_ACID_TRANSPORT,0.030713,104.342,95.3589,1,1
1,GO_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING,0.013235,103.3683,93.1957,1,1
1,GO_REGULATION_OF_ICOSANOID_SECRETION,0.028348,102.2712,96.1405,1,1
1,GO_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION,0.00054254,98.6163,122.1641,1,1
1,GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.00040321,86.7168,232.1663,1,1
1,GO_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,0.0015041,81.5221,239.6709,1,1
1,GO_B_CELL_APOPTOTIC_PROCESS,0.030713,78.4712,65.8887,1,1
1,GO_REGULATION_OF_FATTY_ACID_TRANSPORT,0.02951,77.6245,71.2971,1,1
1,GO_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,0.037377,77.1365,71.2926,1,1
1,GO_MEIOTIC_SPINDLE_ORGANIZATION,0.00029789,76.2433,58.8084,1,1
1,GO_PROTEIN_KINASE_A_SIGNALING,0.016475,68.5708,62.6725,1,1
1,GO_AXONAL_TRANSPORT_OF_MITOCHONDRION,0.0052065,65.4874,59.587,1,1
1,GO_CELLULAR_RESPONSE_TO_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_STIMULUS,0.018736,64.3459,45.9762,1,1
1,GO_B_CELL_HOMEOSTASIS,0.037377,63.2188,54.9389,1,1
1,GO_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY,0.00060992,62.1251,51.7373,1,1
1,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,0.027226,58.2691,38.3618,1,1
1,GO_MONOAMINE_TRANSPORT,0.0096484,56.3319,41.9765,1,1
1,GO_PROTEIN_LOCALIZATION_TO_PRESYNAPSE,0.0060238,52.9677,42.0346,1,1
1,GO_NEGATIVE_REGULATION_OF_CATECHOLAMINE_SECRETION,0.013834,50.9223,181.3058,1,1
1,GO_LIPID_EXPORT_FROM_CELL,0.028348,50.7218,44.6342,1,1
1,GO_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,0.0038653,47.7664,44.5953,1,1
1,GO_MAST_CELL_MIGRATION,0.033245,46.996,196.2158,1,1
1,GO_AXO_DENDRITIC_PROTEIN_TRANSPORT,0.0027019,45.8384,38.8775,1,1
1,GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS,0.028348,44.0624,214.2674,1,1
1,GO_PROTEIN_PROCESSING,0.0013481,43.8577,53.8709,1,1
1,GO_RELAXATION_OF_CARDIAC_MUSCLE,0.021265,43.0953,148.0127,1,1
1,GO_WALKING_BEHAVIOR,0.015104,42.1921,33.2001,1,1
1,GO_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY,0.031957,37.6107,21.2792,1,1
