NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELL_CYCLE	GOBP_CELL_CYCLE	Details ...	361	0.33001563	7.005248	0.0	0.0	0.0	1431	tags=71%, list=42%, signal=110%	
GOBP_CELL_CYCLE_PROCESS	GOBP_CELL_CYCLE_PROCESS	Details ...	287	0.35420248	6.5345826	0.0	0.0	0.0	1508	tags=77%, list=44%, signal=126%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	86	0.571805	6.239202	0.0	0.0	0.0	954	tags=84%, list=28%, signal=113%	
GOBP_CHROMOSOME_ORGANIZATION	GOBP_CHROMOSOME_ORGANIZATION	Details ...	189	0.41208297	6.1530504	0.0	0.0	0.0	1325	tags=78%, list=39%, signal=120%	
GOBP_RNA_PROCESSING	GOBP_RNA_PROCESSING	Details ...	150	0.4327817	6.068302	0.0	0.0	0.0	1431	tags=83%, list=42%, signal=137%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	66	0.63472944	6.0468407	0.0	0.0	0.0	1029	tags=92%, list=30%, signal=130%	
GOBP_CELL_DIVISION	GOBP_CELL_DIVISION	Details ...	160	0.40826163	5.9302735	0.0	0.0	0.0	1316	tags=78%, list=39%, signal=120%	
GOBP_MRNA_METABOLIC_PROCESS	GOBP_MRNA_METABOLIC_PROCESS	Details ...	136	0.44176435	5.9053946	0.0	0.0	0.0	1613	tags=90%, list=47%, signal=163%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	83	0.543927	5.78483	0.0	0.0	0.0	1354	tags=93%, list=40%, signal=150%	
GOBP_MITOTIC_CELL_CYCLE	GOBP_MITOTIC_CELL_CYCLE	Details ...	234	0.3386917	5.674127	0.0	0.0	0.0	1431	tags=74%, list=42%, signal=118%	
