Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FOXM1 25889361 ChIP-Seq OE33 AND U2OS Human	27/932	6.85690749616152E-9	4.258139555116304E-6	0	0	4.21553558175971	79.24367706685612	TOP2A;TCERG1;CDCA2;TOMM40;ARL6IP1;NUCKS1;KIF11;SMC4;KIF15;BRIP1;MIS18BP1;NUSAP1;TK1;TMPO;NOP56;TPX2;ANLN;CENPF;PRC1;NCL;ESRP1;HNRNPD;CDK1;CKS2;NCAPD3;KIF20B;EZH2
FOXM1 23109430 ChIP-Seq U2OS Human	14/267	3.5678989353813925E-8	1.0801018776975568E-5	0	0	7.372859025032938	126.43497598437331	TOP2A;CDCA2;ARL6IP1;NUCKS1;KIF11;TPX2;BRIP1;CENPF;MIS18BP1;PRC1;NUSAP1;CDK1;KIF20B;TMPO
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse	30/1239	5.2178834671379556E-8	1.0801018776975568E-5	0	0	3.5288769344420663	59.17428655828679	AVEN;TCERG1;RBM28;TOMM40;DDX46;PREP;SLC7A1;SYNCRIP;UBE2Q2;NUSAP1;TK1;CCT3;DDX39;HELLS;MDH1;PRMT1;TXNRD1;IDH2;NAP1L1;BAZ1A;PGD;GTF2F2;CS;TRAPPC6A;CENPF;NCL;TOMM70A;SNRPF;ABCE1;EZH2
KDM5B 21448134 ChIP-Seq MESCs Mouse	57/3724	3.2667452119586545E-7	5.0716219415658115E-5	0	0	2.417098445595855	36.09767696530515	TOP2A;TCERG1;RBM28;DDX46;NUCKS1;KIF11;LAMC1;SOBP;SMC4;WDR43;SMC2;KIF15;EFTUD2;SYNCRIP;NUSAP1;PSMD1;TMPO;CCT3;HELLS;ARID5B;ESCO2;PGD;FOXP2;KIF4;FRMD5;NCL;G2E3;KIF20B;CDCA2;NFIX;HEATR1;EPCAM;ESD;EXOSC8;CLSPN;CCT8;DDX39;MDH1;NEBL;TXNRD1;NAP1L1;DEK;NFKBIA;CS;TPX2;ANLN;CENPF;EIF5;PRC1;TOMM70A;CENPK;HNRNPD;CDK1;NCAPD3;NAA15;ABCE1;EZH2
E2F4 17652178 ChIP-ChIP JURKAT Human	22/1002	1.8178391950396558E-5	0.0022577562802392525	0	0	3.0457935692262517	33.24568026357605	TOP2A;TCERG1;HELLS;DUT;CDCA2;MDH1;HEATR1;NUCKS1;VRK1;ESCO2;KIF11;DEK;KIF15;TPX2;ANLN;BRIP1;CENPF;DNER;NUSAP1;CLSPN;RAD18;TMPO
STAT3 23295773 ChIP-Seq U87 Human	44/3165	1.340384036610065E-4	0.013872974778914174	0	0	2.0144540567481934	17.963660786515753	RAB3B;AVEN;RBM28;ARL6IP1;PREP;ZBTB20;PHYHIPL;CABP1;LTBP1;TMEM163;NOL4;KIF15;PGBD5;PTPRZ1;DPYSL5;DNER;RSPO2;PSMD1;RNF150;CTNNA2;CADPS2;LHFP;TXNRD1;MYOF;ARID5B;VRK1;KSR2;PUS7;MCC;GTF2F2;GNAO1;ANLN;NEIL3;PEX5L;CENPF;MYO1B;DIAPH3;CENPH;WNK2;TOMM70A;CENPK;TOX;LRP11;EZH2
E2F1 18555785 ChIP-Seq MESCs Mouse	53/4172	2.3178287225943068E-4	0.02056245195330092	0	0	1.8728925575247497	15.675566668567816	TCERG1;HSP90AB1;ARL6IP1;NUCKS1;LAMC1;SMC4;SMC2;KIF15;EFTUD2;UBE2Q2;NUSAP1;PSMD1;TK1;CCT3;ANXA2;PRMT1;PLAUR;VRK1;ESCO2;PUS7;PGD;GTF2F2;KIF4;FRMD5;NEIL3;TRAPPC6A;NCL;S100A6;CKS2;SMPDL3B;HEATR1;SLC7A1;BRIP1;EXOSC8;CLSPN;DDX39;ST14;DUT;MDH1;IDH2;GSR;DEK;NFKBIA;CS;TPX2;MYO1B;CENPH;PRC1;TOMM70A;NCAPD3;ABCE1;LRP11;EZH2
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	14/599	3.568990122215153E-4	0.027348078163360327	0	0	3.1345543345543345	24.882273156223906	TOP2A;NFIX;TOMM40;DDX46;TXNRD1;PLAUR;ARID5B;TNFAIP3;PGD;EEPD1;EXOSC8;ME1;CKS2;TK1
YAP1 20516196 ChIP-Seq MESCs Mouse	34/2329	3.963489588892801E-4	0.027348078163360327	0	0	2.0465441819772527	16.031021659743505	RAB3B;HSP90AB1;NFIX;DDX46;ZBTB20;TNFAIP3;FMN2;SLC7A1;SMC2;BRIP1;PGBD5;DPYSL5;PGLS;CTNNA2;TMPO;DDX39;ST14;TGFB2;ANXA2;IDH2;GSR;VRK1;KSR2;MCC;NFKB1;NEIL3;PEX5L;EIF5;TCERG1L;WNK2;S100A6;HNRNPD;SCG3;TOX
SMARCD1 25818293 ChIP-Seq ESCs Mouse	31/2119	7.254753239716288E-4	0.04505201761863815	0	0	2.0272656940760387	14.654462070172674	AVEN;CDCA2;NFIX;ZBTB20;GXYLT2;CABP1;SOBP;LTBP1;PRKCZ;TMEM163;UBE2Q2;NUSAP1;GPC3;RNF150;CTNNA2;UNC13A;MYOF;CNPY1;BAZ1A;MCC;FOXP2;NFKB1;FRMD5;MYO1B;WNK2;SCG5;NAA15;TOX;KIF20B;MCTP2;ABCE1
SOX9 26525672 Chip-Seq Limbbuds Mouse	21/1230	8.955799700421912E-4	0.048157031872691394	0	0	2.3114143920595533	16.22159643724956	TOP2A;TGFB2;TXNRD1;PREP;ARID5B;PHYHIPL;TNFAIP3;NUCKS1;VRK1;NAP1L1;FMN2;LAMC1;TMEM163;CS;BRIP1;CENPF;MYO1B;DNER;CDK1;HMCN1;TMPO
CTNNB1 20460455 ChIP-Seq HCT116 Human	18/988	0.0010302258863709945	0.048157031872691394	0	0	2.4485761661019394	16.84125102731166	CADPS2;HELLS;TGFB2;ANXA2;GSR;ZBTB20;KIF11;BAZ1A;DEK;MCC;EEPD1;FRMD5;BRIP1;MYO1B;DNAJC6;NIPAL2;PGLS;EZH2
STAT3 24763339 ChIP-Seq IMN-ESCs Mouse	27/1788	0.0010527377116055804	0.048157031872691394	0	0	2.068473645401612	14.182202370369058	TCERG1;PHYHIPL;TNFAIP3;NUCKS1;LAMC1;LTBP1;NOL4;SMC2;UBE2Q2;TMPO;DDX39;CADPS2;ST14;TGFB2;ANXA2;LHFP;NEBL;MYOF;CNPY1;ARID5B;NFKBIA;ANLN;FRMD5;PEX5L;CDK1;KIF20B;MCTP2
SMAD4 21799915 ChIP-Seq A2780 Human	34/2464	0.0010856657749076966	0.048157031872691394	0	0	1.9179741421211238	13.091251158201555	AVEN;GALNT14;ZBTB20;FMN2;LAMC1;SOBP;LTBP1;TMEM163;SLC7A1;NOL4;WDR43;PTPRZ1;RSPO2;GPC3;HMCN1;CTNNA2;SRRM4;MDH1;NEBL;ARID5B;VRK1;KSR2;MCC;FOXP2;NFKB1;GNAO1;TTLL7;CENPF;MYO1B;EIF5;TCERG1L;DNAJC6;KIF20B;EZH2
TAL1 26923725 Chip-Seq HPCs Mouse	29/2000	0.00126892491261469	0.052533491382248165	0	0	1.9916516765831835	13.283490670206335	AVEN;NUCKS1;FMN2;KIF11;NOL4;SMC2;EPCAM;NUSAP1;PSMD1;RNF150;DDX39;VWF;ANXA2;ANXA3;MYOF;NAP1L1;PGD;FOXP2;NFKB1;EEPD1;FRMD5;NEIL3;CENPF;CENPH;CKS2;SCG3;SMPDL3B;ABCE1;ALDH1A7
MYC 18555785 ChIP-Seq MESCs Mouse	20/1200	0.0015923435731125268	0.06180283493142995	0	0	2.2429378531073447	14.450235682639644	TOP2A;AVEN;DDX39;TCERG1;HSP90AB1;ARL6IP1;DDX46;PRMT1;HEATR1;NUCKS1;SLC7A1;SMC2;EFTUD2;ANLN;EIF5;PRC1;TOMM70A;NUSAP1;ABCE1;NOMO1
CREM 20920259 ChIP-Seq GC1-SPG Mouse	64/5776	0.0019128462712784259	0.0698751490861119	0	0	1.6318114874815906	10.213774006725288	TCERG1;RBM28;HSP90AB1;DDX46;NUCKS1;FMN2;KIF11;LAMC1;SOBP;SMC4;WDR43;EFTUD2;SYNCRIP;UBE2Q2;NUSAP1;ME1;PSMD1;PGLS;NOMO1;TMPO;CCT3;UNC13A;PRMT1;MYOF;BAZ1A;PGD;GTF2F2;KIF4;FRMD5;TRAPPC6A;NCL;G2E3;CKS2;SNRPF;CDCA2;TOMM40;PHYHIPL;PRKCZ;SLC7A1;NOL4;PGBD5;EPCAM;EXOSC8;CCT8;DDX39;NOP56;MDH1;TXNRD1;GSR;NAP1L1;DEK;BSPRY;GNAO1;TTLL7;ANLN;CENPF;EIF5;TOMM70A;HNRNPD;NCAPD3;ABCE1;RAD18;LRP11;EZH2
SMAD2/3 21741376 ChIP-Seq EPCs Human	28/2000	0.0025983374082342854	0.08964264058408285	0	0	1.9074410163339384	11.354774147381207	FBN2;AVEN;GALNT14;CDCA2;PREP;PHYHIPL;SLC7A1;BRIP1;PGBD5;RIC3;SRRM4;ANXA2;LHFP;NEBL;ANXA3;TXNRD1;MYOF;PLAUR;VRK1;KSR2;FOXP2;NFKB1;TTLL7;ANLN;EEPD1;DIAPH3;TCERG1L;TOX
ASH2L 23239880 ChIP-Seq MESCs Mouse	41/3336	0.0029057701807963824	0.09497280433023965	0	0	1.7154881133029842	10.020263511825936	RBM28;HSP90AB1;HEATR1;PREP;PHYHIPL;CABP1;KIF11;LAMC1;SMC4;PRKCZ;SLC7A1;NOL4;SMC2;EPCAM;NUSAP1;PSMD1;HMCN1;CLSPN;HELLS;RIC3;ST14;VWF;MDH1;PRMT1;IDH2;MYOF;CNPY1;ARID5B;PGD;MCC;SMC1A;GTF2F2;NFKBIA;TCERG1L;CENPH;DNAJC6;G2E3;SNRPF;NCAPD3;KIF20B;MCTP2
EWS 26573619 Chip-Seq HEK293 Human	15/854	0.0038217624611639692	0.11866572441914125	0	0	2.3266445703463026	12.952531731078654	FBN2;ARL6IP1;ARID5B;NAP1L1;FOXP2;NFKB1;ANLN;NEIL3;BRIP1;DIAPH3;TCERG1L;PTPRZ1;UBE2Q2;HNRNPD;G2E3
RUNX2 22187159 ChIP-Seq PCA Human	41/3423	0.004641042491189389	0.13162126044450898	0	0	1.6625689927064853	8.932677722629437	GALNT14;CDCA2;HSP90AB1;PREP;ZBTB20;TNFAIP3;GXYLT2;FMN2;LAMC1;TMEM163;SLC7A1;PGBD5;DPYSL5;NIPAL2;ESD;DNER;RNF150;CTNNA2;HELLS;SRRM4;ANXA2;LHFP;GSR;CNPY1;VRK1;NAP1L1;KSR2;PUS7;MCC;GNAO1;DIAPH3;TCERG1L;HNRNPD;G2E3;CKS2;SCG3;SNRPF;TOX;KIF20B;MCTP2;ABCE1
SOX9 26525672 Chip-Seq HEART Mouse	24/1702	0.004916238006125148	0.13162126044450898	0	0	1.8960006263974318	10.077644663073793	FBN2;TOP2A;CCT3;NOP56;TCERG1;DUT;CDCA2;NEBL;MYOF;ZBTB20;ARID5B;PHYHIPL;CABP1;MCC;NFKBIA;TTLL7;CENPF;EIF5;PSMD1;HMCN1;TK1;KIF20B;ALDH1A7;LRP11
E2F1 21310950 ChIP-Seq MCF-7 Human	18/1145	0.005041791782819958	0.13162126044450898	0	0	2.0899349098106863	11.055742605819106	HELLS;DUT;DDX46;NUCKS1;VRK1;DEK;NPNT;PGD;SMC1A;GTF2F2;TTLL7;CENPH;NCL;ESD;CLSPN;NCAPD3;TMPO;EZH2
LMO2 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse	27/2000	0.005113923627391151	0.13162126044450898	0	0	1.8245644559765792	9.626015875578718	FBN2;AVEN;NUCKS1;FMN2;KIF11;LTBP1;SLC7A1;PTPRZ1;RSPO2;PSMD1;HMCN1;RNF150;SRRM4;VWF;LHFP;MYOF;PGD;TTLL7;EEPD1;FRMD5;NEIL3;CENPF;MYO1B;CENPH;DNAJC6;SCG3;MCTP2
PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	17/1063	0.005407927518838916	0.13162126044450898	0	0	2.1210497663055023	11.071645070925886	TGFB2;NEBL;ZBTB20;ARID5B;TNFAIP3;LAMC1;KSR2;MCC;PEX5L;DIAPH3;TCERG1L;PSMD1;HMCN1;RNF150;TOX;MCTP2;RAD18
GF1 26923725 Chip-Seq HPCs Mouse	21/1432	0.005510712997676704	0.13162126044450898	0	0	1.9590361445783133	10.189067005404926	AVEN;SRRM4;MYOF;GSR;NUCKS1;KIF11;KSR2;PGD;SLC7A1;TTLL7;FRMD5;NEIL3;CENPF;CENPH;CKS2;PSMD1;SCG3;RNF150;SMPDL3B;MCTP2;LRP11
