Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RUNX2 24764292 ChIP-Seq MC3T3 Mouse	23/2000	1.456982867631504E-13	8.071685086678532E-11	0	0	12.30649528400131	363.746015475368	SPARC;HSP90AB1;GSN;ANXA2;LHFP;ANXA5;TPM1;PRRX2;ARID5B;EMP3;ACTG1;LGALS3;FTL1;LGALS1;RRAS;CCND1;CALD1;FTH1;TIMP2;S100A6;VIM;S100A11;AVPI1
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	13/1182	2.7004885024476496E-7	7.480353151779989E-5	0	0	7.7395367994170385	117.05788561559821	CD63;GSN;TPM1;LGALS3;LGALS1;CCND1;CALD1;FTH1;S100A13;S100A6;RPS2;VIM;S100A10
UBF1/2 26484160 Chip-Seq HMEC-DERIVED Human	15/2000	3.3722264011516295E-6	4.6705335655950066E-4	0	0	5.433249370277078	68.45860182767059	RNH1;S100A1;TPM1;MGST1;HSPB1;ARID5B;LGALS3;MYL6;CCND1;FTH1;S100A6;VIM;S100A11;S100A10;AVPI1
RACK7 27058665 Chip-Seq MCF-7 Human	15/2000	3.3722264011516295E-6	4.6705335655950066E-4	0	0	5.433249370277078	68.45860182767059	CD63;GSN;S100A1;HSPB1;ACTG1;LGALS3;MYL6;CCND1;S100A13;TIMP2;S100A6;VIM;S100A11;S100A10;AVPI1
ATF3 23680149 ChIP-Seq GBM1-GSC Human	15/2189	1.0298617693097182E-5	9.972327336658497E-4	0	0	4.908739650413984	56.36951607700154	CD63;HSP90AB1;GSN;ANXA2;ANXA3;ANXA5;HSPB1;EMP3;MYL6;RRAS;S100A13;S100A6;VIM;S100A10;AVPI1
JUND 26020271 ChIP-Seq SMOOTH MUSCLE Human	14/2000	1.80005908603944E-5	9.972327336658497E-4	0	0	4.873266713145867	53.24095528570175	HSP90AB1;GSN;ANXA3;ANXA5;HSPB1;ARID5B;EMP3;MYL12A;MYL6;FTH1;TIMP2;S100A6;VIM;S100A11
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human	14/2000	1.80005908603944E-5	9.972327336658497E-4	0	0	4.873266713145867	53.24095528570175	SPARC;HSP90AB1;GSN;ANXA2;ANXA3;ANXA5;HSPB1;EMP3;MYL12A;MYL6;TIMP2;S100A6;VIM;S100A11
CJUN 26792858 Chip-Seq BT549 Human	14/2000	1.80005908603944E-5	9.972327336658497E-4	0	0	4.873266713145867	53.24095528570175	CD63;SPARC;HSP90AB1;GSN;ANXA2;ANXA5;TPM1;MGST1;EMP3;LGALS3;RRAS;VIM;S100A11;S100A10
ATF3 27146783 Chip-Seq COLON Human	14/2000	1.80005908603944E-5	9.972327336658497E-4	0	0	4.873266713145867	53.24095528570175	HSP90AB1;ANXA3;MGST1;HSPB1;ARID5B;EMP3;ACTG1;LGALS3;S100A6;TSPO;VIM;ALDOA;S100A10;AVPI1
CTCF 27219007 Chip-Seq ERYTHROID Human	14/2000	1.80005908603944E-5	9.972327336658497E-4	0	0	4.873266713145867	53.24095528570175	S100A1;LHFP;MGST3;ARID5B;MYL12A;LGALS1;CCND1;FTH1;S100A13;S100A6;VIM;S100A11;S100A10;AVPI1
SMARCA4 20176728 ChIP-ChIP TSCs Mouse	10/1118	5.2052980387369996E-5	0.002621577375872998	0	0	5.671480144404332	55.939218052362875	LGALS3;ANXA2;CALD1;NPC2;FTH1;ANXA5;HSPB1;ARID5B;S100A10;AVPI1
TAF7L 23326641 ChIP-Seq C3H10T1-2 Mouse	9/912	6.249825659859903E-5	0.002822620822416041	0	0	6.126996034722967	59.311600221640234	LGALS3;SPARC;LGALS1;S100A1;MGST1;S100A13;VIM;ALDOA;S100A10
ELK3 25401928 ChIP-Seq HUVEC Human	13/2000	8.661471837738755E-5	0.002822620822416041	0	0	4.355141754739138	40.738173657815445	RNH1;TPM1;HSPB1;ACTG1;MYL6;RRAS;CCND1;FTH1;TIMP2;S100A6;VIM;ALDOA;S100A10
NCOR 22465074 ChIP-Seq MACROPHAGES Mouse	13/2000	8.661471837738755E-5	0.002822620822416041	0	0	4.355141754739138	40.738173657815445	HSP90AB1;MGST1;ARID5B;ACTG1;LGALS3;FTL1;MYL6;S100A6;TSPO;VIM;ALDOA;S100A10;AVPI1
KLF6 26769127 Chip-Seq PDAC-Cell line Human	13/2000	8.661471837738755E-5	0.002822620822416041	0	0	4.355141754739138	40.738173657815445	S100A1;MGST3;TPM1;ARID5B;MYL12A;LGALS3;MYL6;CCND1;FTH1;S100A6;VIM;S100A11;S100A10
KDM2B 26808549 Chip-Seq SIL-ALL Human	13/2000	8.661471837738755E-5	0.002822620822416041	0	0	4.355141754739138	40.738173657815445	CD63;TPM1;HSPB1;ARID5B;ACTG1;LGALS1;FTH1;S100A6;VIM;ALDOA;S100A11;S100A10;AVPI1
RUNX1 27514584 Chip-Seq MCF-7 Human	13/2000	8.661471837738755E-5	0.002822620822416041	0	0	4.355141754739138	40.738173657815445	CD63;HSP90AB1;ANXA5;TPM1;HSPB1;EMP3;MYL12A;CCND1;NPC2;S100A6;ALDOA;S100A11;AVPI1
E2F4 21247883 ChIP-Seq LYMPHOBLASTOID Human	16/2998	1.0729817512429609E-4	0.0033023993899366686	0	0	3.7956628660854013	34.69197491410258	CD63;RNH1;ANXA2;MGST3;TPM1;ARID5B;LGALS3;MYL6;NPC2;FTH1;S100A13;RPS2;VIM;ALDOA;S100A11;AVPI1
TTF2 22483619 ChIP-Seq HELA Human	11/1512	1.3231243214082393E-4	0.003857951968737708	0	0	4.664683314571895	41.65722908487114	HSP90AB1;CCND1;S100A1;MGST3;ANXA5;S100A13;RPS2;ALDOA;ACTG1;S100A10;AVPI1
E2F1 18555785 ChIP-Seq MESCs Mouse	19/4172	1.5128031772937843E-4	0.004190464801103782	0	0	3.4436723882907363	30.291837263044837	RNH1;HSP90AB1;ANXA2;ACTG1;FTL1;MYL6;CCND1;SERPINB6A;CTSL;NPC2;FTH1;S100A13;TIMP2;S100A6;RPS2;VIM;ALDOA;S100A11;S100A10
TBP 23326641 ChIP-Seq C3H10T1-2 Mouse	9/1057	1.9250999983406572E-4	0.005078597138479638	0	0	5.239103669047033	44.822430845808114	MYL6;RNH1;GSN;RRAS;S100A1;TSPO;RPS2;VIM;ALDOA
NANOG 18347094 ChIP-ChIP MESCs Mouse	12/1908	2.4160963699199292E-4	0.006084169949707459	0	0	4.083182640144665	34.00550941723721	FTL1;SPARC;HSP90AB1;CALD1;S100A1;PRRX2;S100A13;HSPB1;ARID5B;RPS2;VIM;S100A11
SMAD2 18955504 ChIP-ChIP HaCaT Human	12/1936	2.769138426929154E-4	0.006290359367270658	0	0	4.017523017523017	32.91076167691917	LGALS3;RNH1;HSP90AB1;GSN;ANXA2;CALD1;ANXA3;MGST3;HSPB1;VIM;S100A10;AVPI1
SMAD3 18955504 ChIP-ChIP HaCaT Human	12/1936	2.769138426929154E-4	0.006290359367270658	0	0	4.017523017523017	32.91076167691917	LGALS3;RNH1;HSP90AB1;GSN;ANXA2;CALD1;ANXA3;MGST3;HSPB1;VIM;S100A10;AVPI1
KLF5 25053715 ChIP-Seq YYC3 Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	LGALS3;SPARC;RNH1;RRAS;ANXA2;MGST3;TIMP2;S100A6;VIM;S100A11;S100A10;AVPI1
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	CD63;HSP90AB1;LGALS1;GSN;ANXA2;CALD1;FTH1;MGST1;TIMP2;HSPB1;EMP3;S100A10
NCOR1 26117541 ChIP-Seq K562 Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	CD63;HSP90AB1;LGALS1;CALD1;FTH1;TPM1;EMP3;VIM;ALDOA;MYL12A;S100A11;ACTG1
CSB 26484114 Chip-Seq FIBROBLAST Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	LGALS3;MYL6;SPARC;HSP90AB1;ANXA2;MGST3;FTH1;ANXA5;RPS2;ACTG1;S100A10;AVPI1
UBF1/2 26484160 Chip-Seq HMECs Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	RNH1;LHFP;FTH1;ANXA5;S100A6;ARID5B;EMP3;VIM;S100A11;ACTG1;S100A10;AVPI1
MAF 26560356 Chip-Seq TH1 Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	MYL6;LGALS1;ANXA2;ANXA3;S100A6;ARID5B;VIM;ALDOA;S100A11;ACTG1;S100A10;AVPI1
FOXA1 26769127 Chip-Seq PDAC-Cell line Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	LGALS3;MYL6;CCND1;ANXA2;S100A1;MGST3;S100A6;HSPB1;ARID5B;S100A11;S100A10;AVPI1
UTX 26944678 Chip-Seq JUKART Human	12/2000	3.7462522447913684E-4	0.006290359367270658	0	0	3.874389192296637	30.567320659381785	CD63;MYL6;HSP90AB1;LGALS1;RRAS;FTH1;EMP3;VIM;ALDOA;S100A11;ACTG1;AVPI1
HSF1 23293686 ChIP-Seq STHDH STRIATAL Mouse	9/1156	3.7469649660637494E-4	0.006290359367270658	0	0	4.761847174958517	37.56808949326701	SPARC;HSP90AB1;LGALS1;GSN;RRAS;ANXA2;SERPINB6A;HSPB1;ARID5B
EOMES 20176728 ChIP-ChIP TSCs Mouse	11/1744	4.609639738977886E-4	0.007511001221746319	0	0	3.9894343076586347	30.647594999911828	CD63;LGALS3;SPARC;CCND1;ANXA2;CALD1;FTH1;HSPB1;ARID5B;ACTG1;S100A10
EP300 20729851 ChIP-Seq FORBRAIN MIDBRAIN LIMB HEART Mouse	12/2093	5.684405177335064E-4	0.00899760133783893	0	0	3.682089654698977	27.51483426274255	LGALS3;FTL1;SPARC;HSP90AB1;CCND1;ANXA2;LHFP;MGST3;TPM1;PRRX2;TIMP2;VIM
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse	9/1239	6.21604719038434E-4	0.009565805954091457	0	0	4.420928402832415	32.64062584844901	CD63;FTL1;MYL6;LGALS1;MGST3;EMP3;VIM;ALDOA;ACTG1
ZNF217 24962896 ChIP-Seq MCF-7 Human	10/1522	6.469044720363935E-4	0.009686083175896271	0	0	4.067019400352733	29.86539204925934	GSN;CCND1;ANXA2;TPM1;MGST1;HSPB1;ARID5B;ALDOA;S100A11;S100A10
PPARG 20887899 ChIP-Seq 3T3-L1 Mouse	16/3565	8.21906714134079E-4	0.011982534727112625	0	0	3.0827463135155444	21.899471151570214	SPARC;GSN;ANXA2;ANXA3;S100A1;LHFP;MGST3;ANXA5;ARID5B;RRAS;CALD1;CTSL;FTH1;VIM;S100A11;S100A10
RARG 19884340 ChIP-ChIP MEFs Mouse	5/390	0.001031368933285975	0.014415652066458702	0	0	7.263450834879406	49.94979477841759	FTL1;RRAS;CCND1;FTH1;AVPI1
CEBPA 23403033 ChIP-Seq LIVER Mouse	6/589	0.0010408413044374514	0.014415652066458702	0	0	5.865301180506508	40.28128110008377	FTL1;RRAS;CTSL;S100A1;S100A13;ARID5B
