Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MYC 19030024 ChIP-ChIP MESCs Mouse	27/3868	4.233503023662229E-11	2.2268225904463323E-8	0	0	8.715939358740712	208.18375229976346	TOP2A;SET;MCM7;GMNN;ENO1;HMGB1;RPL8;SMC4;CKS1B;SMC2;TUBA1B;TUBB5;NT5DC2;EXOSC8;STMN1;PHGDH;RPS2;HIST1H1B;RANBP1;NPM1;SIVA1;ATAD2;NME2;DEK;LSM2;ERH;GALK1
MYBL2 22936984 ChIP-ChIP MESCs Mouse	19/2250	1.0988045672892325E-8	2.8898560119706814E-6	0	0	7.189835862628333	131.76422433141144	TOP2A;NPM1;RFC4;SET;MCM7;ANXA5;RPL8;SMC4;LSM2;CKS1B;SMC2;TUBA1B;TUBB5;NT5DC2;HIST1H2AE;TK1;HIST1H4D;HIST1H1B;GALK1
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse	14/1239	5.7674035763769554E-8	1.0112180937247595E-5	0	0	8.235164835164834	137.26750536650027	RFC5;SET;MCM7;SIVA1;NME2;ENO1;MKI67;LSM2;TUBB5;NT5DC2;STMN1;ERH;TK1;GALK1
E2F1 18555785 ChIP-Seq MESCs Mouse	24/4172	7.928277091304307E-8	1.0425684375065163E-5	0	0	5.717936354869817	93.4896602768797	RFC5;RANBP1;SET;MCM7;ATAD2;GMNN;NME2;DEK;ENO1;RPL8;SMC4;CKS1B;SMC2;TUBA1B;TUBB5;EXOSC8;STMN1;HIST1H2AE;TK1;RPS2;HIST1H4D;HIST1H1B;GALK1;S100A10
E2F4 17652178 ChIP-ChIP JURKAT Human	12/1002	3.554823023747128E-7	3.739673820981979E-5	0	0	8.212121212121213	121.94827850363963	TOP2A;NPM1;RFC4;SET;ATAD2;GMNN;BIRC5;DEK;HMGB1;MKI67;HIST1H4D;HIST1H1B
MYC 19079543 ChIP-ChIP MESCs Mouse	14/1458	4.297912002585246E-7	3.767836188933066E-5	0	0	6.904538674621777	101.2203044733241	RANBP1;NPM1;SET;MCM7;NME2;DEK;ENO1;RPL8;CKS1B;TUBB5;EXOSC8;BIRC5;TK1;RPS2
NELFA 20434984 ChIP-Seq ESCs Mouse	16/2000	5.707948250879946E-7	4.289115399946931E-5	0	0	6.040322580645161	86.8371030409087	TOP2A;RANBP1;NPM1;ATAD2;ENO1;HMGB1;RPL8;LSM2;TUBB5;EXOSC8;STMN1;HIST1H2AE;BIRC5;RPS2;HIST1H4D;HIST1H1B
MYC 18358816 ChIP-ChIP MESCs Mouse	20/3413	1.721844793265376E-6	1.1321129515719847E-4	0	0	4.882699675803124	64.8037481297269	TOP2A;RANBP1;NPM1;SET;MCM7;ATAD2;GMNN;NME2;ENO1;RPL8;SMC4;LSM2;CKS1B;TUBB5;EXOSC8;STMN1;ERH;TK1;RPS2;GALK1
MYC 18555785 ChIP-Seq MESCs Mouse	12/1200	2.3951493384446887E-6	1.3998317244687846E-4	0	0	6.772005772005772	87.64373871094271	TOP2A;RANBP1;NPM1;RFC4;SET;MCM7;NME2;RPS2;RPL8;HIST1H1B;CKS1B;SMC2
KLF4 19030024 ChIP-ChIP MESCs Mouse	13/1502	4.039089283958783E-6	2.12456096336232E-4	0	0	5.9727632266248785	74.17868102658254	NPM1;SET;CDKN2A;ENO1;RPL8;TUBA1B;TUBB5;STMN1;HIST1H2AE;BIRC5;HIST1H4D;HIST1H1B;GALK1
