#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0045893	Positive regulation of transcription, dna-templated	37	1541	1.09	1.36e-32	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000122403,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Brd4,Nfyb,Tbp,Usf1,Sin3a,Nelfe
GO:0006355	Regulation of transcription, dna-templated	41	2720	0.89	1.30e-31	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000085423,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000113070,10090.ENSMUSP00000122403,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Cnot3,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Pml,Zfx,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Brd4,Nfyb,Tbp,Usf1,Sin3a,Nelfe
GO:0045944	Positive regulation of transcription by rna polymerase ii	34	1239	1.15	2.62e-31	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Brd4,Usf1,Sin3a,Nelfe
GO:0006357	Regulation of transcription by rna polymerase ii	36	1897	0.99	8.54e-29	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000113070,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Brd4,Usf1,Sin3a,Nelfe
GO:0010468	Regulation of gene expression	42	4041	0.73	2.92e-27	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000085423,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000113070,10090.ENSMUSP00000122403,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Xrn2,Nelfa,Kdm2b,Cnot3,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Pml,Zfx,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Brd4,Nfyb,Tbp,Usf1,Sin3a,Nelfe
GO:0009893	Positive regulation of metabolic process	38	3767	0.71	1.68e-21	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000039098,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000122403,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Mybl2,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Cnot3,Nfya,Pbx3,Mycn,Klf1,Taf7,Egr1,Foxm1,Zfp42,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Brd4,Nfyb,Tbp,Usf1,Sin3a,Nelfe
GO:0045892	Negative regulation of transcription, dna-templated	26	1181	1.05	8.25e-20	10090.ENSMUSP00000002180,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Nanog,E2f4,Brca1,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Taf7,Egr1,Foxm1,Pml,Sox2,Taf1,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Sin3a,Nelfe
GO:2000113	Negative regulation of cellular macromolecule biosynthetic process	27	1370	1.0	1.33e-19	10090.ENSMUSP00000002180,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Nanog,E2f4,Brca1,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Cnot3,Taf7,Egr1,Foxm1,Pml,Sox2,Taf1,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Sin3a,Nelfe
GO:0010629	Negative regulation of gene expression	29	1811	0.91	3.59e-19	10090.ENSMUSP00000002180,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045993,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Nanog,E2f4,Brca1,Hdac2,E2f6,Myc,Runx1,Pou5f1,Xrn2,Nelfa,Kdm2b,Cnot3,Mycn,Taf7,Egr1,Foxm1,Pml,Sox2,Taf1,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Sin3a,Nelfe
GO:0000122	Negative regulation of transcription by rna polymerase ii	23	881	1.13	1.32e-18	10090.ENSMUSP00000002180,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Nanog,E2f4,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Taf7,Egr1,Foxm1,Sox2,Taf1,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Sin3a,Nelfe
