"","V1","V2","V3","V4","V5","V6"
"MT-ND4",0.673219150136206,0.0127419280698829,-0.238256683110089,1.15264926336714,-0.438712064435216,0.530340061581973
"MT-ND3",0.260194668738997,0.0259135523526784,-0.641460852631595,0.697888972285317,-0.628723437339446,-0.0731290401812631
"MT-CO3",0.747037854122926,0.28508195878849,-0.155051451175444,0.814968027931653,-0.288798594499746,0.657528741209625
"RPS19",0.126758304971547,-0.182953582732588,-0.81987930798956,-0.193772662291795,-0.856965386974187,-0.980827069710371
"MT-RNR2",1.22110626231351,0.73412649159986,0.485604575020722,0.885451026265917,1.02544733366218,0.599820378603834
"MT-ND1",0.720350771379018,0.0327341098268095,-0.0240267723554654,0.923608457513826,-0.621521832690039,-0.283066874607007
"MT-ND2",0.6844139293034,0.221876886233968,-0.766963465639009,1.09525315358646,-0.0699940371489162,0.588033162441119
"MT-ATP6",0.69520197735437,0.261816857708477,-0.251264313297433,-0.0454526344328176,-0.0851273340271064,0.990623036873922
"MT-CYB",0.219903095158106,-0.0370332698409856,0.153591537938025,1.03302818633957,-0.216300277294729,0.252714491186986
"HIST1H4C",-1.30439567565115,-1.20960566688616,-0.631813577424579,-1.25455661869287,-1.0229938080263,-1.49327865826339
"RPS27A",0.674135642558412,-0.578177325452215,-0.539641717200916,-0.0632734775320612,-1.32969522359739,-0.753743718393877
"MT-CO2",0.617338372120021,0.579840516608276,0.175724250841863,0.489918694180916,-0.979085930176639,0.556737226767238
"TUBB",0.109720403718326,0.703369443039345,-1.02184746432225,0.814708223669422,0.466590611248021,-0.70787849447064
"MT-CO1",0.80787956685191,0.127343698382838,1.09142948257019,0.341739181575684,-0.470748954556384,0.782619655171111
"ACTG1",-0.145666218160058,0.818220389462955,-0.694025261698065,0.763227764909636,0.247707182548809,-0.593275560827086
"RPL37A",0.774024161466357,-4.24437430562863e-05,-0.425456765701429,-0.256444842734004,-1.03022775970551,-0.541323045754746
"RPL7A",0.648396270637606,-0.26172478847317,-0.497718019742875,-0.992401176561906,-0.411726065337939,-0.382947640752532
"RPS16",0.486126657722564,-0.652034439201427,0.067180589712784,-0.583518012268751,-0.168328436068321,-0.46242967417661
"RPL11",0.520870419929138,-0.472931480603344,-0.180584317737898,-0.584886885795625,-1.11303999932354,-0.659845363154966
"RPL7",0.0997990120060479,-0.471670354036393,-0.172298585099849,-0.775124235174185,-0.672122802582834,-0.958603438829481
"ACTB",-0.596039538989054,1.06951105709742,-0.302857060223207,0.644506333664387,0.245441561052447,-0.415847931135708
