"","V1","V2","V3","V4"
"H3f3b",0.0945943367496967,-0.370870654898349,0.857002943057108,0.540991608513611
"Ptma",0.336105359472351,0.526515241075882,0.588893048446931,0.798163971190601
"Rpl32",0.592681233083084,0.495381732527664,-0.107379167997658,-1.21455672072236
"Rpl41",0.225057599747993,0.429951458110317,-0.369137526515386,-0.0711378989633167
"Rps14",0.49700787397903,0.626074139462459,-0.274406661499189,-1.27549201453584
"Ftl1",-0.687626755226182,-0.0526171412199179,-0.288114169516734,-0.035185006134208
"Rpl13",0.6054746751128,0.70029550950311,-0.0821901049438051,-1.23913995702616
"Rpl18a",0.648868139025552,0.706218213300475,-0.12314489607521,-1.62387923874467
"Rpl14",0.565364920554823,0.586936377626464,-0.149242460699508,-0.769325861624447
"Rps19",0.248761787046917,0.640708368491366,-0.156265284002368,-0.996260673904837
"Rps5",0.538948778508009,0.771810331105494,-0.151533741774333,-0.949229364366841
"Rpl3",0.481318527382454,0.623098274908394,-0.0296173320284193,-0.850774232834657
"Rpl11",0.204989238973873,0.503283307798541,-0.105833417963176,-0.00279339877746937
"Rpl37a",0.289553198789896,0.517340609332163,-0.177032319873786,-0.65006356576773
"Calm2",-0.115547852401756,-0.00697382368363325,1.40442482899188,0.779393666975641
"Ybx1",0.145537372003368,0.430828503888202,0.0486800855898932,0.279678774065504
"Rplp0",0.844904325700881,0.801646750954379,0.0533028099486577,-1.25925300489282
"Rps9",0.491821713064464,0.581837013780263,-0.0257852724410608,-0.969438680567082
"Rps18",0.552022008504908,0.809648092692986,-0.182954935782141,-1.04033696304258
"Cox4i1",0.153001432675563,0.138629009096084,0.0745310052967201,-0.316810928629066
"Rpl37",0.404503387608192,0.719121453696255,-0.253395292612905,-1.03500444174106
"Rps8",0.638954375403188,0.815601166386468,0.0790368366351064,-1.12518833094084
"Rpl21",0.546372603019278,0.394801190936357,-0.0403822885115911,-0.798589947691813
"Rpl8",0.651996903245101,0.789438379195735,-0.112409412447902,-1.02123074447925
"Rpl13a",0.580828509604246,0.714989643303546,-0.0655599090648185,-1.24718565831448
"Atpif1",-0.100004667999229,-0.154679520999238,0.0793639935098196,0.396276774128007
"Mif",0.357179532047662,0.926325340566246,-0.321878127593029,-0.712119830398341
"Eef1a1",0.471318950728178,0.67696914991237,-0.0825648587320827,-1.02602967586687
"Rps27a",0.682016750020073,0.784760637119893,-0.111523471074711,-1.20731956334289
"Pfn1",0.241244775591315,-0.0326738693759928,0.11147844389182,0.576399960888247
"Rps15",0.51732013615705,0.646719950981783,0.0234835815505511,-1.07504974538888
"Rpl26",0.570808347551264,0.813358227210917,-0.278574578442475,-1.12733068447864
"Rps4x",0.626953844870649,0.887973894843532,-0.11414288177951,-1.25459399186256
"Ldha",0.124335843209283,0.519750395950961,-0.516516077128239,-0.0841446855941793
"Rps7",0.576449700987356,0.76690642197876,0.000526575755692094,-1.1600480290055
