"","V1","V2","V3","V4"
"PC_1",-3.12205986477314,-12.1932111399126,8.13132519229843,28.525187879804
"PC_2",-1.58514843813509,5.42250165818452,-11.3863898547263,10.2500391705662
"PC_3",-8.12960769352608,4.56219280866437,6.26855808011264,0.164163866768244
"PC_4",-0.758348441456207,-0.0419634868365973,1.39180802984599,-0.193930458310559
"PC_5",0.0520793525329464,0.0100379932030708,-0.313331865034559,0.530038490559517
"PC_6",-0.043168929722066,-0.103950605228186,0.0764978109739362,-0.0167564346387371
"PC_7",0.15920651295743,-0.136026528432236,-0.308712698546248,0.418875130319306
"PC_8",0.355401882756765,-0.039289017640763,-0.598886332606868,-0.185525095653763
"PC_9",-0.352983340214913,0.0214359234440275,0.209067122148153,0.494601519858541
"PC_10",0.566073301968645,-0.0512525141099796,-0.570030051729218,-0.38288305189747
"PC_11",-0.196265592693227,-0.141917839921841,0.469065358290191,0.417910498466235
"PC_12",0.114259385412075,-0.0794595858006766,-0.00464476209616322,-0.066653898105197
"PC_13",0.125244362031927,-0.0620092139684935,0.0260522629086478,-0.143427713790946
"PC_14",-0.0287726695844162,-0.0838877807680809,0.304113372571886,-0.154319801581742
"PC_15",-0.00382706566553029,-0.060679117922797,0.0873699104456784,-0.121215773862604
"PC_16",0.0563277142474246,0.0504174874294862,-0.219278048440265,0.0816884500951875
