NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_DEFENSE_RESPONSE	GOBP_DEFENSE_RESPONSE		285	-0.1708138	-3.1961074	0.0	0.0	0.0	1488	tags=70%, list=55%, signal=139%	
GOBP_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_RESPONSE_TO_BIOTIC_STIMULUS		236	-0.17045105	-2.9270782	0.0	6.9173746E-4	0.002	1462	tags=69%, list=54%, signal=138%	
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM		169	-0.17579556	-2.5768697	0.0	0.01623712	0.07	1462	tags=70%, list=54%, signal=143%	
GOBP_INFLAMMATORY_RESPONSE	GOBP_INFLAMMATORY_RESPONSE		161	-0.16959594	-2.4096208	0.0	0.04727679	0.243	1588	tags=75%, list=59%, signal=169%	
GOBP_INTERLEUKIN_6_PRODUCTION	GOBP_INTERLEUKIN_6_PRODUCTION		35	-0.34569934	-2.4060504	0.0	0.038360592	0.245	1476	tags=89%, list=54%, signal=192%	
GOBP_REGULATION_OF_IMMUNE_RESPONSE	GOBP_REGULATION_OF_IMMUNE_RESPONSE		154	-0.17331438	-2.3916333	0.0	0.035741434	0.272	1458	tags=70%, list=54%, signal=143%	
GOBP_INNATE_IMMUNE_RESPONSE	GOBP_INNATE_IMMUNE_RESPONSE		144	-0.17117448	-2.3335073	0.0021008404	0.045222953	0.375	1462	tags=70%, list=54%, signal=144%	
GOBP_RESPONSE_TO_BACTERIUM	GOBP_RESPONSE_TO_BACTERIUM		118	-0.18735649	-2.3177235	0.002016129	0.04366587	0.405	1444	tags=71%, list=53%, signal=146%	
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	GOBP_DEFENSE_RESPONSE_TO_BACTERIUM		37	-0.31123567	-2.2271852	0.0	0.06991579	0.601	1073	tags=70%, list=40%, signal=115%	
GOBP_CELLULAR_ION_HOMEOSTASIS	GOBP_CELLULAR_ION_HOMEOSTASIS		115	-0.17127821	-2.1495042	0.00203666	0.10598174	0.794	1347	tags=66%, list=50%, signal=126%	
