NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CELL_CYCLE	GOBP_CELL_CYCLE		229	0.404027	6.876065	0.0	0.0	0.0	665	tags=62%, list=25%, signal=75%	
GOBP_CELL_CYCLE_PROCESS	GOBP_CELL_CYCLE_PROCESS		186	0.42535767	6.560332	0.0	0.0	0.0	659	tags=64%, list=24%, signal=79%	
GOBP_CELL_DIVISION	GOBP_CELL_DIVISION		111	0.5327383	6.5457635	0.0	0.0	0.0	665	tags=76%, list=25%, signal=96%	
GOBP_CHROMOSOME_ORGANIZATION	GOBP_CHROMOSOME_ORGANIZATION		109	0.51851445	6.2451935	0.0	0.0	0.0	490	tags=68%, list=18%, signal=80%	
GOBP_MITOTIC_CELL_CYCLE	GOBP_MITOTIC_CELL_CYCLE		144	0.4429581	6.2388525	0.0	0.0	0.0	650	tags=66%, list=24%, signal=82%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION		56	0.68540335	5.980443	0.0	0.0	0.0	551	tags=88%, list=20%, signal=108%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		48	0.743588	5.935479	0.0	0.0	0.0	560	tags=94%, list=21%, signal=116%	
GOBP_DNA_CONFORMATION_CHANGE	GOBP_DNA_CONFORMATION_CHANGE		42	0.715973	5.526372	0.0	0.0	0.0	476	tags=88%, list=18%, signal=105%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		40	0.7398089	5.507717	0.0	0.0	0.0	598	tags=95%, list=22%, signal=120%	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION		36	0.7637486	5.44157	0.0	0.0	0.0	516	tags=94%, list=19%, signal=115%	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION		32	0.7872035	5.305103	0.0	0.0	0.0	516	tags=97%, list=19%, signal=118%	
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION		46	0.6664517	5.2835636	0.0	0.0	0.0	521	tags=85%, list=19%, signal=103%	
GOBP_REGULATION_OF_CELL_CYCLE	GOBP_REGULATION_OF_CELL_CYCLE		151	0.37319615	5.2310357	0.0	0.0	0.0	659	tags=60%, list=24%, signal=74%	
