NAME	TITLE	SCORE	
SHISA2		0.5217815	
SHTN1		0.49404988	
TOP2A		0.49318463	
SMC4		0.48345876	
CADPS2		0.48257864	
SCG3		0.47774452	
WNK2		0.45714465	
BSPRY		0.4508689	
EPCAM		0.44361413	
ALDH1A7		0.42853448	
LTBP1		0.41947618	
GALNT9		0.4178083	
LHFP		0.41563895	
HMCN1		0.40954423	
ANXA3		0.40324548	
TCERG1L		0.4022098	
CDCA2		0.4015487	
PAKAP-1		0.4002187	
CABP1		0.39648336	
ESCO2		0.39350185	
GNAO1		0.38716134	
MIS18BP1		0.3861714	
DNAJC6		0.38476786	
NIPAL2		0.3840952	
SMC2		0.3782278	
KIF11		0.37084562	
SPECC1		0.3687484	
ZFP618		0.36720622	
NEDD4L		0.3630322	
ECT2		0.3628193	
NCAPG2		0.36017337	
NEBL		0.3598905	
TPX2		0.35897255	
GALNT14		0.35797158	
CDK1		0.356024	
KNL1		0.35380635	
SCG5		0.3537836	
ANLN		0.3524416	
RSPO2		0.3521302	
FSTL1		0.35133207	
SOBP		0.35061103	
KSR2		0.34933606	
KRT7		0.34900224	
CENPF		0.34614074	
ARL6IP1		0.34566167	
GXYLT2		0.34509966	
AU020206		0.3435347	
IDH2		0.34290138	
ME1		0.34190914	
PRC1		0.34169015	
AUNIP		0.3409518	
TXNRD1		0.33997214	
SRRM4		0.33918446	
GPC3		0.33694682	
NCAPD3		0.33678675	
FBN2		0.33260965	
BICC1		0.33137882	
HELLS		0.33127415	
ESD		0.33110908	
KIF23		0.33085468	
NEXMIF		0.32982996	
LRP11		0.3292106	
TMPO		0.32907832	
CDCP1		0.3287879	
NPNT		0.32844168	
ESRP1		0.32824847	
RAD18		0.32662112	
NUSAP1		0.3265484	
UNC13A		0.3255141	
NFIX		0.3248186	
DIAPH3		0.32479987	
KIF15		0.3243433	
EZH2		0.32391277	
RAB3B		0.3222289	
PREP		0.32206637	
ZFYVE28		0.32183334	
NOL4		0.32138523	
NEIL3		0.32122338	
KIF4		0.3203899	
MKI67		0.31966656	
ARFGEF3		0.31924802	
GRIN1		0.31916848	
CLSPN		0.31903595	
NFKBIA		0.31888	
CENPC1		0.31885815	
TRAPPC6A		0.3188508	
RPTOROS		0.31881785	
PEX5L		0.31854194	
KLHL41		0.31815776	
HOOK1		0.3177327	
CENPH		0.3174135	
SAMD4		0.3173925	
KIF22		0.31670582	
INCENP		0.31635746	
GPRIN3		0.31634238	
ST14		0.31625113	
FOSL1		0.31566724	
AXL		0.3150086	
CCN3		0.31463134	
CIT		0.31387836	
MCM4		0.31381655	
AVEN		0.31361273	
FOXP2		0.31350023	
KIF18A		0.31327352	
ANXA2		0.3125116	
SMOC2		0.31228766	
HSPH1		0.31086484	
NOL10		0.3104995	
SORBS2		0.3102538	
PLAUR		0.30994415	
UTP20		0.30989826	
COBLL1		0.309768	
TNFAIP3		0.30853933	
TMEM163		0.30852398	
PAKAP		0.3071346	
KIF20B		0.30618855	
MRPL20		0.30585757	
NSD2		0.3052527	
TGFB2		0.3046897	
NDC80		0.30401304	
G2E3		0.30384046	
NCAPD2		0.30371302	
BLM		0.30345187	
GSR		0.30318692	
SYP		0.3028835	
TSHZ1		0.30276453	
EEPD1		0.3024662	
BRD8		0.30184332	
MCC		0.30137384	
RNF150		0.301154	
SNX7		0.30113795	
ABCC4		0.30086595	
RIC3		0.3005429	
HMGB2		0.30037758	
ABCB1B		0.30022883	
LAMC1		0.30000108	
PCLO		0.29994562	
PHYHIPL		0.2990697	
TUBA1C		0.29882976	
WWTR1		0.29878053	
TCOF1		0.29756188	
SHANK1		0.29701874	
JAKMIP2		0.29634917	
HEATR1		0.29594624	
TTLL7		0.29583725	
TERF1		0.29579112	
BRIP1		0.2957681	
DNER		0.2957234	
PLPPR1		0.2953213	
TACC3		0.2952521	
PCOLCE2		0.29495585	
KIF14		0.29419243	
LIN54		0.29402146	
LPP		0.29395765	
COX10		0.29292437	
PRR11		0.29284626	
MYOF		0.29275668	
DPYSL5		0.2927355	
PARPBP		0.29265985	
PTGS2		0.29244378	
RAB27B		0.29200724	
MLPH		0.2919973	
CHST11		0.29163232	
FOSB		0.29155692	
PLS3		0.29146355	
SHCBP1		0.29135305	
WEE1		0.2908213	
EPHA4		0.29070395	
RGS7		0.28964528	
CYFIP2		0.289518	
COL18A1		0.28921813	
TES		0.28892237	
GRID2		0.28878406	
HJURP		0.28837562	
EIF4E		0.28834873	
DSP		0.28821355	
CKAP5		0.28787798	
ANO1		0.2874698	
PIEZO2		0.28709713	
LMO7		0.28671426	
ORC2		0.28608933	
PRKCZ		0.2860807	
LGALS3		0.28545877	
LPAR1		0.28521875	
CINP		0.2851458	
CEP55		0.28511804	
PSMD1		0.2841847	
PIR		0.28354228	
IQGAP3		0.28325027	
KPNA2		0.2828815	
KCNJ3		0.282783	
SEMA3D		0.28228614	
IPO5		0.2815419	
SNU13		0.28153813	
MASTL		0.28146154	
ELK3		0.28136942	
ZWILCH		0.2813106	
RIMS2		0.2811036	
PUS7		0.2809363	
ABCE1		0.28085917	
SYNCRIP		0.2804191	
LRRCC1		0.2803504	
SLC7A1		0.28014502	
TOMM70A		0.27985317	
CENPK		0.27901736	
APBA1		0.2786743	
MYO1B		0.27843916	
MELK		0.27832574	
NFKB1		0.2781164	
SRSF2		0.2777604	
BRCA1		0.27757224	
TTK		0.27744594	
OSBPL1A		0.27698693	
S100A6		0.27672797	
VCL		0.276146	
DHX15		0.27605122	
KRT8		0.27603427	
CTCF		0.27598417	
NAA15		0.27596304	
ACYP2		0.27590388	
GRB14		0.27582985	
WWC2		0.2758269	
STMN1		0.27581358	
ROR1		0.27540594	
E2F7		0.27507058	
FOS		0.27363446	
HIRIP3		0.27349472	
GNAI1		0.27301916	
FGF1		0.2727534	
HMGA2		0.2723103	
ZBTB20		0.2720134	
SYT14		0.27129927	
KIF18B		0.27125007	
SLC12A7		0.27122742	
MDN1		0.27116925	
KIFC1		0.2710105	
CENPI		0.27082998	
LGALS1		0.27022135	
FXYD5		0.27019554	
PPM1G		0.27018064	
PFKP		0.26986748	
IGFBP5		0.26980367	
CCDC18		0.26948896	
POLD3		0.26946288	
NCKAP5		0.26939663	
SHISA6		0.26919597	
BC030867		0.2691044	
CUX2		0.26903993	
MCPH1		0.26855928	
WDR36		0.26849154	
CNBP		0.26847917	
IL33		0.26845944	
BSN		0.26826635	
SPIRE2		0.26817057	
KNTC1		0.26784486	
CENPV		0.26774135	
KANK1		0.26760483	
NCAPH		0.26758674	
BORA		0.26755762	
FADS3		0.2671294	
PGBD5		0.2668384	
NR4A2		0.2668261	
ACTN1		0.26667392	
THAP3		0.26662245	
TBRG4		0.26623243	
PDLIM5		0.26601264	
TOMM40		0.2658956	
MTUS1		0.26557213	
MTAP		0.2654099	
MYBL2		0.2653277	
TCERG1		0.26498526	
KCNK10		0.26485604	
RBPMS		0.2645709	
CEP85L		0.2644162	
FAM162A		0.26402956	
LIFR		0.2639561	
GLI2		0.2630505	
MEGF9		0.26289293	
SMCHD1		0.2625118	
SYNE2		0.2624561	
BRINP1		0.26236856	
E2F1		0.26214108	
KIFC5B		0.2621113	
KLF13		0.26211116	
CD109		0.26190525	
G3BP1		0.26185843	
MCRIP2		0.26166987	
TJP3		0.26166117	
ENOX1		0.26104262	
SNRPD1		0.26088125	
NOP58		0.26076716	
WTIP		0.2606273	
PCOLCE		0.2605226	
MTREX		0.26030496	
CDC25B		0.25931975	
MXRA7		0.25929278	
ST8SIA5		0.25918895	
EXO1		0.25915983	
SPAG5		0.25913036	
SNAP91		0.2589532	
SGCE		0.25893572	
DAAM2		0.25890887	
ERC2		0.2588017	
KRAS		0.25878087	
LSR		0.25866678	
RET		0.2584186	
SOGA3		0.25827175	
ASF1A		0.25813043	
BRCA2		0.2580462	
C430049B03RIK		0.25758502	
