"","archetype #","Feature Name","P value (Mann-Whitney)","median_diff","Mean Difference","top_bin_mean","sample_count","metric"
"1","archetype_1","RIBOSOMAL LARGE SUBUNIT ASSEMBLY",0,0.132877717373448,0.136647013530794,0.0680311318255323,805,"wilcoxon_p_val"
"2","archetype_1","RIBOSOMAL SMALL SUBUNIT ASSEMBLY",0,0.360404760693315,0.317149633594689,0.257916681391195,805,"wilcoxon_p_val"
"3","archetype_1","INACTIVATION OF MAPK ACTIVITY",0,0.128271771625372,0.125807810729303,0.145868729249407,805,"wilcoxon_p_val"
"4","archetype_1","RESPONSE TO REACTIVE OXYGEN SPECIES",0,0.149486487252281,0.154593065759043,0.159737486396594,805,"wilcoxon_p_val"
"5","archetype_1","MATURATION OF LSU RRNA FROM TRICISTRONIC RRNA TRANSCRIPT  SSU RRNA  5.8S RRNA  LSU RRNA ",0,0.148438848921799,0.142095297668994,0.148626082443359,805,"wilcoxon_p_val"
"6","archetype_1","TELOMERE MAINTENANCE VIA RECOMBINATION",0,0.147113889023924,0.146174664803401,0.127380864413029,805,"wilcoxon_p_val"
"7","archetype_1","FORMATION OF CYTOPLASMIC TRANSLATION INITIATION COMPLEX",0,0.273220603844552,0.263387184777017,0.27157898593954,805,"wilcoxon_p_val"
"8","archetype_1","NEURAL CREST CELL MIGRATION",0,0.585179999577019,0.561796319034918,0.509281127197842,805,"wilcoxon_p_val"
"9","archetype_1","NEGATIVE REGULATION OF PROTEIN PHOSPHORYLATION",0,0.233992670296734,0.220119912453185,0.218316419110504,805,"wilcoxon_p_val"
"10","archetype_1","POSTSYNAPTIC MEMBRANE ORGANIZATION",0,0.284931058946791,0.277102344131066,0.146054391299545,805,"wilcoxon_p_val"
"11","archetype_1","LYMPH VESSEL DEVELOPMENT",0,1.09827926212578,1.12805431840344,0.609120570960579,805,"wilcoxon_p_val"
"12","archetype_1","REGULATION OF HEART RATE",0,0.121735917014038,0.121897693489518,0.0580892189689081,805,"wilcoxon_p_val"
"13","archetype_1","TRNA WOBBLE BASE MODIFICATION",0,0.190504103549507,0.192705401433318,0.221100584650506,805,"wilcoxon_p_val"
"14","archetype_1","ALPHA BETA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE",0,1.15900903709847,1.31242566256668,0.915310127738758,805,"wilcoxon_p_val"
"15","archetype_1","ALPHA BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE",0,1.1590090360639,1.3124256620938,0.915310127165528,805,"wilcoxon_p_val"
"16","archetype_1","IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY",0,0.185520927619304,0.154350687180414,0.143706571817665,805,"wilcoxon_p_val"
"17","archetype_1","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN",0,0.172169789174329,0.181516973583324,0.211955130579775,805,"wilcoxon_p_val"
"18","archetype_1","REGULATION OF LEUKOCYTE CHEMOTAXIS",0,0.29323760905177,0.394169062076227,0.0269532580417907,805,"wilcoxon_p_val"
"19","archetype_1","IMMUNE RESPONSE ACTIVATING SIGNAL TRANSDUCTION",0,0.185520927696836,0.154350687205582,0.143706571936223,805,"wilcoxon_p_val"
"20","archetype_1","REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION",0,0.737877498121026,0.737397360132559,0.690816370911169,805,"wilcoxon_p_val"
"21","archetype_1","POSITIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS",0,0.465282376410065,0.411144067996564,0.418569323260072,805,"wilcoxon_p_val"
"22","archetype_1","AORTIC VALVE MORPHOGENESIS",0,1.93097986462062,1.90241972632572,2.24909959270699,805,"wilcoxon_p_val"
"23","archetype_1","HEART VALVE FORMATION",0,1.11049486411654,1.19849370134538,1.20132124881073,805,"wilcoxon_p_val"
"24","archetype_1","ACETYL COA BIOSYNTHETIC PROCESS",0,0.849777182489108,0.899821229137924,0.978262663017161,805,"wilcoxon_p_val"
"25","archetype_1","GENERATION OF PRECURSOR METABOLITES AND ENERGY",0,0.0652695577879866,0.059897924309263,0.072040116755039,805,"wilcoxon_p_val"
"26","archetype_1","REGULATION OF GLYCOLYTIC PROCESS",0,1.28750073341798,1.01972062812293,1.04957072772803,805,"wilcoxon_p_val"
"27","archetype_1","MRNA CATABOLIC PROCESS",0,0.129574678411919,0.129557858940687,0.143290456075608,805,"wilcoxon_p_val"
"28","archetype_1","REGULATION OF TRANSLATION",0,0.623305710414839,0.575816567527204,0.436700422708302,805,"wilcoxon_p_val"
"29","archetype_1","PROTEIN ADP RIBOSYLATION",0,0.131459039773648,0.120963867084392,0.106491123926197,805,"wilcoxon_p_val"
"30","archetype_1","OLIGOSACCHARIDE LIPID INTERMEDIATE BIOSYNTHETIC PROCESS",0,0.162297677150683,0.171432367039573,0.110397218051503,805,"wilcoxon_p_val"
"31","archetype_1","REGULATION OF CELLULAR AMINO ACID METABOLIC PROCESS",0,1.48716348160007,1.22272439312326,0.576134210118248,805,"wilcoxon_p_val"
"32","archetype_1","MEMBRANE LIPID METABOLIC PROCESS",0,0.142918772517748,0.130925307721106,0.107539887433807,805,"wilcoxon_p_val"
"33","archetype_1","NADH REGENERATION",0,0.281604939272286,0.279370444070075,0.287108111829591,805,"wilcoxon_p_val"
"34","archetype_1","PHOSPHATE ION TRANSPORT",0,0.159069367637193,0.145721530004774,0.0625277597360813,805,"wilcoxon_p_val"
"35","archetype_1","GOLGI TO PLASMA MEMBRANE TRANSPORT",0,0.271277479990519,0.235926866798039,0.157560845651761,805,"wilcoxon_p_val"
"36","archetype_1","GOLGI TO VACUOLE TRANSPORT",0,0.153959844518189,0.145895574060326,0.0762997970105213,805,"wilcoxon_p_val"
"37","archetype_1","PINOCYTOSIS",0,0.249236026390322,0.236845371752389,0.253960798799931,805,"wilcoxon_p_val"
"38","archetype_1","NUCLEOCYTOPLASMIC TRANSPORT",0,0.337600307972528,0.383864665820764,0.431595567806861,805,"wilcoxon_p_val"
"39","archetype_1","ER NUCLEUS SIGNALING PATHWAY",0,0.375677683419862,0.358483755320213,0.354623212638467,805,"wilcoxon_p_val"
"40","archetype_1","NUCLEAR ENVELOPE ORGANIZATION",0,0.0797523940035645,0.0818251744317433,0.09800183378878,805,"wilcoxon_p_val"
"41","archetype_1","MITOCHONDRIAL MEMBRANE ORGANIZATION",0,0.217443107293565,0.194431756992297,0.243978292076325,805,"wilcoxon_p_val"
"42","archetype_1","MITOTIC NUCLEAR ENVELOPE DISASSEMBLY",0,0.430394760399753,0.421129272550659,0.450498089911551,805,"wilcoxon_p_val"
"43","archetype_1","LEUKOCYTE CELL CELL ADHESION",0,0.0881812359114959,0.0906603208761082,0.080741279051995,805,"wilcoxon_p_val"
"44","archetype_1","CELL MATRIX ADHESION",0,0.0718210925764607,0.0674202824033484,0.0392042919776176,805,"wilcoxon_p_val"
"45","archetype_1","DOPAMINE RECEPTOR SIGNALING PATHWAY",0,0.289821415757309,0.289740847075668,0.18347640842335,805,"wilcoxon_p_val"
"46","archetype_1","GAMMA AMINOBUTYRIC ACID SIGNALING PATHWAY",0,0.403730774385884,0.379055685184273,0.381563400856487,805,"wilcoxon_p_val"
"47","archetype_1","TACHYKININ RECEPTOR SIGNALING PATHWAY",0,0.130250456895794,0.129480598813345,0.128343394759142,805,"wilcoxon_p_val"
"48","archetype_1","INTEGRIN MEDIATED SIGNALING PATHWAY",0,0.0612979937053674,0.0544220908210641,0.0532641799454492,805,"wilcoxon_p_val"
"49","archetype_1","I KAPPAB KINASE NF KAPPAB SIGNALING",0,0.0623485773119238,0.0586958181029357,0.0751480056418867,805,"wilcoxon_p_val"
"50","archetype_1","BLASTODERM SEGMENTATION",0,0.613095962303477,0.576832150196906,0.301497420158363,805,"wilcoxon_p_val"
"51","archetype_1","NEUROBLAST PROLIFERATION",0,0.225574927525578,0.211698057104532,0.222665159162963,805,"wilcoxon_p_val"
"52","archetype_1","MESODERM DEVELOPMENT",0,0.0852942083781573,0.0874359203853615,0.0437826319726239,805,"wilcoxon_p_val"
"53","archetype_1","MECHANOSENSORY BEHAVIOR",0,0.212728117982348,0.178641215324268,0.178623183785072,805,"wilcoxon_p_val"
"54","archetype_1","ASSOCIATIVE LEARNING",0,0.22678830238255,0.24793075603974,0.255747531612164,805,"wilcoxon_p_val"
"55","archetype_1","HISTONE MRNA METABOLIC PROCESS",0,0.1161918555379,0.124388842808211,0.086307097985,805,"wilcoxon_p_val"
"56","archetype_1","REGULATION OF SMOOTHENED SIGNALING PATHWAY",0,0.0777976628307067,0.0694575782442975,0.0627759275972695,805,"wilcoxon_p_val"
"57","archetype_1","INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO OXIDATIVE STRESS",0,0.216501142640847,0.235401387765752,0.117148173949548,805,"wilcoxon_p_val"
"58","archetype_1","SERINE FAMILY AMINO ACID BIOSYNTHETIC PROCESS",0,0.245554364146807,0.241720766659927,0.310021193477362,805,"wilcoxon_p_val"
"59","archetype_1","BRANCHED CHAIN AMINO ACID METABOLIC PROCESS",0,0.261413421453617,0.32502735657705,0.393062181532564,805,"wilcoxon_p_val"
