"","V1","V2","V3","V4"
"MT-ND4",0.594606654416892,1.01467239510727,-0.307145043158498,0.184686353900674
"MT-ND3",0.210647083017036,0.552770424004254,-0.539089232395068,-0.298643711709295
"MT-CO3",0.665383104847715,0.736904967992868,-0.178451670261186,0.276786272249738
"RPS19",-0.0178250267718304,-0.239222839611293,-0.806828785719256,-0.801843605695744
"MT-RNR2",1.14126646741801,0.906600389935898,1.03431899894642,0.603757406348781
"MT-ND1",0.592970029844355,0.867337512573668,-0.466986043971213,-0.0557088926025923
"MT-ND2",0.613221223040076,0.968904600066543,0.00704162528966357,-0.0108939173531225
"MT-ATP6",0.584022823457578,-0.0183154142979927,-0.0359082383124104,0.337106750310776
"MT-CYB",0.233709230337644,0.882349082025601,-0.151036505250046,0.206594085119437
"HIST1H4C",-1.28267767236235,-1.29965989244951,-1.08381613923769,-1.10845732130023
"RPS27A",0.39508196827349,-0.099082782713501,-1.17750120341813,-0.561694296509235
"MT-CO2",0.545743406333002,0.493302855260655,-0.76288721303788,0.374755690175054
"TUBB",0.177753843385145,0.611251956522638,0.393920197576144,-0.70691235039195
"MT-CO1",0.690142258856203,0.447762237979901,-0.290719020415331,0.882669246167339
"ACTG1",-0.0288771956139952,0.643838645482142,0.214784185319376,-0.498089767475937
"RPL37A",0.522627142457202,-0.218206354572563,-0.894398850597686,-0.395271977241507
"RPL7A",0.379252357923041,-0.8700585101227,-0.39924387481963,-0.407338270180078
"RPS16",0.259614740175742,-0.510388962475163,-0.182375562346063,-0.18807577689563
"RPL11",0.270103590091273,-0.547194319172089,-1.00995590797325,-0.387144965994675
"RPL7",-0.0649191247807102,-0.730751801140284,-0.656955246869931,-0.539703677319087
"ACTB",-0.350326723012004,0.501700899108416,0.192401766015608,-0.282123308433663
"RPS27",-0.272716720545788,-0.556743440679955,-0.643048893677082,-0.121693956340935
"RPS12",0.140866276713446,0.00649800046446436,-0.223002012444588,-0.521166355021593
"UCHL1",-0.521575245613755,-0.498207688431513,-0.396994748654349,0.265585609180383
"RPL13A",0.446886440313099,-0.180624166234241,-0.53280801585485,-0.438303110646729
"RPL37",0.0449915121058826,-0.643612855160531,-0.778026902448703,-0.473915978977337
"HSP90AB1",0.569448466131209,0.745413992991241,-0.347635151961873,0.129901833968286
"TPT1",0.61326790155923,0.00813621970970421,-0.117855389746421,-0.145833193308537
"RPS29",0.441074459430246,-0.186356202806511,-0.379011559460323,-0.260405870536561
"RPS2",0.124013447116717,-0.534497039895462,-0.28000661802883,-0.551941732721041
"TMSB4X",0.230874458983386,0.800280514146022,0.995922030202069,-0.908385933965499
"RPLP1",0.236886266734304,-0.530251289602646,-0.39830393794292,-0.0918669592276626
"BTF3",-0.378061941878937,-0.0943523600058303,-0.372516081217173,-0.23661813099171
"RPL10A",0.485013770752132,-0.0447440895582048,-0.320189822731446,-0.335606037340201
"RPL27A",0.32797020489613,-0.278981979134083,0.214808196784146,-0.204723170453763
"MTATP6P1",0.565475615450583,-0.210297712876502,-0.800613682573635,0.486317604015415
"HSP90AA1",0.548868844560666,-0.239969901108613,0.415137484676992,-0.0546084482962544
"RPL10-1",0.399039649936987,-0.862646853845657,-0.815324445500286,0.201220950073414
"MT-ATP8",0.845212289960234,0.659182014494958,0.318113975301586,0.0426284835776431
"HINT1",-0.507434839035206,-0.270822224935056,0.345735156699433,-0.198179461248899
"RPLP2",0.0697477324462467,-0.570060736153724,0.186617916502335,0.221693650870037
"YBX1",0.552419384057355,-0.230183267267429,-0.462382163443345,0.156015680522991
