"","V1","V2","V3","V4"
"PC_1",-7.25332869901852,-12.3852381739967,-2.59704999197083,25.6758014518705
"PC_2",-8.19506377117354,-9.49396058189425,19.4126344068759,-5.02646381336354
"PC_3",-12.5365904074549,17.7532187967657,0.0959691580263553,2.87745086972946
"PC_4",-1.8260652524089,3.40321803799901,-0.0550418643019888,-0.0972434979791941
"PC_5",0.151867365377282,-0.494656220880928,0.0407038069252143,-0.068133812202489
"PC_6",-0.00588660279180201,-0.122253775557025,-0.0493450149375333,0.0121939086882463
"PC_7",0.000130879551638091,-0.0532805832170783,-0.00323145382309319,0.0331249347705684
"PC_8",0.0469285147103453,-0.0952182637542584,0.00371211077146022,0.0164761657715846
"PC_9",-0.02018494788692,-0.132139349922947,0.00416288611510426,-0.00182861461433706
"PC_10",0.0055339755993276,-0.136251684650863,0.0201607959863654,-0.0563439463532447
"PC_11",0.442151959029299,0.038070137753603,0.0564729226896176,-0.109622085935274
