"","V1","V2","V3","V4"
"MT-ND4",0.627083667425062,1.07908485433104,0.155748443915776,-0.352286647192463
"MT-ND3",0.2605295440063,0.639074505262028,-0.327706582466286,-0.548320873462601
"MT-CO3",0.710088509109696,0.771988175930114,0.267307166665649,-0.208376737489501
"RPS19",0.0758012938184591,-0.177807375756316,-0.847052689035175,-0.824542374021145
"MT-RNR2",1.17001073420765,0.8837657011874,0.544684598636763,1.01462711346435
"MT-ND1",0.629011845250987,0.903929172616257,-0.112503134642489,-0.577798544716466
"MT-ND2",0.657489371124838,1.01593159436024,-0.0906429704499964,0.00189434556739204
"MT-ATP6",0.658010581212671,-0.0496618654863641,0.369837161866137,-0.0146046970088932
"MT-CYB",0.222099105490579,0.961543005622368,0.206536442612216,-0.167132072755211
"HIST1H4C",-1.29357219142776,-1.2377448583387,-1.05221006577853,-1.0380379738625
"RPS27A",0.503923728734192,-0.0468345696884068,-0.592092808909173,-1.27690829993015
"MT-CO2",0.635207385161573,0.508259337871424,0.429851313323117,-0.838763943378296
"TUBB",0.172634218621041,0.747939803787723,-0.83752502126901,0.450221498356173
"MT-CO1",0.72545168535901,0.387409577343592,0.958300715015724,-0.403513126920769
"ACTG1",-0.035558663703906,0.719893452327251,-0.607936712637951,0.238584794178397
"RPL37A",0.652002780083852,-0.203635892363794,-0.415062853636058,-0.974083436186584
"RPL7A",0.513895568060917,-0.916507030307482,-0.41052184494228,-0.404094536790297
"RPS16",0.326813696620054,-0.537150068417571,-0.194945644106924,-0.204454400277111
"RPL11",0.373672003537713,-0.533964501840014,-0.367905098189567,-1.08238317033975
"RPL7",0.0063462283406942,-0.719549885527725,-0.527287889894891,-0.683925047838443
"ACTB",-0.390300107190154,0.603392721872852,-0.319090081175191,0.253216080288932
"RPS27",-0.223413441806591,-0.557480314514525,-0.057004371178054,-0.640746471357649
"RPS12",0.17815646245003,0.0599714312387961,-0.584580608246268,-0.257626750245916
"UCHL1",-0.537606537110868,-0.4947275169698,0.386919403203444,-0.355843035073782
"RPL13A",0.541539827842872,-0.1621581177024,-0.482606402769878,-0.604832020615191
"RPL37",0.179511656128793,-0.68694175340212,-0.467949663937695,-0.795288848917518
"HSP90AB1",0.603905617726319,0.7896346697395,0.0918746823923033,-0.431583254882299
"TPT1",0.669247340596881,0.0234933532415006,-0.18947321598498,-0.201127600988833
