,SCLC-Y,SCLC-P,SCLC-N,SCLC-A2,SCLC-A
c.COLO668,219.71161348721,163.151578758456,190.111823822694,108.962737590948,168.018819808978
c.CORL24,222.904408862585,194.007225418833,147.30778400337,179.723459863101,145.958027339994
c.CORL279,222.164941932048,182.309983749831,134.033402491633,139.243882091295,142.255941994142
c.CORL311,221.129704734548,129.052133885569,156.731679072278,170.742740533333,162.306829237999
c.CORL47,230.207672121228,176.544479445711,139.077497497533,132.215444805855,122.241732466651
c.CORL88,218.362725544988,156.177499087998,176.522408307471,107.883322748073,127.925740200169
c.CORL95,218.713483981787,186.824103324779,179.065776601717,105.473865240128,145.065096137738
c.DMS114,143.506319572044,166.348367803513,167.870445737696,197.162702785596,184.054164537751
c.DMS153,215.435178414785,179.163990604887,183.092208286462,101.923495513607,131.092082437402
c.DMS273,177.494538803619,148.821714855761,116.965126822173,175.813633305687,170.72111627538
c.DMS454,218.951891921856,164.420441077878,200.210257705189,120.490176317196,189.820271455814
c.DMS53,201.356353301595,160.013221094419,203.225613427748,123.813378021262,187.841215318755
c.DMS79,216.072453624351,195.253939779317,166.032134431465,159.132290649207,124.165114565197
c.HCC33,231.127418796628,163.18269303472,135.583523701071,173.95780298785,120.492124191946
c.NCIH1048,160.99899700226,134.221786053768,177.014305506322,173.883226654104,163.485915271254
c.NCIH1092,233.494296764224,180.960972922252,133.839392701907,133.977047295916,103.887038452067
c.NCIH1105,221.823779434482,179.206910654517,154.887146858895,151.296091981337,95.3167960675111
c.NCIH1184,203.744884067778,168.522823003307,132.511981784744,170.589287214805,105.60493241106
c.NCIH1339,129.333514317619,173.877706061468,201.173412456309,198.392605663449,216.70307514177
c.NCIH1341,174.541664345919,169.016299032048,154.544885294149,178.412860427068,176.332192104307
c.NCIH1436,219.97810546868,169.695520619272,153.735726373729,136.898345790328,100.322167053766
c.NCIH146,234.437324188489,169.959274201026,162.455535891842,141.111759338173,137.174249681937
c.NCIH1618,207.038490221847,158.085901312445,157.792491025721,137.978630783731,93.708319367393
c.NCIH1694,215.711945413849,188.60967929728,102.355263843699,186.883491753932,148.328524190958
c.NCIH1836,223.82935997109,165.243547953396,169.569405788493,125.320034558391,124.773026331255
c.NCIH1876,198.900223816623,154.909927745222,164.56641731173,160.555939149809,103.295258730641
c.NCIH1930,208.228346655674,163.613317224343,142.982664447918,155.752839677544,122.759319379184
c.NCIH196,141.782879950755,204.60880380716,218.141649352173,216.080333209268,223.981942292859
c.NCIH1963,229.455268428932,168.684238827139,133.583212247019,159.967205166897,90.8065660871925
c.NCIH2029,223.040874584807,176.416141703261,192.913832436662,103.607238483444,154.447356287126
c.NCIH2066,184.457403780951,153.792635162734,172.523578582286,149.085408203065,177.722195241025
c.NCIH2081,221.957017299095,163.375239766189,140.690406648101,120.963845736629,125.889085373581
c.NCIH209,218.366518068584,153.568263159556,154.638824569275,127.56289729782,102.415418679307
c.NCIH211,198.557446141744,107.833081663018,182.784768295844,178.387083907735,181.426942126299
c.NCIH2171,215.255150685401,167.198288063266,102.651640109238,172.157354678257,135.621914387577
c.NCIH2196,185.764591440647,200.957921995811,184.034270105617,118.098143000636,149.557345886059
c.NCIH2227,205.035314569332,194.539083829459,133.317649270499,178.318887669314,140.084914205041
c.NCIH2286,122.034899208607,172.867223489702,196.796865928308,196.37709198297,212.431042735123
c.NCIH446,195.748095965885,181.57690052419,119.028370325841,185.602291463598,171.050131008555
c.NCIH510,204.875135343163,156.849380963838,171.481288914516,115.06947165376,143.696693154515
c.NCIH524,209.883325250997,159.203254141427,98.340962804405,180.941449963386,154.193481792193
c.NCIH526,207.470590619127,120.786394843744,159.01735893978,162.611003993905,154.094978651479
c.NCIH69,236.833497971849,187.824955457302,152.425467558175,152.541157388443,146.986936558129
c.NCIH82,203.768132085915,148.038919543539,127.929576651371,189.870940848633,174.64339499439
c.NCIH841,129.561390508681,162.124696353221,170.604550550935,190.031770130633,186.008540289383
c.NCIH889,225.75010350662,171.714000598063,152.138875880943,123.51635819343,131.654494999395
c.SBC5,145.433444258997,168.450070834479,178.199309850212,194.844602369557,201.213695642562
c.SCLC21H,221.95382716385,172.205010504008,116.052643135904,159.644444482047,143.524456595033
c.SHP77,202.340100845747,169.158036016994,163.957558167133,134.515489257863,176.748524154808
c.SW1271,122.334496712807,172.439230761685,200.779180614037,197.703671787595,211.501952362842
m.DMS153,211.68639975449,164.886173423705,165.96534506914,93.2823328983934,115.36318925174
m.HCC2433,216.340536090419,177.682540536529,100.019284162906,171.535610350012,123.223049311628
m.HCC33,220.986627570773,147.942326474505,131.02928093484,165.550752881277,113.115081572123
m.HCC4000,224.328469272922,157.763205811094,147.57719471893,110.023906929384,118.731824189796
m.HCC4001,216.995774180511,169.905942283635,91.2142601786769,173.844581749919,136.086131622797
m.HCC4002,206.616758367608,180.978940015435,131.555105490245,157.634645769192,105.793268631591
m.HCC4003,202.662977364272,161.732186678194,145.897925589682,120.85854574401,98.4111832517986
m.HCC4004,208.015932196642,180.850073872244,138.684195852762,156.769824771577,107.368465743783
m.HCC4005,214.770638587323,155.707977592273,118.48819449072,160.745107989127,127.084115097163
m.HCC970,213.264914508661,184.65370617403,98.4765482258345,179.971035150357,132.886263355253
m.NCIH1048,162.542939606609,122.521451830707,162.370762723727,162.204145984003,144.932034439324
m.NCIH1092,221.811337271785,175.747405502957,130.506206005053,133.986332604902,96.807348856342
m.NCIH1184,194.583503388624,175.622430360708,146.198787375242,168.111853113258,118.636828089127
m.NCIH1238,205.94320835452,172.574410932373,169.611064460548,101.101440421616,140.665467160142
m.NCIH128,217.111957869662,167.79721807528,146.302343441071,126.052980628479,87.2898504357675
m.NCIH1339,197.054308138704,165.106286237288,168.659675431094,142.319939264059,121.364529616987
m.NCIH1417,221.845703532635,168.208623094549,140.819115277268,132.831536524949,97.681226258174
m.NCIH1436,213.24853488428,157.451099403654,145.140473615385,133.86530655564,98.1618878878028
m.NCIH1450,183.693340094617,126.412386896764,186.702458157222,162.360597790724,170.716074996947
m.NCIH146,223.895376139312,165.889457546552,148.889142717839,128.311413857195,121.043583363115
m.NCIH1514,207.608594035941,159.806007030377,139.007719271604,144.887120730232,90.1940071029803
m.NCIH1522,215.942473604885,148.985527885818,133.987043427788,145.998803405635,81.2880505789
m.NCIH1607,163.750089040355,139.693044280302,185.878932543054,170.545894228858,158.052843435471
m.NCIH1628,212.872947915044,179.761513947046,163.382505140573,107.484879317064,119.674673559655
m.NCIH1672,221.417181254976,173.406534398174,147.984529123548,128.068120322225,83.8549431237244
m.NCIH1688,201.533766610943,159.097801836671,202.721232958158,120.914793603653,187.045358593757
m.NCIH1694,204.304573574757,175.915999899132,100.3313166025,174.234571221823,145.264699844905
m.NCIH1836,219.09840046954,156.674479190673,150.868526179755,124.552279041585,103.634158823708
m.NCIH187,217.144903482318,156.655961824347,147.760454985812,132.878035151417,114.246265644511
m.NCIH1870,210.422926263975,160.448901157954,124.536504124404,146.331489657094,110.011245516125
m.NCIH1876,213.902637787581,146.940950630103,149.891405742168,159.137089376326,93.5720065157943
m.NCIH1882,195.685060740653,147.479971934029,163.404420012375,155.913029548369,105.427379245899
m.NCIH1926,217.315675693208,154.474767760085,136.553866096012,152.215607464577,77.636463994169
m.NCIH1930,197.613053794835,168.110120871249,149.514593289033,140.211174079587,118.541942144036
m.NCIH1963,223.000071669225,153.342327655771,126.841894500614,158.127224869223,94.3122966959282
m.NCIH1994,212.115831222698,160.739261417967,166.218725722894,110.286293947912,133.218030607268
m.NCIH2029,217.589664254328,167.266393157387,157.908864941713,105.961801610563,115.820883146094
m.NCIH2081,218.472258525462,158.364204339826,151.35994440005,122.891816839659,126.881553821518
m.NCIH209,210.622363195608,154.298772651051,157.510309270244,118.703480452813,110.729172287146
m.NCIH2107,220.630823861861,164.524469776933,129.030302814667,124.534814386196,85.9158904064278
m.NCIH2108,221.060325498441,176.724692620415,141.512002092948,137.440212260203,76.3383670226223
m.NCIH211,178.639522174359,108.867794676124,168.50189584146,157.5592984392,160.673271876577
m.NCIH2141,205.188675057141,155.84795084337,146.046915710328,137.921487653258,99.3542856659441
m.NCIH2171,213.531906302016,157.412549783154,107.965445651305,168.160242462329,140.293558518482
m.NCIH2195,155.82808632134,181.334145059473,177.407546005092,123.514185189099,147.527440130073
m.NCIH2196,181.813282403923,191.268153422947,172.408180557209,113.760514538577,135.849632001691
m.NCIH2198,173.233801847404,191.486975873334,164.744090619074,117.585384246764,138.346626563224
m.NCIH2227,204.599294435098,186.5423496867,125.931826603104,169.502428380648,128.778356508302
m.NCIH250,213.741295176474,165.688147543381,155.31047180557,118.553900776634,126.973335098569
m.NCIH2679,211.147998986264,122.540573469085,155.521199290827,163.645685189732,168.094631635612
m.NCIH3282,218.429257550098,187.243578260269,143.558444933274,135.300316128008,100.557983836468
m.NCIH345,205.552868395235,169.554377944708,141.4156671978,127.245480336456,104.659203347521
m.NCIH378,216.577745183229,174.877595644953,101.727948835436,156.030343817284,115.714985382996
m.NCIH446,196.815611570812,175.096156611689,113.301165580397,182.861353622214,155.155711261448
m.NCIH510,193.176491848922,144.306124660316,155.41520969465,122.263201092695,127.18521155975
m.NCIH524,201.823225605148,157.449617553281,95.3028417256527,174.752043616357,149.328303353255
m.NCIH526,200.056827710617,112.065961501799,146.971413941121,155.058645960992,143.942856180502
m.NCIH60,194.619427798117,158.449109196923,96.8358215485435,174.678013728897,158.376485719342
m.NCIH69,224.231594290091,180.34799855153,132.344657656507,146.616746378355,125.002768506709
m.NCIH711,222.799532005404,176.162202375067,141.393924242381,153.942303752435,86.7012442164322
m.NCIH735,198.314167742064,159.039558096273,175.253273833637,108.90491963174,140.662498653973
m.NCIH738,223.321816399239,160.448875915057,148.837072281539,154.28881474245,96.6732573093506
m.NCIH740,221.663343726019,173.259381928633,144.059798735977,132.593101429035,97.8868777967822
m.NCIH748,216.340568671671,156.609610105143,152.880168636642,122.87427537054,113.945081330254
m.NCIH774,209.753335314852,169.595372237671,179.176754736448,103.160870072849,137.205228152309
m.NCIH82,178.272570596471,145.130066405102,152.4642322602,181.332541657647,182.73380775344
m.NCIH841,133.735308359329,153.785497389731,164.982511996258,184.115992026174,172.668873893295
m.NCIH865,218.759174586799,172.318074250677,155.138403508404,110.047582307714,118.345958529655
m.NCIH889,227.591516558068,172.539896042128,147.775717383869,115.848872710243,131.181901928217
m.SHP77,196.512271675612,170.907721772616,160.243838580435,123.807852935399,169.577730017196
