"","V1","V2","V3"
"MT-RNR2",-0.594057596463718,-0.338890805158096,-1.80349972866663
"MT-CO3",-0.293447317900182,-0.990607262421671,-1.8009668994631
"MT-ND4",-0.236787300495138,-1.02536607862818,-1.85104596998163
"MT-ATP6",-0.348859737964574,-0.24891969837573,-1.51155634385312
"MT-ND1",-0.292175010961837,-0.91429240136806,-1.25461184385708
"RPL7A",0.432176521941268,-1.32799920533276,-1.07141022684343
"MT-CYB",-0.225031167748055,-0.606158799858136,-1.14696906317416
"MT-RNR1",-0.11041658743212,0.0382802505312298,-0.863978200649006
"MT-ND2",-0.228471402259258,-0.626438899534335,-1.08487382638647
"EEF1A1",0.31779632267908,-0.715855987382638,-0.512331068749817
"MT-CO1",-0.28446951918737,0.388169334204787,-0.817987691057283
"RPS12",0.192463270070976,-0.864769184756769,-0.311008844545749
"MT-CO2",-0.231910824286071,-0.286915553426663,-0.90994077844925
"TUBB",0.364581759960393,-0.876675184802877,-0.362161631274468
"RPS19",0.130422070572829,-0.724748176803004,-0.192039319986594
"TPT1",0.156782408113351,0.0331516200011565,-0.391620087833985
"RPL27A",0.0672911112627319,-0.337985007231303,-0.0676102697845082
"RPL23",0.232704984081073,-0.550214788962721,-0.514108556108988
"RPL13A",0.156030596708711,-0.563866993453801,-0.368223148197047
"RPL37A",0.123866263599584,-0.420120807978916,-0.0908120185911751
"ACTG1",0.380070201808096,-0.457782892964975,0.356902214265726
"RPS28",0.148227009408747,-0.676816087225265,-0.581986184604392
"RPS8",0.23053647868461,-0.593276344822675,-0.231295348469171
"GNAS",0.263786293924409,-0.422830927327041,0.0654989755363236
"RPL10A",0.250262106580119,-0.775099792050755,-0.523169785447676
"PTMA",0.233132537361568,-0.336676928803006,0.596036253277004
"RPS29",0.01390847387651,-0.45165836102346,-0.15562276529231
"ACTB",0.0764556840532397,0.917995038517521,0.554949434598282
"RPL11",0.139262494173568,-0.257881677188685,-0.382048870968358
"RPL12",0.174734086539438,-0.382916684669625,-0.374494822711404
"RPS16",0.09947764996388,-0.374792322070668,-0.0542412463796066
"RPL19",0.0960774564835716,-0.32827786810027,-0.37124533658574
"RPL31",0.0985958710619388,-0.562188494161608,-0.470073953731634
"HSP90AB1",0.257784285134846,-0.217293052327109,0.176348927590098
"RPS27A",0.113176824649077,-0.187667231126885,0.213631216336802
"RPS18",0.0554728802809008,-0.553262431963234,-0.302765258738797
"H3F3B",0.338403449510705,-0.395979578103293,0.0315065024988679
"RPLP2",0.0128198517630961,-0.291434850448334,-0.101028284208288
"TUBA1A",0.274223981730622,-0.783613066122068,-0.203099575143505
"RPLP1",-0.0387559479445334,0.0180098388738911,0.0165078673434936
"RPS5",0.181027884611804,-0.613295074379852,-0.237612743842951
"HBB",-0.157821562511399,-0.652349377494388,-0.71379343114962
"RPS24",0.021891048923225,-0.293168989313291,-0.439742969174478
"RPL37",0.00859717623642699,-0.303659665890214,0.503295062117098
"RPS11",0.0445046466323003,-0.226727725135705,-0.070100780608406
"MT-ND5",-0.115732960034248,-0.150309883969363,-0.569891220644988
"RPL32",0.0829959824324623,-0.423872716226755,-0.361378023881895
"RPS2",-0.0112639466659873,0.511595759043779,0.278819682117623
"ENO1",0.267530672979193,-0.136547797813657,-0.232085419628684
"RPL8",0.152554937251475,-0.312230894791134,-0.0946316665231239
"RPL27",0.129721152262663,-0.325960297332683,-0.273111935976353
"HIST1H4C",-0.2504431821323,-0.782060781186027,0.116356610511319
"HBA2",-0.109687284208991,-0.658325532933105,-0.694553874670044
"RPL5",0.157774451802242,-0.376640570087188,0.0516416347888731
"RPS21",-0.00262187356096477,-0.466225646684494,-0.269817598868998
"RPL23A",0.148812995151232,-0.537667129188875,-0.307506769749863
"RPS6",0.0789957544385141,-0.255074378271941,0.506308726862132
"RPL9",0.151719029560889,-0.4852301642156,-0.516281349109323
"RPL4",0.18775968419827,-0.179472741864106,-0.105434448887997
"UBC",0.0612790995779113,0.258353275056842,0.0394955677493928
"RPS27",-0.0148373170729251,-0.0566697316312884,0.21939779289732
"TMSB4X",-0.147822631836199,1.82185122235318,1.1415832357902
"RPL14",0.130900964892625,-0.307189395400247,-0.0732669250197921
"HSP90AA1",0.00615302613078228,0.404281945863171,1.00877697570196
"COTL1",0.263051084512383,-0.0719061145007907,-0.0666218748874684
"RPS20",0.111427923486003,-0.313319613010889,-0.0889401530238532
"FTL",0.0689753200244835,3.38616081644215,-0.28932019821199
"RPL36A",0.104661500368677,-0.422929017063762,-0.21997719620051
"RPL38",0.0309034243415555,-0.345409865452459,-0.189041446732056
"RPL6",0.130718551669044,-0.39027962035514,0.0401181732739177
"RPL7",0.0891725647552876,-0.155599713700076,0.324765941334677
"C6orf48",0.29306749744267,-0.55644339748685,-0.29329741704815
"PKM",0.192755353258314,-0.102767410693135,0.00605537950086374
"PEBP1",0.150788051495621,-0.36711318366238,0.349766009643788
"RPS3A",0.0488986737891489,-0.26818494095021,-0.0830952842304675
"INSM1",0.460183119295149,-0.724604059694986,-0.183999439857015
"RPS10",0.0745438394422086,-0.40791654449884,-0.331233912481325
