archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,2.4861e-06,1.2013,1.0116,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,3.0905e-06,1.0644,0.8522,1,1
1,GO POSITIVE REGULATION BY SYMBIONT OF ENTRY INTO HOST,5.2538e-08,0.98963,0.82572,1,1
1,GO NEGATIVE REGULATION OF VIRAL ENTRY INTO HOST CELL,3.9717e-11,0.91991,0.89471,1,1
1,GO NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,1.1789e-06,0.90901,0.69951,1,1
1,GO BLEB ASSEMBLY,3.6361e-10,0.87874,0.99781,1,1
1,GO RESPONSE TO INTERFERON ALPHA,8.0815e-10,0.85574,0.8851,1,1
1,GO NEGATIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,5.4701e-07,0.81081,0.64467,1,1
1,GO REGULATION OF VIRAL ENTRY INTO HOST CELL,1.6001e-09,0.79855,0.74308,1,1
1,GO MODULATION BY SYMBIONT OF ENTRY INTO HOST,6.2565e-10,0.78241,0.74756,1,1
1,GO NEGATIVE REGULATION OF CELL KILLING,3.4296e-07,0.78149,0.62021,1,1
1,GO T HELPER 1 CELL DIFFERENTIATION,4.0343e-10,0.78019,0.64487,1,1
1,GO RESPONSE TO INTERFERON BETA,3.5606e-08,0.7641,0.70694,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION VIA MHC CLASS IB,4.1552e-07,0.76387,0.69865,1,1
1,GO REGULATION OF TAU PROTEIN KINASE ACTIVITY,3.4296e-07,0.76294,0.72305,1,1
1,GO NEGATIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,1.7309e-08,0.73395,0.74173,1,1
1,GO NEGATIVE REGULATION OF INTERLEUKIN 8 PRODUCTION,8.2864e-09,0.7282,0.64304,1,1
1,GO REGULATION OF T HELPER 2 CELL DIFFERENTIATION,1.1245e-09,0.7277,0.70653,1,1
1,GO POSITIVE REGULATION OF CHEMOKINE BIOSYNTHETIC PROCESS,1.1579e-08,0.71943,0.63766,1,1
1,GO T HELPER 2 CELL DIFFERENTIATION,6.0979e-10,0.71615,0.68006,1,1
1,GO TRAIL ACTIVATED APOPTOTIC SIGNALING PATHWAY,1.5604e-09,0.71615,0.69919,1,1
1,GO NEGATIVE REGULATION OF HIPPO SIGNALING,5.3647e-09,0.71454,0.64386,1,1
1,GO INFLAMMATORY RESPONSE TO WOUNDING,2.634e-09,0.70732,0.66698,1,1
1,GO POSITIVE REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,1.7909e-10,0.69843,0.67323,1,1
1,GO HYALURONAN CATABOLIC PROCESS,4.5526e-11,0.68333,0.72561,1,1
1,GO CELL PROLIFERATION INVOLVED IN METANEPHROS DEVELOPMENT,1.9563e-06,0.66669,0.56798,1,1
1,GO FIBRINOLYSIS,3.0296e-10,0.66339,0.6279,1,1
1,GO RESPONSE TO TYPE I INTERFERON,2.5359e-06,0.65482,0.51739,1,1
1,GO HEMIDESMOSOME ASSEMBLY,9.404e-07,0.6544,0.73944,1,1
1,GO REGULATION OF PHOSPHOLIPASE A2 ACTIVITY,9.1996e-11,0.65422,0.69523,1,1
1,GO NEUTROPHIL HOMEOSTASIS,4.4749e-10,0.64981,0.64797,1,1
1,GO MEMBRANE RAFT ORGANIZATION,2.4586e-08,0.63974,0.65216,1,1
1,GO INTERFERON GAMMA MEDIATED SIGNALING PATHWAY,3.094e-05,0.6375,0.45678,1,1
1,GO POSITIVE REGULATION OF INTERLEUKIN 13 PRODUCTION,6.5125e-09,0.6344,0.57354,1,1
1,GO REGULATION OF METANEPHROS DEVELOPMENT,4.3082e-09,0.62964,0.6169,1,1
