archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN,2.4861e-06,1.2013,1.0116,1,1
1,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,3.0905e-06,1.0644,0.8522,1,1
1,GO_POSITIVE_REGULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST,5.2538e-08,0.98963,0.82572,1,1
1,GO_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL,3.9717e-11,0.91991,0.89471,1,1
1,GO_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,1.1789e-06,0.90901,0.69951,1,1
1,GO_BLEB_ASSEMBLY,3.6361e-10,0.87874,0.99781,1,1
1,GO_RESPONSE_TO_INTERFERON_ALPHA,8.0815e-10,0.85574,0.8851,1,1
1,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY,5.4701e-07,0.81081,0.64467,1,1
1,GO_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL,1.6001e-09,0.79855,0.74308,1,1
1,GO_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST,6.2565e-10,0.78241,0.74756,1,1
1,GO_NEGATIVE_REGULATION_OF_CELL_KILLING,3.4296e-07,0.78149,0.62021,1,1
1,GO_T_HELPER_1_CELL_DIFFERENTIATION,4.0343e-10,0.78019,0.64487,1,1
1,GO_RESPONSE_TO_INTERFERON_BETA,3.5606e-08,0.7641,0.70694,1,1
1,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB,4.1552e-07,0.76387,0.69865,1,1
1,GO_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY,3.4296e-07,0.76294,0.72305,1,1
1,GO_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,1.7309e-08,0.73395,0.74173,1,1
1,GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,8.2864e-09,0.7282,0.64304,1,1
1,GO_REGULATION_OF_T_HELPER_2_CELL_DIFFERENTIATION,1.1245e-09,0.7277,0.70653,1,1
1,GO_POSITIVE_REGULATION_OF_CHEMOKINE_BIOSYNTHETIC_PROCESS,1.1579e-08,0.71943,0.63766,1,1
1,GO_T_HELPER_2_CELL_DIFFERENTIATION,6.0979e-10,0.71615,0.68006,1,1
1,GO_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY,1.5604e-09,0.71615,0.69919,1,1
1,GO_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING,5.3647e-09,0.71454,0.64386,1,1
1,GO_INFLAMMATORY_RESPONSE_TO_WOUNDING,2.634e-09,0.70732,0.66698,1,1
1,GO_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,1.7909e-10,0.69843,0.67323,1,1
1,GO_HYALURONAN_CATABOLIC_PROCESS,4.5526e-11,0.68333,0.72561,1,1
1,GO_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT,1.9563e-06,0.66669,0.56798,1,1
1,GO_FIBRINOLYSIS,3.0296e-10,0.66339,0.6279,1,1
1,GO_RESPONSE_TO_TYPE_I_INTERFERON,2.5359e-06,0.65482,0.51739,1,1
1,GO_HEMIDESMOSOME_ASSEMBLY,9.404e-07,0.6544,0.73944,1,1
1,GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY,9.1996e-11,0.65422,0.69523,1,1
1,GO_NEUTROPHIL_HOMEOSTASIS,4.4749e-10,0.64981,0.64797,1,1
1,GO_MEMBRANE_RAFT_ORGANIZATION,2.4586e-08,0.63974,0.65216,1,1
