archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,subtype: YAP1,4.6997e-12,1,1
1,source: CCLE,0.031913,1,1
2,subtype: POU2F3,7.7716e-16,1,1
2,source: tumor,0.4118,1,1
2,sampleType: tumor,0.4118,1,1
3,subtype: NEUROD1,1.1102e-16,1,1
3,sampleType: Cell_line,0.00028017,1,1
3,source: Minna,0.042587,1,1
3,source: CCLE,0.088033,1,1
4,subtype: ASCL1,0.00033874,1,1
5,source: tumor,0.004759,1,1
5,sampleType: tumor,0.004759,1,1
6,source: tumor,0.050386,1,1
6,sampleType: tumor,0.050386,1,1
6,subtype: NEUROD1,0.085013,1,1
