archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,3.3713e-09,1.3349,1.271,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,3.3713e-09,1.2134,1.0942,1,1
1,GO POSITIVE REGULATION BY SYMBIONT OF ENTRY INTO HOST,2.457e-10,1.1211,1.0503,1,1
1,GO BLEB ASSEMBLY,2.559e-11,1.0785,1.1365,1,1
1,GO NEGATIVE REGULATION OF VIRAL ENTRY INTO HOST CELL,4.7449e-12,0.96188,0.98102,1,1
1,GO NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,9.5677e-09,0.95468,0.8148,1,1
1,GO RESPONSE TO INTERFERON ALPHA,1.736e-11,0.94538,0.97677,1,1
1,GO MODULATION BY SYMBIONT OF ENTRY INTO HOST,6.8695e-12,0.8783,0.8845,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION VIA MHC CLASS IB,5.6451e-10,0.87087,0.88074,1,1
1,GO REGULATION OF T HELPER 2 CELL DIFFERENTIATION,1.5688e-10,0.8707,0.78237,1,1
1,GO NEGATIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,4.4148e-09,0.86697,0.74559,1,1
1,GO REGULATION OF VIRAL ENTRY INTO HOST CELL,9.3752e-12,0.85385,0.89275,1,1
1,GO T HELPER 2 CELL DIFFERENTIATION,4.5526e-11,0.83357,0.76238,1,1
1,GO REGULATION OF TAU PROTEIN KINASE ACTIVITY,2.7614e-08,0.80729,0.79581,1,1
1,GO POSITIVE REGULATION OF CHEMOKINE BIOSYNTHETIC PROCESS,8.5043e-10,0.80044,0.75803,1,1
1,GO REGULATION OF PHOSPHOLIPASE A2 ACTIVITY,3.2685e-12,0.79442,0.80224,1,1
1,GO T HELPER 1 CELL DIFFERENTIATION,1.1099e-11,0.78394,0.74405,1,1
1,GO NEGATIVE REGULATION OF INTERLEUKIN 8 PRODUCTION,4.1403e-10,0.77658,0.71191,1,1
1,GO NEGATIVE REGULATION OF CELL KILLING,1.6407e-09,0.77043,0.70829,1,1
