Column1,x_name,y_name,p,median_diff,mean_diff,top_bin_mean,sample_count,metric
220,archetype_2,Vim,0,0.881244481,1.886539599,0.282292187,1514,wilcoxon_p_val
243,archetype_2,S100a6,0,0.923596382,1.725571822,0.212983624,1514,wilcoxon_p_val
245,archetype_2,S100a10,0,0.486516379,1.666000553,0.239106543,1514,wilcoxon_p_val
654,archetype_2,Ftl1,1.76E-247,1.053002298,1.484466707,0.217181309,1514,wilcoxon_p_val
546,archetype_2,Anxa5,9.14E-274,1.010234162,1.47361329,0.220306343,1514,wilcoxon_p_val
45,archetype_2,Sparc,0,0.912615314,1.456114838,0.313994907,1514,wilcoxon_p_val
164,archetype_2,Rps2,0,1.393832073,1.450234932,0.468181348,1514,wilcoxon_p_val
43,archetype_2,Cd63,0,1.011111915,1.323317378,0.366378673,1514,wilcoxon_p_val
489,archetype_2,Anxa2,1.19E-286,0.683130436,1.282591463,0.13100361,1514,wilcoxon_p_val
312,archetype_2,Gapdh,0,1.02790457,1.274444064,0.465254912,1514,wilcoxon_p_val
30,archetype_2,Myl6,0,1.066765144,1.241973752,0.415334006,1514,wilcoxon_p_val
290,archetype_2,Pcolce,0,1.219233677,1.23508434,0.362652242,1514,wilcoxon_p_val
14,archetype_2,Igfbp2,0,0.881739929,1.188736751,0.407740535,1514,wilcoxon_p_val
277,archetype_2,Eno1,0,1.052984089,1.175718023,0.50735996,1514,wilcoxon_p_val
54,archetype_2,Actg1,0,0.675469011,1.14509158,0.31015915,1514,wilcoxon_p_val
297,archetype_2,Anxa3,0,0.855053294,1.127351168,0.083083968,1514,wilcoxon_p_val
53,archetype_2,Galk1,0,0.724447809,1.120628657,0.481652001,1514,wilcoxon_p_val
138,archetype_2,Tspo,0,0.795144252,1.105340012,0.203099326,1514,wilcoxon_p_val
334,archetype_2,Emp3,0,0.713078983,1.09870395,0.195161414,1514,wilcoxon_p_val
337,archetype_2,Aldoa,0,0.843570277,1.087026491,0.382775587,1514,wilcoxon_p_val
118,archetype_2,Lgals3,0,1.129265152,1.061432905,0.110153369,1514,wilcoxon_p_val
134,archetype_2,Rpl8,0,1.23029846,1.060419451,0.595182786,1514,wilcoxon_p_val
162,archetype_2,Myl12a,0,0.762024075,1.037862629,0.260166393,1514,wilcoxon_p_val
341,archetype_2,Rnh1,0,0.949636981,1.017460087,0.369179161,1514,wilcoxon_p_val
135,archetype_2,Lgals1,0,0.841240585,1.012439412,0.151240773,1514,wilcoxon_p_val
36,archetype_2,Atp5d,0,0.966757327,1.008532306,0.539566082,1514,wilcoxon_p_val
634,archetype_2,Npc2,1.66E-253,0.953579664,0.995775598,0.226326836,1514,wilcoxon_p_val
413,archetype_2,Rpl10,0,1.159020543,0.991363955,0.40975989,1514,wilcoxon_p_val
160,archetype_2,Hsp90ab1,0,0.581156731,0.97945925,0.288728042,1514,wilcoxon_p_val
387,archetype_2,Rpl13,0,1.024207503,0.972872742,0.482539716,1514,wilcoxon_p_val
238,archetype_2,Gstm1,0,0.806206673,0.95853907,0.35373338,1514,wilcoxon_p_val
345,archetype_2,Rps9,0,1.051555768,0.943045541,0.47652676,1514,wilcoxon_p_val
