"","V1","V2","V3","V4","V5","V6"
"PC_1",-49.7185401529102,12.9780257221706,7.43087440027719,-33.5299383261985,-33.9640837585133,43.9919539704737
"PC_2",-19.0164450811911,-4.20928967653555,0.507971455674594,93.8808499468373,77.1996315944446,11.4064308343155
"PC_3",9.32840829255747,-0.89719168111037,-21.9088862029002,5.03146675551462,-17.5342576047708,25.6923186470531
"PC_4",5.59463808617451,-16.9905014786461,12.8668880643857,-11.2189276454848,16.2991844579321,16.090726487319
"PC_5",-0.645849935086156,2.24155656392588,-5.28330771537558,-23.2578549137883,62.4060619182783,0.806781662240528
"PC_6",1.17099488096954,-7.16946024032273,8.1959964225347,4.12043062371569,-11.4022072325347,1.83615150888122
"PC_7",-1.56476895902806,3.76813532228187,-1.63030833866957,-0.271152979260242,2.07778636748598,-2.59897675740772
"PC_8",-1.25468611476932,0.888801294627005,1.16642223630351,0.736505903156486,-0.988882437895142,-1.96145336055272
"PC_9",-0.437897680110568,1.74850309443047,-1.04701924218349,0.957586493200472,0.129496315493281,-0.1868961043455
"PC_10",-0.268026742476264,-0.834262893882892,0.812724984993529,0.573831940082643,0.0260098007192972,1.55012964769131
"PC_11",-0.687079198561029,0.330585326755245,0.40493420774661,-0.558107801096162,0.348887801905498,-0.202733067351602
"PC_12",0.040386755538579,-0.511894407188153,0.132538216503786,1.82063473868698,0.4201225144362,0.313477903739651
"PC_13",-0.384969994534684,0.201771734309882,0.31600798089529,0.26080675719954,-2.37519564600161,-0.22322295801902
"PC_14",1.0085422995555,-0.688501294870451,0.249139889463268,-0.199927652251347,-0.664416418231255,-0.0285826821684102
"PC_15",-0.510597960017771,0.228854963762497,0.256597483789905,-0.199141824030027,-0.707744145655863,0.444625592883413
"PC_16",-0.302664025920864,0.443519461679901,-0.0107006786422108,0.5910740064297,-0.0344237456029707,-0.584857244802452
"PC_17",0.0106776947895259,0.146928747549126,-0.125199714974988,-0.202053471444342,0.312509900919996,0.951490107679366
"PC_18",-0.325248499054923,0.141561842543689,-0.0336937799812398,-0.45867529439233,-0.177637253240094,0.754849264388133
"PC_19",-0.488157143538535,0.613804678536705,1.08765400863671,-0.106388439367857,0.0184223899040147,-0.803421142619523
"PC_20",-0.272905779382878,0.324848195832516,0.335441697983074,0.29353571855621,-0.0809467916897353,0.699598320173394
"PC_21",0.0770559294498253,-0.0677179402042273,-0.528067205837187,0.154445286465712,-0.139138877348864,0.359974981966029
"PC_22",0.504904755265733,0.239669436245078,0.827563075838694,-0.0636478622850706,0.0965434416529088,-0.286713338061366
