"","V1","V2","V3","V4","V5","V6"
"PC_1",-31.6484038295457,3.04910627750952,8.37370323791745,-25.4580381112305,-25.308491861529,32.5213094345443
"PC_2",-11.863375873318,-0.727389136003416,-3.0259123980078,74.8266868431266,57.3469532172034,7.57581985900389
"PC_3",4.46796643885624,-14.5004813999488,2.26633549766406,5.75094209620441,-12.9662951007917,17.63036611709
"PC_4",4.50312825482973,5.34077120270602,-12.3986345898352,-7.92098174589935,12.6672013062985,13.7252144004077
"PC_5",-0.81074222128587,-2.8319345049044,2.10277014644297,-19.0293678304067,49.5539210702174,-0.323168216203573
"PC_6",0.555878862329949,4.84035905557653,-4.49908956735238,4.64330618790411,-5.24122662399485,-1.41552648901847
"PC_7",-1.74847296004864,-2.39241740017907,3.34428581635394,-0.947223199808145,2.22553395232725,-2.27047683390979
"PC_8",-1.29226465201025,0.373236007894372,0.284898347333054,1.36268745192903,-1.83203505893454,-4.00833760856972
"PC_9",0.456554348824849,-0.956784501228786,1.33377006368123,1.56068156801176,0.0752968650607432,-0.861909881593349
"PC_10",0.216984175139056,0.722762182746088,-0.54379426480193,-0.367297870101139,-0.0668196889050777,1.66703888993907
"PC_11",-0.906353634211715,-0.100081970609089,1.33801878193267,-0.322105518062879,-0.457667023316651,-1.27388081991247
"PC_12",-0.345238869832131,0.159175139440513,-0.0569441759535003,1.60325551352215,-0.144427413250639,0.714737293027292
"PC_13",-0.555305931187247,0.352299143581153,0.0879790295447414,-0.576051124003796,-3.59770833914947,0.184085848839725
"PC_14",1.14674461383756,0.291318416315579,-1.0219601392427,-0.0142684894826447,-0.365344316875875,-0.422894445483665
"PC_15",-0.820502771114342,0.28575064976939,0.562571518259305,-0.37716762624132,-1.46934114315994,0.919295668669022
"PC_16",-0.616632253854546,-0.0334326620661068,0.397836721465015,0.828802659157917,0.671175085933879,-0.669750701936695
"PC_17",0.849478743792348,0.0142322003242038,0.0160292066325542,-0.34117869862733,-0.0615403600943846,1.93423346225357
"PC_18",0.122681660806976,-0.152475144016938,-0.17135577627474,-1.1620958795352,-0.511748764956808,0.986226174266915
"PC_19",-0.392496594423307,1.11471396010296,0.485364492593666,-0.122378405584522,0.385944736066341,-0.879395517408368
"PC_20",0.431075968726917,0.218535452023223,0.0742595846266108,0.0105013293828048,-0.373636140123494,0.622580055583312
"PC_21",0.060304641135897,-0.859575263393689,-0.64219497957194,-0.243897499413287,-0.864499154909419,0.419663071793358
"PC_22",0.386622495061281,0.435026714882368,0.286137494745332,-0.0559164581370453,0.257049543797805,-0.302138757250323
