Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAX ENCODE	31/2073	2.6515751931620753E-23	2.12126015452966E-21	0	0	30.224072260311242	1571.1773382211552	RBM28;DDX3X;MAK16;TIMM13;DDX21;NOLC1;HNRNPU;NAT10;HSPD1;HSPH1;BMS1;UTP20;RRP12;MDN1;HSPA4;PNO1;PA2G4;HSPE1;HNRNPAB;UTP18;BYSL;DNAJC2;ANLN;MYBBP1A;PPA1;NCL;ABCE1;KPNB1;EIF3A;EIF4G1;EIF3B
MYC ENCODE	27/1515	2.03652734877587E-21	8.14610939510348E-20	0	0	25.78287841191067	1228.3747300681414	RBM28;DDX3X;MAK16;TIMM13;DDX21;NOLC1;HNRNPU;NAT10;HSPD1;BMS1;RRP12;MDN1;PNO1;PA2G4;HSPE1;HNRNPAB;UTP18;BYSL;DNAJC2;MYBBP1A;PPA1;NCL;ABCE1;KPNB1;EIF3A;EIF4G1;EIF3B
SIN3A ENCODE	21/1131	2.4723592191200605E-16	6.592957917653495E-15	0	0	18.769559032716927	674.5064141585628	LRRC59;RBM28;PNO1;DDX21;NOLC1;HNRNPU;NAT10;HSPE1;HNRNPAB;UTP18;HSPD1;BYSL;DNAJC2;ANLN;HSPH1;MYBBP1A;BMS1;UTP20;RRP12;ABCE1;MDN1
ATF2 ENCODE	26/2852	2.757771971113144E-13	5.515543942226288E-12	0	0	11.259832170660196	325.62514835420455	LRRC59;RBM28;DDX3X;SET;MAK16;TIMM13;DDX21;NOLC1;HNRNPU;NAT10;HSPD1;HSPH1;BMS1;MDN1;HSPA4;PNO1;PA2G4;HSPE1;UTP18;BYSL;DNAJC2;NCL;BCAT1;ABCE1;EIF3A;EIF3B
MYC CHEA	14/573	2.507681907724376E-12	4.012291052359002E-11	0	0	18.68817944131003	499.19233884081666	SET;DDX21;NOLC1;NAT10;PA2G4;HSPE1;HNRNPAB;HSPD1;BYSL;ANLN;NCL;RRP12;ABCE1;KPNB1
E2F6 ENCODE	22/3245	2.21967289170478E-8	2.9595638556063737E-7	0	0	6.346985210466439	111.8549571433619	LRRC59;RBM28;DDX3X;TIMM13;NOLC1;PA2G4;HSPE1;HNRNPAB;UTP18;HSPD1;DNAJC2;ANLN;MYBBP1A;PPA1;BMS1;NCL;ABCE1;MDN1;KPNB1;EIF3A;EIF4G1;EIF3B
CREB1 ENCODE	17/2238	4.4810308537634454E-7	5.121178118586795E-6	0	0	5.903392518058846	86.29722357708432	LRRC59;HSPA4;PNO1;TIMM13;DDX21;NOLC1;NAT10;HSPE1;HSPD1;BYSL;DNAJC2;HSPH1;BMS1;RRP12;ABCE1;MDN1;EIF3A
BRCA1 ENCODE	20/3218	6.580956610373281E-7	6.580956610373282E-6	0	0	5.2414008755472175	74.60565734589635	DDX3X;HSPA4;MAK16;TIMM13;NOLC1;HNRNPU;NAT10;PA2G4;HSPE1;HNRNPAB;UTP18;HSPD1;BYSL;HSPH1;BMS1;NCL;ABCE1;KPNB1;EIF3A;EIF3B
USF2 ENCODE	11/965	1.984627034128665E-6	1.7641129192254804E-5	0	0	7.556784500831346	99.22118166536991	ANLN;DDX3X;PPA1;NCL;NAT10;UTP20;PA2G4;UTP18;KPNB1;EIF3A;EIF4G1
TAF1 ENCODE	19/3346	6.078914385049619E-6	4.863131508039695E-5	0	0	4.523265633274651	54.3275161279843	LRRC59;RBM28;DDX3X;HSPA4;MAK16;DDX21;HNRNPU;NAT10;PA2G4;HSPE1;HNRNPAB;HSPD1;DNAJC2;MYBBP1A;BMS1;NCL;KPNB1;EIF3A;EIF4G1
PML ENCODE	12/1596	4.334113310615645E-5	3.152082407720469E-4	0	0	4.971861471861472	49.94935094213205	RBM28;DDX3X;HSPA4;BMS1;NCL;DDX21;NOLC1;HNRNPU;NAT10;PA2G4;HNRNPAB;EIF3A
USF1 ENCODE	11/1423	7.673047532512998E-5	5.115365021675333E-4	0	0	4.982612093386734	47.21130389070167	ANLN;DDX3X;PPA1;NCL;TIMM13;UTP20;UTP18;MDN1;EIF3A;EIF4G1;EIF3B
CREB1 CHEA	11/1444	8.758507633461992E-5	5.389850851361226E-4	0	0	4.904035421228674	45.81791222319813	LRRC59;HSPH1;IFRD1;NOLC1;RRP12;HSPE1;UTP18;MDN1;KPNB1;EIF3A;BYSL
GABPA ENCODE	13/2082	1.3081420158652418E-4	7.475097233515667E-4	0	0	4.163453448615362	37.228487221954	RBM28;MAK16;TIMM13;DDX21;NOLC1;HSPE1;HSPD1;BYSL;DNAJC2;MYBBP1A;BMS1;RRP12;MDN1
FLI1 ENCODE	7/650	2.715864316767222E-4	0.0014484609689425182	0	0	6.372543475187332	52.32642092787877	DNAJC2;HSPA4;DDX21;NOLC1;RRP12;MDN1;BYSL
SALL4 CHEA	5/355	6.765412843938312E-4	0.0033379789533141205	0	0	8.004081632653062	58.41792655177514	ANLN;DDX3X;BCAT1;HNRNPAB;EIF3B
SPI1 ENCODE	10/1540	7.093205275792506E-4	0.0033379789533141205	0	0	4.015250544662309	29.115396994196967	ANLN;DDX3X;HSPH1;MYBBP1A;DDX21;RRP12;HSPE1;ABCE1;UTP18;HSPD1
NRF1 ENCODE	11/1882	8.780224465874977E-4	0.0039023219848333232	0	0	3.66720728358429	25.809212237746042	ANLN;MYBBP1A;PPA1;TIMM13;HNRNPU;NAT10;UTP20;HSPE1;UTP18;HSPD1;BYSL
ELF1 ENCODE	12/2483	0.002562726880317803	0.01079042896975917	0	0	3.0333005723535873	18.09874417159416	LRRC59;RBM28;DNAJC2;HSPH1;MYBBP1A;PNO1;BMS1;MAK16;TIMM13;DDX21;HSPE1;HSPD1
CEBPD ENCODE	6/734	0.00316714817847285	0.0126685927138914	0	0	4.661926308985133	26.829030316252545	ANLN;BMS1;TIMM13;HNRNPU;HNRNPAB;EIF3A
EGR1 ENCODE	5/537	0.004149389570924401	0.01580719836542629	0	0	5.216970998925886	28.61401147776929	HSPA4;MAK16;HNRNPAB;EIF4G1;EIF3B
YY1 ENCODE	12/2753	0.006035427305190194	0.021947008382509795	0	0	2.6922916558086203	13.757902804454057	RBM28;DDX3X;HSPA4;BMS1;NCL;MAK16;NOLC1;HNRNPU;UTP20;ABCE1;EIF3A;EIF3B
BCLAF1 ENCODE	6/851	0.0064969229406524765	0.02259799283705209	0	0	3.991994430908458	20.105386970465926	RBM28;DNAJC2;BMS1;HNRNPU;HSPE1;HSPD1
TAF7 ENCODE	5/640	0.008613920357637054	0.028713067858790183	0	0	4.347581552305962	20.67003625161511	RBM28;DDX3X;BMS1;HNRNPU;HNRNPAB
ZMIZ1 ENCODE	6/914	0.009102692442266518	0.02912861581525286	0	0	3.702772739051568	17.400014248705784	DDX3X;NCL;HNRNPU;NAT10;HNRNPAB;EIF4G1
ZBTB33 ENCODE	5/702	0.012514928556734594	0.03846876828768884	0	0	3.948145111703218	17.296164641787886	DDX3X;HSPH1;HSPA4;NCL;MAK16
KLF4 CHEA	6/987	0.012983209297094983	0.03846876828768884	0	0	3.4141032559812916	14.831200317201535	ANLN;SET;MYBBP1A;IFRD1;HNRNPU;PA2G4
BCL3 ENCODE	3/273	0.017133064742583467	0.04895161355023848	0	0	5.912912912912913	24.04630944865937	BMS1;NOLC1;NAT10
PPARG CHEA	4/535	0.021634075822930376	0.05817955823286087	0	0	4.065494873404478	15.585016147479315	HNRNPU;NAT10;KPNB1;EIF3A
ATF3 ENCODE	2/114	0.021817334337322827	0.05817955823286087	0	0	9.327067669172932	35.67650459095794	TIMM13;NOLC1
NANOG CHEA	4/595	0.03042943930359729	0.0785275852996059	0	0	3.6414739612709157	12.71728243820683	SET;NOLC1;BCAT1;KPNB1
BHLHE40 ENCODE	3/348	0.03211559859241457	0.08028899648103643	0	0	4.609870740305523	15.850641461343645	DDX3X;HSPH1;UTP18
FOS ENCODE	4/637	0.03769032141099616	0.09137047614786949	0	0	3.392487274003862	11.121767249681165	HSPE1;HNRNPAB;KPNB1;HSPD1
CHD1 ENCODE	4/655	0.04108536431381589	0.09667144544427268	0	0	3.2956135859361666	10.519939070155047	ANLN;HNRNPU;UTP18;EIF3B
ZNF384 ENCODE	4/730	0.05707090562673642	0.12990470927970574	0	0	2.943679216406489	8.429110120075142	HSPA4;TIMM13;NAT10;EIF4G1
FOSL2 ENCODE	2/196	0.05845711917586758	0.12990470927970574	0	0	5.362452523060228	15.22647908852906	ANLN;IFRD1
NELFE ENCODE	2/234	0.07957354508682304	0.1720509082958336	0	0	4.475499092558984	11.32781755312889	DDX3X;HNRNPAB
E2F1 CHEA	4/859	0.09137965082118628	0.192378212255129	0	0	2.4827810266406756	5.940630763514883	NCL;NOLC1;PA2G4;HNRNPAB
POU5F1 CHEA	2/261	0.09581142424540497	0.19653625486236914	0	0	4.003454582401951	9.389595685978449	SET;HNRNPU
TCF3 CHEA	4/1006	0.14013052741343432	0.2776461400057082	0	0	2.1022399645154137	4.13128193493167	SET;MAK16;BCAT1;UTP18
YY1 CHEA	2/332	0.14229364675292547	0.2776461400057082	0	0	3.130781499202552	6.104593195959087	SET;EIF3B
CBX3 ENCODE	1/81	0.14997310878201375	0.28566306434669286	0	0	6.371794871794871	12.08920179544639	DNAJC2
SP1 ENCODE	3/707	0.16712132457237233	0.3060873666147059	0	0	2.217751842751843	3.9676361911416604	HNRNPAB;KPNB1;BYSL
E2F4 ENCODE	3/710	0.1685913406824112	0.3060873666147059	0	0	2.207997247601208	3.9308480294200834	NOLC1;HNRNPAB;KPNB1
SIX5 ENCODE	4/1094	0.1735268273332768	0.3060873666147059	0	0	1.9235474006116209	3.3689452881857944	HSPH1;TIMM13;PA2G4;EIF3B
STAT3 ENCODE	3/725	0.17600023580345592	0.3060873666147059	0	0	2.1604402186119636	3.753267857932863	DNAJC2;DDX21;NAT10
NFYB ENCODE	10/3715	0.196067857812104	0.3337325239354962	0	0	1.4624381466486729	2.3827423797029565	SET;HSPH1;PNO1;NCL;PA2G4;HSPE1;HNRNPAB;UTP18;KPNB1;HSPD1
ZKSCAN1 ENCODE	1/120	0.21412541218649167	0.3568756869774861	0	0	4.275156216332687	6.588842533290261	NAT10
UBTF ENCODE	5/1631	0.22444110843976472	0.36519254357147046	0	0	1.6107889650325076	2.4067473321033304	DNAJC2;HNRNPU;HNRNPAB;UTP18;KPNB1
ZC3H11A ENCODE	1/129	0.228245339732169	0.36519254357147046	0	0	3.97275641025641	5.869088822161738	RBM28
TCF3 ENCODE	3/840	0.23553572212861354	0.369467799417433	0	0	1.8524653685944008	2.678466136239965	TXNRD1;HNRNPU;KPNB1
HNF4A ENCODE	4/1276	0.2501489122102204	0.37921618571270593	0	0	1.6324248777078967	2.2620493404072732	TIMM13;HSPE1;EIF3A;HSPD1
CEBPB ENCODE	1/144	0.25123072303466765	0.37921618571270593	0	0	3.5533440918056303	4.908531064512407	HNRNPU
ZBTB7A ENCODE	6/2184	0.2680442720107422	0.39147226018464115	0	0	1.440771349862259	1.8969240516176673	ANLN;DDX3X;MAK16;TIMM13;UTP18;KPNB1
ETS1 ENCODE	1/156	0.2691371788769408	0.39147226018464115	0	0	3.2762613730355667	4.300204676675651	NAT10
HDAC2 ENCODE	1/175	0.29663845848898845	0.42376922641284065	0	0	2.9157088122605366	3.5432894560054793	LRRC59
RFX5 ENCODE	2/559	0.3081821650177334	0.4325363719547135	0	0	1.8334120759708967	2.1580437661057497	DDX3X;KPNB1
SMAD4 CHEA	2/584	0.3267156166992721	0.45064222993003056	0	0	1.7523964550551636	1.9603448610808594	BCAT1;MDN1
FOXA1 ENCODE	1/205	0.33801959598722336	0.45833165557589606	0	0	2.4831573655103067	2.6933601349866962	UTP18
TRIM28 CHEA	1/210	0.34468163927011114	0.4595755190268148	0	0	2.4231382652435283	2.5809671291813814	TXNRD1
STAT5A ENCODE	1/233	0.37449447556238613	0.49114029581952273	0	0	2.180371352785146	2.1415132708667657	PNO1
IRF1 ENCODE	1/263	0.41139998527283195	0.5308386906746219	0	0	1.927774515560775	1.712228769942839	DDX3X
SRF ENCODE	1/299	0.4528906683381494	0.5603466525349373	0	0	1.6917914300464636	1.3400756604200188	RBM28
GATA2 CHEA	2/772	0.4604880699383903	0.5603466525349373	0	0	1.3116883116883118	1.0171727450430903	PPA1;BMS1
SOX2 CHEA	2/775	0.46251138148796866	0.5603466525349373	0	0	1.3063934091373324	1.0073392040409963	HNRNPU;BCAT1
PBX3 ENCODE	3/1269	0.47049816352329893	0.5603466525349373	0	0	1.1972588702446523	0.9026891568254258	BMS1;HNRNPAB;KPNB1
FOXA2 ENCODE	1/316	0.4714784520589968	0.5603466525349373	0	0	1.5991045991045991	1.202337770344046	TIMM13
REST CHEA	3/1280	0.47629465465469667	0.5603466525349373	0	0	1.1862473279857775	0.8798617001101582	HSPA4;TXNRD1;KPNB1
RUNX1 CHEA	3/1294	0.4836337459918127	0.5607347779615219	0	0	1.1725040299788556	0.851739032744113	DDX3X;PA2G4;KPNB1
EZH2 ENCODE	1/338	0.49462136727754563	0.5652815626029093	0	0	1.4930381191508788	1.051043180946419	KPNB1
TP63 CHEA	3/1399	0.5371611259475059	0.6052519728985982	0	0	1.0782157515681872	0.6700649216512179	ANLN;RRP12;HNRNPAB
SP2 ENCODE	2/994	0.5978551811193538	0.6642835345770598	0	0	1.0063667232597624	0.5176818116710598	LRRC59;BYSL
RELA ENCODE	1/484	0.6250158732955126	0.6826382709056665	0	0	1.0339756861495992	0.4859460652130334	NOLC1
SPI1 CHEA	2/1056	0.6314404005877415	0.6826382709056665	0	0	0.9440727054828723	0.4340390493754356	RRP12;EIF3A
NFYA ENCODE	4/2250	0.6730899562578977	0.7179626200084241	0	0	0.8763233402592263	0.3469156360214044	HSPH1;NCL;HNRNPAB;KPNB1
TCF7L2 ENCODE	1/583	0.6941014237991834	0.7306330776833508	0	0	0.8537316063089259	0.31172915577235105	HSPA4
IRF3 ENCODE	1/663	0.7407109354977771	0.7695698031145736	0	0	0.7474630103028894	0.22434715841119576	KPNB1
NFE2L2 CHEA	1/1022	0.8775639895768358	0.8950721500530578	0	0	0.47562721313945605	0.062119484185711935	TXNRD1
CTCF ENCODE	2/1790	0.8843103891844348	0.8950721500530578	0	0	0.5349111032615095	0.06576580045576055	LRRC59;BYSL
AR CHEA	1/1095	0.8950721500530578	0.8950721500530578	0	0	0.4421787840435007	0.04901593800339653	TXNRD1
