Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KDM5B 21448134 ChIP-Seq MESCs Mouse	32/3724	6.19017657810486E-17	3.32412482244231E-14	0	0	17.62513542795233	657.7873791198743	LRRC59;RBM28;DDX3X;SET;MAK16;DDX21;HNRNPU;NAT10;HSPD1;IPO5;HSPH1;BMS1;UTP20;RRP12;MDN1;HSPA4;PNO1;TXNRD1;IFRD1;PA2G4;HNRNPAB;UTP18;DNAJC2;ANLN;MYBBP1A;NCL;BCAT1;ABCE1;KPNB1;EIF3A;EIF4G1;EIF3B
MYC 19030024 ChIP-ChIP MESCs Mouse	27/3868	4.233503023662229E-11	1.1366955618533085E-8	0	0	8.715939358740712	208.18375229976346	LRRC59;RBM28;DDX3X;SET;TIMM13;DDX21;NOLC1;NAT10;HSPD1;BMS1;RRP12;HSPA4;PNO1;IFRD1;PA2G4;HSPE1;UTP18;BYSL;DNAJC2;ANLN;MYBBP1A;PPA1;NCL;BCAT1;ABCE1;KPNB1;EIF4G1
CREM 20920259 ChIP-Seq GC1-SPG Mouse	31/5776	2.603000807577736E-10	4.659371445564148E-8	0	0	8.52267672372111	188.08853777980195	LRRC59;RBM28;DDX3X;SET;MAK16;TIMM13;DDX21;NOLC1;HNRNPU;NAT10;IPO5;HSPH1;BMS1;RRP12;MDN1;HSPA4;TXNRD1;IFRD1;PA2G4;HSPE1;HNRNPAB;UTP18;BYSL;DNAJC2;ANLN;NCL;ABCE1;KPNB1;EIF3A;EIF4G1;EIF3B
MYC 18555785 ChIP-Seq MESCs Mouse	14/1200	3.864656966304379E-8	5.1883019772636295E-6	0	0	8.523673628226748	145.48894707820722	SET;DDX21;NOLC1;NAT10;PA2G4;HSPE1;UTP18;HSPD1;DNAJC2;ANLN;BCAT1;ABCE1;MDN1;KPNB1
MYC 18358816 ChIP-ChIP MESCs Mouse	21/3413	3.2872057756962386E-7	3.53045900309776E-5	0	0	5.398584905660377	80.59038726884096	LRRC59;SET;HSPA4;IFRD1;TIMM13;DDX21;NOLC1;NAT10;PA2G4;HSPE1;UTP18;HSPD1;BYSL;DNAJC2;ANLN;MYBBP1A;PPA1;NCL;BCAT1;ABCE1;KPNB1
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse	13/1239	4.6352111492846455E-7	4.148513978609758E-5	0	0	7.3573197994078905	107.30219713140212	LRRC59;RBM28;SET;HSPA4;PNO1;TXNRD1;NOLC1;NAT10;PA2G4;BYSL;NCL;ABCE1;EIF4G1
XRN2 22483619 ChIP-Seq HELA Human	13/1529	4.916325384696338E-6	3.771523902259905E-4	0	0	5.85781295807681	71.59975008981124	DDX3X;SET;HSPA4;HNRNPU;NAT10;PA2G4;HNRNPAB;ANLN;MYBBP1A;BMS1;NCL;KPNB1;EIF4G1
MYC 19079543 ChIP-ChIP MESCs Mouse	12/1458	1.7621392407154282E-5	0.0011828359653302313	0	0	5.487255483106106	60.065676499419986	SET;MYBBP1A;HSPA4;TXNRD1;NCL;IFRD1;DDX21;NOLC1;NAT10;ABCE1;HSPD1;BYSL
TFEB 21752829 ChIP-Seq HELA Human	9/808	2.427085462982515E-5	0.0014481609929129005	0	0	6.962291574145101	73.98294170876817	ANLN;TXNRD1;NCL;TIMM13;UTP20;UTP18;EIF3A;EIF4G1;EIF3B
CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat	15/2393	3.0222316120111736E-5	0.0016229383756500002	0	0	4.436164844407065	46.16685683604733	LRRC59;TXNRD1;IFRD1;NOLC1;PA2G4;HSPE1;HNRNPAB;UTP18;BYSL;HSPH1;RRP12;MDN1;KPNB1;EIF3A;EIF3B
ETS1 20019798 ChIP-Seq JURKAT Human	11/1607	2.2679618388889868E-4	0.011071777340758055	0	0	4.364445596750497	36.62406546295288	RBM28;HSPH1;BMS1;IFRD1;TIMM13;DDX21;NOLC1;NAT10;PA2G4;HSPE1;EIF3B
ZFX 18555785 ChIP-Seq MESCs Mouse	16/3249	2.8120125005037523E-4	0.01257335909658103	0	0	3.449221569233942	28.20235304413614	SET;HSPA4;TXNRD1;IFRD1;TIMM13;DDX21;NOLC1;UTP18;HSPD1;DNAJC2;MYBBP1A;NCL;ABCE1;MDN1;KPNB1;EIF4G1
SPI1 22790984 ChIP-Seq ERYTHROLEUKEMIA Mouse	12/1962	3.1357872949829333E-4	0.01257335909658103	0	0	3.9582417582417584	31.93295744539908	DNAJC2;HSPH1;HSPA4;BMS1;MAK16;TIMM13;NOLC1;RRP12;HNRNPAB;UTP18;MDN1;EIF3A
LUZP1 20508642 ChIP-Seq ESCs Mouse	12/2000	3.7462522447913684E-4	0.01257335909658103	0	0	3.874389192296637	30.567320659381785	MYBBP1A;HSPA4;PNO1;PPA1;TXNRD1;TIMM13;DDX21;UTP20;PA2G4;HNRNPAB;UTP18;KPNB1
TAL1 21186366 ChIP-Seq BM-HSCs Mouse	12/2000	3.7462522447913684E-4	0.01257335909658103	0	0	3.874389192296637	30.567320659381785	HSPA4;PNO1;PPA1;TXNRD1;IFRD1;TIMM13;DDX21;UTP20;PA2G4;UTP18;KPNB1;IPO5
