NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_MRNA_PROCESSING	GOBP_MRNA_PROCESSING	Details ...	471	-0.3137708	-7.689571	0.0	0.0	0.0	7881	tags=71%, list=41%, signal=117%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	191	-0.45843512	-7.3538375	0.0	0.0	0.0	6346	tags=78%, list=33%, signal=115%	
GOBP_COVALENT_CHROMATIN_MODIFICATION	GOBP_COVALENT_CHROMATIN_MODIFICATION	Details ...	421	-0.3109115	-7.2549543	0.0	0.0	0.0	8454	tags=74%, list=43%, signal=128%	
GOBP_RNA_SPLICING	GOBP_RNA_SPLICING	Details ...	414	-0.30655357	-7.168252	0.0	0.0	0.0	7885	tags=71%, list=41%, signal=116%	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	Details ...	332	-0.31413785	-6.5167756	0.0	0.0	0.0	7881	tags=71%, list=41%, signal=118%	
GOBP_RNA_CATABOLIC_PROCESS	GOBP_RNA_CATABOLIC_PROCESS	Details ...	395	-0.26963764	-6.404024	0.0	0.0	0.0	7716	tags=66%, list=40%, signal=107%	
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	Details ...	312	-0.30903977	-6.286214	0.0	0.0	0.0	5745	tags=60%, list=30%, signal=84%	
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	Details ...	410	-0.26811838	-6.274216	0.0	0.0	0.0	8797	tags=71%, list=45%, signal=128%	
GOBP_RNA_LOCALIZATION	GOBP_RNA_LOCALIZATION	Details ...	210	-0.35897726	-6.1137123	0.0	0.0	0.0	7544	tags=74%, list=39%, signal=120%	
GOBP_MITOTIC_NUCLEAR_DIVISION	GOBP_MITOTIC_NUCLEAR_DIVISION	Details ...	275	-0.3142821	-6.0883827	0.0	0.0	0.0	7131	tags=68%, list=37%, signal=105%	
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	254	-0.32911593	-6.0341086	0.0	0.0	0.0	8004	tags=74%, list=41%, signal=123%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	Details ...	202	-0.35961255	-5.9860406	0.0	0.0	0.0	7716	tags=75%, list=40%, signal=123%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	191	-0.36997268	-5.945865	0.0	0.0	0.0	6013	tags=68%, list=31%, signal=97%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	421	-0.2518209	-5.927808	0.0	0.0	0.0	8100	tags=66%, list=42%, signal=111%	
