NAME	TITLE	SCORE	
ITGB5		-4.76E-6	
4930483P17RIK		-5.44E-6	
GM35167		-2.17E-5	
PLATR31		-2.21E-5	
SLC39A4		-2.48E-5	
FCER2A		-2.63E-5	
DHRS7C		-2.92E-5	
LRRC45		-3.19E-5	
PXYLP1		-4.59E-5	
C8G		-4.8E-5	
GPR18		-6.41E-5	
DUSP3		-6.96E-5	
AKNAD1		-7.39E-5	
GM50147		-7.86E-5	
ICAM5		-8.19E-5	
E030042O20RIK		-8.19E-5	
ACTL10		-9.36E-5	
ATP1A2		-9.56E-5	
GM45507		-9.62E-5	
SLC25A17		-1.08684E-4	
PRSS37		-1.12528E-4	
HIST1H4B		-1.14311E-4	
RIPK3		-1.18965E-4	
GDF5		-1.33437E-4	
GM47390		-1.43768E-4	
9230104M06RIK		-1.46917E-4	
RNF43		-1.60223E-4	
GM44674		-1.64924E-4	
UPK2		-1.6527E-4	
GM14379		-1.72697E-4	
GM16157		-1.78849E-4	
AOC3		-1.8642E-4	
LAGE3		-1.88364E-4	
ABCF3		-1.97314E-4	
C330011M18RIK		-1.9808E-4	
GM28424		-2.13674E-4	
FANCC		-2.19934E-4	
1700012C14RIK		-2.21386E-4	
4931422A03RIK		-2.28345E-4	
GM35065		-2.28426E-4	
SLC32A1		-2.44007E-4	
GM15478		-2.44644E-4	
BC051077		-2.514E-4	
GM26911		-2.52522E-4	
ZBTB49		-2.52949E-4	
2810408I11RIK		-2.5619E-4	
ZFP950		-2.67057E-4	
GM30329		-2.84134E-4	
SDHAF3		-2.84877E-4	
4930558J18RIK		-2.85497E-4	
TIFA		-2.89837E-4	
GM28529		-2.9392E-4	
ABHD5		-2.97028E-4	
INSL5		-3.00124E-4	
GM12524		-3.0521E-4	
MYCBPAP		-3.10994E-4	
ZFP286		-3.15344E-4	
GM11096		-3.38876E-4	
P3H3		-3.41057E-4	
GM13269		-3.44336E-4	
GATA3		-3.44351E-4	
GM38560		-3.58035E-4	
5830418P13RIK		-3.67908E-4	
G530011O06RIK		-3.82659E-4	
1200007C13RIK		-3.8777E-4	
