NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY	Details ...	56	0.26429346	2.3938124	0.0	0.16798559	0.523	10157	tags=79%, list=52%, signal=164%	
GOBP_REGULATION_OF_EXCRETION	GOBP_REGULATION_OF_EXCRETION	Details ...	15	0.47630417	2.2934523	0.0019762847	0.16474804	0.778	6303	tags=80%, list=32%, signal=118%	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	Details ...	83	0.2015699	2.19039	0.001934236	0.2229595	0.95	10157	tags=72%, list=52%, signal=151%	
GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE	GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE	Details ...	24	0.36595	2.1802244	0.0	0.17879696	0.959	3426	tags=54%, list=18%, signal=66%	
GOBP_CILIUM_MOVEMENT	GOBP_CILIUM_MOVEMENT	Details ...	107	0.17430295	2.0969708	0.004	0.23878613	0.993	9535	tags=66%, list=49%, signal=129%	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	Details ...	24	0.34977356	2.0751762	0.004048583	0.22792368	0.995	7793	tags=75%, list=40%, signal=125%	
GOBP_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	GOBP_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	Details ...	24	0.35665548	2.060222	0.0	0.2158593	0.996	11712	tags=96%, list=60%, signal=241%	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL	Details ...	35	0.2861263	2.018038	0.0019379845	0.24414341	1.0	11117	tags=86%, list=57%, signal=200%	
GOBP_EXCRETION	GOBP_EXCRETION	Details ...	42	0.26138958	1.9759338	0.003984064	0.27786517	1.0	5578	tags=55%, list=29%, signal=77%	
GOBP_SPERM_MOTILITY	GOBP_SPERM_MOTILITY	Details ...	60	0.20016932	1.8631411	0.005952381	0.48030844	1.0	9410	tags=68%, list=48%, signal=132%	
GOBP_SYNAPTIC_TRANSMISSION_CHOLINERGIC	GOBP_SYNAPTIC_TRANSMISSION_CHOLINERGIC	Details ...	21	0.3371072	1.8251288	0.018036073	0.53716797	1.0	11975	tags=95%, list=62%, signal=247%	
GOBP_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	Details ...	48	0.21558237	1.7735962	0.018108651	0.6472102	1.0	12837	tags=88%, list=66%, signal=257%	
GOBP_FLUID_TRANSPORT	GOBP_FLUID_TRANSPORT	Details ...	27	0.28164622	1.7341334	0.020325202	0.7323519	1.0	3894	tags=48%, list=20%, signal=60%	
GOBP_T_HELPER_1_TYPE_IMMUNE_RESPONSE	GOBP_T_HELPER_1_TYPE_IMMUNE_RESPONSE	Details ...	32	0.25067583	1.7313099	0.019455252	0.68963003	1.0	12152	tags=88%, list=62%, signal=233%	
GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	Details ...	29	0.26499212	1.7295948	0.018181818	0.6492725	1.0	13634	tags=97%, list=70%, signal=322%	
GOBP_SULFATE_TRANSPORT	GOBP_SULFATE_TRANSPORT	Details ...	15	0.359382	1.7214214	0.024096385	0.63454884	1.0	5982	tags=67%, list=31%, signal=96%	
GOBP_REGULATION_OF_RENAL_SYSTEM_PROCESS	GOBP_REGULATION_OF_RENAL_SYSTEM_PROCESS	Details ...	24	0.29542184	1.7135763	0.025896415	0.6219151	1.0	8849	tags=75%, list=45%, signal=137%	
GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	Details ...	19	0.3299968	1.7055156	0.021321962	0.61155033	1.0	12015	tags=95%, list=62%, signal=248%	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	Details ...	26	0.27499002	1.6961149	0.013565891	0.6071402	1.0	11117	tags=85%, list=57%, signal=197%	
GOBP_SPERM_AXONEME_ASSEMBLY	GOBP_SPERM_AXONEME_ASSEMBLY	Details ...	16	0.34943667	1.6833404	0.030364372	0.61523074	1.0	12660	tags=100%, list=65%, signal=286%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	Details ...	49	0.1991342	1.6641145	0.042194095	0.6442371	1.0	8442	tags=63%, list=43%, signal=111%	
GOBP_VITAMIN_D_METABOLIC_PROCESS	GOBP_VITAMIN_D_METABOLIC_PROCESS	Details ...	16	0.34306672	1.6630805	0.03976143	0.618218	1.0	11568	tags=94%, list=59%, signal=231%	
GOBP_AMINE_CATABOLIC_PROCESS	GOBP_AMINE_CATABOLIC_PROCESS	Details ...	22	0.2871279	1.6374316	0.02834008	0.6704028	1.0	6799	tags=64%, list=35%, signal=98%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	153	0.113637775	1.6292102	0.029761905	0.6688925	1.0	6833	tags=46%, list=35%, signal=71%	
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	Details ...	15	0.34766957	1.6202531	0.041984733	0.670252	1.0	12694	tags=100%, list=65%, signal=288%	
GOBP_INTERFERON_GAMMA_PRODUCTION	GOBP_INTERFERON_GAMMA_PRODUCTION	Details ...	77	0.15834957	1.6141564	0.036363635	0.6630936	1.0	12089	tags=78%, list=62%, signal=205%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Details ...	22	0.2842693	1.592901	0.05531915	0.7057321	1.0	8623	tags=73%, list=44%, signal=130%	
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	Details ...	15	0.33124125	1.5664406	0.044088177	0.7697525	1.0	6529	tags=67%, list=34%, signal=100%	
GOBP_PHOTOTRANSDUCTION	GOBP_PHOTOTRANSDUCTION	Details ...	41	0.20197588	1.5505542	0.058601134	0.7988775	1.0	12210	tags=83%, list=63%, signal=222%	
GOBP_REGULATION_OF_TUBE_SIZE	GOBP_REGULATION_OF_TUBE_SIZE	Details ...	101	0.13017102	1.5404708	0.047131147	0.8084247	1.0	10577	tags=67%, list=54%, signal=147%	
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	Details ...	23	0.26772362	1.535839	0.06743738	0.7991856	1.0	10867	tags=83%, list=56%, signal=187%	
GOBP_MUSCLE_FILAMENT_SLIDING	GOBP_MUSCLE_FILAMENT_SLIDING	Details ...	33	0.22536594	1.5317818	0.05785124	0.78834283	1.0	10949	tags=79%, list=56%, signal=180%	
GOBP_VITAMIN_METABOLIC_PROCESS	GOBP_VITAMIN_METABOLIC_PROCESS	Details ...	102	0.12927291	1.5185624	0.058139537	0.8114372	1.0	15234	tags=91%, list=78%, signal=418%	
GOBP_ACUTE_INFLAMMATORY_RESPONSE	GOBP_ACUTE_INFLAMMATORY_RESPONSE	Details ...	78	0.14608702	1.5166675	0.06476191	0.7944914	1.0	13130	tags=82%, list=67%, signal=251%	
GOBP_DICARBOXYLIC_ACID_CATABOLIC_PROCESS	GOBP_DICARBOXYLIC_ACID_CATABOLIC_PROCESS	Details ...	16	0.31605315	1.516289	0.06066536	0.7730797	1.0	6014	tags=63%, list=31%, signal=90%	
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	Details ...	32	0.22950834	1.5153186	0.076771654	0.7547999	1.0	13171	tags=91%, list=68%, signal=280%	
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	Details ...	224	0.08585995	1.5134287	0.06734694	0.74050605	1.0	12243	tags=71%, list=63%, signal=190%	
GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	Details ...	32	0.21789558	1.4888155	0.08595388	0.80366904	1.0	10357	tags=75%, list=53%, signal=160%	
GOBP_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS	GOBP_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS	Details ...	24	0.2562064	1.4869002	0.076481834	0.7895252	1.0	11232	tags=83%, list=58%, signal=197%	
GOBP_NEGATIVE_REGULATION_OF_BLOOD_CIRCULATION	GOBP_NEGATIVE_REGULATION_OF_BLOOD_CIRCULATION	Details ...	18	0.2931338	1.4772093	0.08436214	0.8029891	1.0	1867	tags=39%, list=10%, signal=43%	
GOBP_PLASMINOGEN_ACTIVATION	GOBP_PLASMINOGEN_ACTIVATION	Details ...	19	0.28068277	1.4727527	0.09583333	0.7986719	1.0	8878	tags=74%, list=46%, signal=135%	
GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	Details ...	163	0.09760737	1.4682249	0.084337346	0.7948455	1.0	15779	tags=91%, list=81%, signal=477%	
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS	Details ...	70	0.14592686	1.4667729	0.07185629	0.7813951	1.0	15234	tags=93%, list=78%, signal=427%	
GOBP_WATER_TRANSPORT	GOBP_WATER_TRANSPORT	Details ...	19	0.27539092	1.4589032	0.106471814	0.7899796	1.0	7957	tags=68%, list=41%, signal=116%	
GOBP_PROTEIN_ACTIVATION_CASCADE	GOBP_PROTEIN_ACTIVATION_CASCADE	Details ...	23	0.25912195	1.4578468	0.071428575	0.77606744	1.0	7651	tags=65%, list=39%, signal=107%	
GOBP_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	GOBP_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	Details ...	22	0.25308672	1.4292789	0.0967118	0.8581598	1.0	5692	tags=55%, list=29%, signal=77%	
GOBP_DRUG_METABOLIC_PROCESS	GOBP_DRUG_METABOLIC_PROCESS	Details ...	21	0.25252163	1.4254512	0.107942976	0.8531687	1.0	14545	tags=100%, list=75%, signal=396%	
GOBP_TOLERANCE_INDUCTION	GOBP_TOLERANCE_INDUCTION	Details ...	20	0.26595742	1.4135273	0.10344828	0.8781938	1.0	13311	tags=95%, list=68%, signal=301%	
GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY	GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY	Details ...	19	0.26521072	1.4125699	0.096969694	0.8637811	1.0	7131	tags=63%, list=37%, signal=100%	
GOBP_ANION_HOMEOSTASIS	GOBP_ANION_HOMEOSTASIS	Details ...	24	0.23736	1.4119866	0.1167002	0.8486135	1.0	8356	tags=67%, list=43%, signal=117%	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE		69	0.15046026	1.4080429	0.11067194	0.8457907	1.0	10615	tags=70%, list=55%, signal=153%	
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS		15	0.3063484	1.4030126	0.112840466	0.84700507	1.0	5716	tags=60%, list=29%, signal=85%	
GOBP_SKELETAL_MUSCLE_CONTRACTION	GOBP_SKELETAL_MUSCLE_CONTRACTION		38	0.1982786	1.4020729	0.11485148	0.8342694	1.0	5364	tags=47%, list=28%, signal=65%	
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY	GOBP_ADAPTATION_OF_SIGNALING_PATHWAY		19	0.26756957	1.397843	0.09001957	0.8334692	1.0	8109	tags=68%, list=42%, signal=117%	
GOBP_INTERLEUKIN_4_PRODUCTION	GOBP_INTERLEUKIN_4_PRODUCTION		25	0.22999792	1.3961716	0.11934157	0.8241213	1.0	11093	tags=80%, list=57%, signal=186%	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE		19	0.2733056	1.3957615	0.11324376	0.8107473	1.0	4926	tags=53%, list=25%, signal=70%	
GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES		20	0.26075235	1.3951349	0.108829565	0.7985222	1.0	2713	tags=40%, list=14%, signal=46%	
GOBP_PHOTOTRANSDUCTION_VISIBLE_LIGHT	GOBP_PHOTOTRANSDUCTION_VISIBLE_LIGHT		27	0.22617836	1.3916271	0.11764706	0.79592305	1.0	5692	tags=52%, list=29%, signal=73%	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_RENIN_ANGIOTENSIN	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_RENIN_ANGIOTENSIN		15	0.29908088	1.3870873	0.10291262	0.79721516	1.0	8451	tags=73%, list=43%, signal=130%	
GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING	GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING		26	0.23184429	1.3868673	0.13203883	0.7846617	1.0	11207	tags=81%, list=58%, signal=190%	
GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT	GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT		22	0.23830715	1.3788	0.10772358	0.7977911	1.0	13053	tags=91%, list=67%, signal=276%	
GOBP_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	GOBP_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS		90	0.12677905	1.3724622	0.11752577	0.8052641	1.0	12242	tags=76%, list=63%, signal=203%	
GOBP_REGULATION_OF_ODONTOGENESIS	GOBP_REGULATION_OF_ODONTOGENESIS		15	0.2929657	1.3717659	0.11067194	0.79473186	1.0	7273	tags=67%, list=37%, signal=106%	
GOBP_CORNIFICATION	GOBP_CORNIFICATION		56	0.1569186	1.371647	0.114119925	0.7826768	1.0	3208	tags=32%, list=16%, signal=38%	
GOBP_NAD_BIOSYNTHETIC_PROCESS	GOBP_NAD_BIOSYNTHETIC_PROCESS		24	0.23362201	1.3698068	0.109014675	0.77650183	1.0	5997	tags=54%, list=31%, signal=78%	
GOBP_ZYMOGEN_ACTIVATION	GOBP_ZYMOGEN_ACTIVATION		46	0.17441376	1.3680001	0.13569938	0.7701696	1.0	8878	tags=63%, list=46%, signal=116%	
GOBP_REGULATION_OF_CILIUM_MOVEMENT	GOBP_REGULATION_OF_CILIUM_MOVEMENT		21	0.24752986	1.3653241	0.1394052	0.7669035	1.0	6305	tags=57%, list=32%, signal=84%	
GOBP_THYROID_HORMONE_GENERATION	GOBP_THYROID_HORMONE_GENERATION		17	0.27058643	1.3648099	0.13867188	0.757243	1.0	10760	tags=82%, list=55%, signal=184%	
GOBP_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION	GOBP_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION		15	0.29040027	1.3613071	0.13104838	0.75681925	1.0	6026	tags=60%, list=31%, signal=87%	
GOBP_KERATINIZATION	GOBP_KERATINIZATION		65	0.14320913	1.359091	0.123689726	0.75283134	1.0	3208	tags=31%, list=16%, signal=37%	
GOBP_EXTRACELLULAR_TRANSPORT	GOBP_EXTRACELLULAR_TRANSPORT		26	0.22210567	1.3535224	0.13498099	0.75913244	1.0	10648	tags=77%, list=55%, signal=170%	
GOBP_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	GOBP_REGULATION_OF_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY		15	0.2843537	1.3474699	0.13469388	0.7672951	1.0	11331	tags=87%, list=58%, signal=207%	
GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	GOBP_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS		169	0.08957236	1.3389225	0.12007874	0.78320473	1.0	12660	tags=74%, list=65%, signal=210%	
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM		46	0.16492815	1.332751	0.15643564	0.7916815	1.0	13291	tags=85%, list=68%, signal=267%	
GOBP_GLUTAMATE_METABOLIC_PROCESS	GOBP_GLUTAMATE_METABOLIC_PROCESS		28	0.20761907	1.32991	0.13846155	0.7898535	1.0	9861	tags=71%, list=51%, signal=145%	
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY		59	0.14532888	1.3271188	0.12228797	0.7881163	1.0	5753	tags=44%, list=30%, signal=62%	
GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION		15	0.28256682	1.3230158	0.14486921	0.79021746	1.0	8772	tags=73%, list=45%, signal=133%	
GOBP_REGULATION_OF_VASOCONSTRICTION	GOBP_REGULATION_OF_VASOCONSTRICTION		47	0.16111709	1.3218445	0.16738197	0.7836408	1.0	13842	tags=87%, list=71%, signal=302%	
