archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,8.7323e-05,1.5121,1.2774,1,1
1,GO BLEB ASSEMBLY,7.889e-07,1.4154,1.2967,1,1
1,GO NEGATIVE REGULATION OF VIRAL ENTRY INTO HOST CELL,7.2111e-07,1.1931,1.0766,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,0.00017186,1.1881,0.97101,1,1
1,GO REGULATION OF T HELPER 2 CELL DIFFERENTIATION,3.9926e-07,1.1602,1.0594,1,1
1,GO MEMBRANE RAFT ASSEMBLY,9.7801e-06,1.1516,1.4723,1,1
1,GO NEGATIVE REGULATION OF HIPPO SIGNALING,2.0833e-05,1.1041,0.87048,1,1
1,GO REGULATION OF TAU PROTEIN KINASE ACTIVITY,0.00092958,1.0756,0.91874,1,1
1,GO POSITIVE REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,7.5427e-07,1.054,0.88242,1,1
1,GO NEUTROPHIL HOMEOSTASIS,1.8521e-05,1.0288,0.89941,1,1
1,GO REGULATION OF PHOSPHOLIPASE A2 ACTIVITY,2.1831e-07,1.0287,0.87582,1,1
1,GO HYALURONAN CATABOLIC PROCESS,1.4044e-06,1.0272,0.99016,1,1
1,GO T HELPER 2 CELL DIFFERENTIATION,2.3975e-07,1.0272,1.025,1,1
1,GO RESPONSE TO INTERFERON ALPHA,5.7413e-06,1.0105,1.0296,1,1
1,GO MODULATION BY SYMBIONT OF ENTRY INTO HOST,1.0779e-06,1.006,0.9373,1,1
1,GO GLYCOPROTEIN CATABOLIC PROCESS,3.1888e-05,0.98795,0.76324,1,1
1,GO NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,0.00026903,0.96203,0.74567,1,1
1,GO NEGATIVE REGULATION OF INTERLEUKIN 8 PRODUCTION,8.2505e-07,0.93424,0.77973,1,1
1,GO REGULATION OF VIRAL ENTRY INTO HOST CELL,3.6228e-06,0.93268,0.8887,1,1
1,GO POSITIVE REGULATION BY SYMBIONT OF ENTRY INTO HOST,5.8301e-05,0.93074,0.85933,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION VIA MHC CLASS IB,4.0073e-05,0.9304,0.83103,1,1
1,GO INFLAMMATORY RESPONSE TO WOUNDING,6.8936e-07,0.92222,0.96416,1,1
1,GO TRAIL ACTIVATED APOPTOTIC SIGNALING PATHWAY,1.1267e-06,0.91845,0.90223,1,1
1,GO NEGATIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,0.00020448,0.90973,0.73687,1,1
1,GO PYRIMIDINE RIBONUCLEOSIDE METABOLIC PROCESS,2.4346e-05,0.90403,0.82123,1,1
1,GO REGULATION OF METANEPHROS DEVELOPMENT,1.9873e-07,0.903,0.88563,1,1
1,GO REGULATION OF PLASMINOGEN ACTIVATION,0.00013917,0.8915,0.82544,1,1
1,GO NEGATIVE REGULATION OF CELL KILLING,0.00019079,0.8802,0.68253,1,1
1,GO T HELPER 1 CELL DIFFERENTIATION,4.3763e-07,0.87942,0.80176,1,1
1,GO MEMBRANE RAFT ORGANIZATION,3.8583e-05,0.87229,0.8721,1,1
