archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,5.1336e-09,1,0.99637
1,10 08 2020: Y,5.1336e-09,1,0.99637
1,subtype: Y,1.0239e-07,1,0.98788
1,subtype: P,0.0089655,1,0.18284
1,NEW 10 2020: P,0.0089655,1,0.18284
1,10 08 2020: P,0.0089655,1,0.18284
1,source: CCLE,0.015621,1,0.51827
1,subtype: uncl,0.34761,1,0.021713
1,source: Minna,0.99739,1,2.8647e-14
1,subtype: A,1,1,1.7421e-27
1,subtype: A2,1,1,2.6322e-12
1,subtype: N,1,1,1.3869e-09
1,NEW 10 2020: A,1,1,1.0815e-23
1,NEW 10 2020: A2,1,1,2.369e-13
1,NEW 10 2020: N,1,1,3.6773e-12
1,10 08 2020: A,1,1,7.5745e-28
1,10 08 2020: A2,1,1,5.1687e-13
1,10 08 2020: N,1,1,8.1662e-09
1,10 08 2020: uncl,1,1,0.00042969
2,10 08 2020: N,1.7264e-13,1,0.99977
2,NEW 10 2020: N,4.9325e-10,1,0.95212
2,subtype: N,2.1689e-08,1,0.97855
2,subtype: uncl,0.049376,1,0.21889
2,source: Minna,0.38448,1,0.0037338
2,source: CCLE,0.82173,1,4.5272e-06
2,subtype: A,1,1,7.7072e-28
2,subtype: A2,1,1,7.2311e-13
2,subtype: P,1,1,9.9999e-07
2,subtype: Y,1,1,4.1172e-06
2,NEW 10 2020: A,1,1,1.7458e-24
2,NEW 10 2020: A2,1,1,3.1304e-14
2,NEW 10 2020: P,1,1,9.9999e-07
2,NEW 10 2020: Y,1,1,1.8595e-06
2,10 08 2020: A,1,1,1.231e-28
2,10 08 2020: A2,1,1,8.2172e-14
2,10 08 2020: P,1,1,9.9999e-07
2,10 08 2020: Y,1,1,1.8595e-06
2,10 08 2020: uncl,1,1,0.00045
3,subtype: A2,4.9325e-10,1,0.88995
3,10 08 2020: A2,1.6489e-09,1,0.75983
3,NEW 10 2020: A2,2.8855e-09,1,0.75937
3,source: CCLE,0.062313,1,0.16307
3,source: Minna,0.98438,1,5.0318e-11
3,subtype: A,1,1,1.0517e-26
3,subtype: N,1,1,5.53e-10
3,subtype: P,1,1,9.5485e-07
3,subtype: Y,1,1,2.3478e-06
3,subtype: uncl,1,1,9.9e-05
3,NEW 10 2020: A,1,1,1.2944e-23
3,NEW 10 2020: N,1,1,3.3442e-13
3,NEW 10 2020: P,1,1,9.5485e-07
3,NEW 10 2020: Y,1,1,7.4142e-07
3,10 08 2020: A,1,1,1.3586e-27
3,10 08 2020: N,1,1,1.8771e-09
3,10 08 2020: P,1,1,9.5485e-07
3,10 08 2020: Y,1,1,7.4142e-07
3,10 08 2020: uncl,1,1,0.00045
4,NEW 10 2020: A,6.6081e-06,1,0.70492
4,subtype: A,4.1614e-05,1,0.33784
4,10 08 2020: A,5.2963e-05,1,0.12499
4,source: Minna,0.17827,1,0.031063
4,source: CCLE,0.94263,1,7.5919e-09
4,subtype: A2,1,1,1.8646e-12
4,subtype: N,1,1,1.2152e-09
4,subtype: P,1,1,5.1652e-07
4,subtype: Y,1,1,1.5446e-06
4,subtype: uncl,1,1,9.9e-05
4,NEW 10 2020: A2,1,1,1.0964e-13
4,NEW 10 2020: N,1,1,3.2681e-12
4,NEW 10 2020: P,1,1,5.1652e-07
4,NEW 10 2020: Y,1,1,4.2906e-07
4,10 08 2020: A2,1,1,2.2841e-13
4,10 08 2020: N,1,1,6.3042e-09
4,10 08 2020: P,1,1,5.1652e-07
4,10 08 2020: Y,1,1,4.2906e-07
4,10 08 2020: uncl,1,1,0.00042969
