NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	194		
HALLMARK_HYPOXIA	200	188		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	68		
HALLMARK_MITOTIC_SPINDLE	199	197		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	39		
HALLMARK_TGF_BETA_SIGNALING	54	54		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	80		
HALLMARK_DNA_REPAIR	150	143		
HALLMARK_G2M_CHECKPOINT	200	191		
HALLMARK_APOPTOSIS	161	153		
HALLMARK_NOTCH_SIGNALING	32	31		
HALLMARK_ADIPOGENESIS	200	196		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	187		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	177		
HALLMARK_ANDROGEN_RESPONSE	100	94		
HALLMARK_MYOGENESIS	200	180		
HALLMARK_PROTEIN_SECRETION	96	94		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	86		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	175		
HALLMARK_APICAL_JUNCTION	200	188		
HALLMARK_APICAL_SURFACE	44	39		
HALLMARK_HEDGEHOG_SIGNALING	36	35		
HALLMARK_COMPLEMENT	200	171		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	108		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	101		
HALLMARK_MTORC1_SIGNALING	200	189		
HALLMARK_E2F_TARGETS	200	191		
HALLMARK_MYC_TARGETS_V1	200	192		
HALLMARK_MYC_TARGETS_V2	58	58		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	194		
HALLMARK_INFLAMMATORY_RESPONSE	200	177		
HALLMARK_XENOBIOTIC_METABOLISM	200	169		
HALLMARK_FATTY_ACID_METABOLISM	158	141		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	177		
HALLMARK_GLYCOLYSIS	200	182		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	45		
HALLMARK_P53_PATHWAY	200	191		
HALLMARK_UV_RESPONSE_UP	158	144		
HALLMARK_UV_RESPONSE_DN	144	143		
HALLMARK_ANGIOGENESIS	36	33		
HALLMARK_HEME_METABOLISM	200	169		
HALLMARK_COAGULATION	138	112		
HALLMARK_IL2_STAT5_SIGNALING	199	187		
HALLMARK_BILE_ACID_METABOLISM	112	101		
HALLMARK_PEROXISOME	104	94		
HALLMARK_ALLOGRAFT_REJECTION	200	155		
HALLMARK_SPERMATOGENESIS	135	107		
HALLMARK_KRAS_SIGNALING_UP	200	186		
HALLMARK_KRAS_SIGNALING_DN	200	153		
HALLMARK_PANCREAS_BETA_CELLS	40	28		
