NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	177	0.43179893	6.763998	0.0	0.0	0.0	1567	tags=51%, list=8%, signal=55%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	192	0.364708	5.7972417	0.0	0.0	0.0	1789	tags=45%, list=9%, signal=49%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	141	0.27356488	3.7225137	0.0	0.0	0.0	2166	tags=38%, list=11%, signal=43%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	196	0.19234563	3.0775354	0.0	0.0	0.0	1456	tags=27%, list=7%, signal=28%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	0.29997483	2.3772786	0.0019723866	0.0023077845	0.019	1526	tags=38%, list=8%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	182	0.13965385	2.260064	0.0	0.004555356	0.046	1690	tags=23%, list=9%, signal=24%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.23037577	2.103602	0.0	0.0076079406	0.087	1568	tags=31%, list=8%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	169	0.12589337	1.8836049	0.012244898	0.019594906	0.23	1600	tags=21%, list=8%, signal=22%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	143	0.13102274	1.8735615	0.0118811885	0.018413117	0.243	1550	tags=21%, list=8%, signal=23%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	153	0.11941176	1.700681	0.028985508	0.038941037	0.473	7993	tags=53%, list=41%, signal=89%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	94	0.14669299	1.6282638	0.042168673	0.05112517	0.605	1712	tags=23%, list=9%, signal=26%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	155	0.07818792	1.1545303	0.2814259	0.33627886	1.0	12923	tags=74%, list=66%, signal=219%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	86	0.101986	1.0714129	0.35445544	0.40547132	1.0	1643	tags=19%, list=8%, signal=20%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	101	0.08733357	1.012832	0.4317719	0.44794643	1.0	2161	tags=20%, list=11%, signal=22%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	112	0.07865742	0.9915996	0.422	0.44360253	1.0	14978	tags=85%, list=77%, signal=367%	
