NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	197	-0.5123165	-8.373591	0.0	0.0	0.0	5244	tags=78%, list=27%, signal=105%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	191	-0.5203817	-8.332287	0.0	0.0	0.0	4338	tags=74%, list=22%, signal=94%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	191	-0.40447947	-6.499324	0.0	0.0	0.0	4228	tags=62%, list=22%, signal=78%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	143	-0.38982737	-5.361583	0.0	0.0	0.0	6349	tags=71%, list=33%, signal=105%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	194	-0.31848896	-5.226965	0.0	0.0	0.0	4797	tags=56%, list=25%, signal=74%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	-0.39973876	-4.47059	0.0	0.0	0.0	5714	tags=69%, list=29%, signal=97%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	189	-0.26178172	-4.2688446	0.0	0.0	0.0	4736	tags=50%, list=24%, signal=66%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	187	-0.24716672	-3.9303157	0.0	0.0	0.0	6578	tags=58%, list=34%, signal=87%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	108	-0.30451834	-3.7347882	0.0	0.0	0.0	7439	tags=69%, list=38%, signal=110%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	101	-0.31457898	-3.7207909	0.0	0.0	0.0	10092	tags=83%, list=52%, signal=172%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	191	-0.22707433	-3.6658256	0.0	0.0	0.0	6423	tags=55%, list=33%, signal=82%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	94	-0.2970887	-3.4129426	0.0	0.0	0.0	4597	tags=53%, list=24%, signal=69%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	-0.37195885	-3.2657926	0.0	0.0	0.0	7195	tags=74%, list=37%, signal=117%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	169	-0.2041991	-3.124717	0.0	0.0	0.0	4466	tags=43%, list=23%, signal=56%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	153	-0.21334283	-3.0677197	0.0	0.0	0.0	7835	tags=61%, list=40%, signal=102%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	188	-0.1882863	-3.0322542	0.0	0.0	0.0	8687	tags=63%, list=45%, signal=113%	
