archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: A,0.048056,1,0.092594
1,source: Minna,0.057365,1,0.17839
1,subtype: A,0.11108,1,0.050508
1,10 08 2020: A,0.12331,1,0.044256
1,subtype: A2,0.21913,1,0.052313
1,10 08 2020: A2,0.26853,1,0.034744
1,NEW 10 2020: A2,0.29435,1,0.02391
1,source: CCLE,0.98873,1,8.5682e-13
1,subtype: N,1,1,1.5031e-09
1,subtype: P,1,1,8.5226e-07
1,subtype: Y,1,1,3.8739e-06
1,subtype: uncl,1,1,9.9e-05
1,NEW 10 2020: N,1,1,3.0433e-12
1,NEW 10 2020: P,1,1,8.5226e-07
1,NEW 10 2020: Y,1,1,1.4355e-06
1,10 08 2020: N,1,1,9.0155e-09
1,10 08 2020: P,1,1,8.5226e-07
1,10 08 2020: Y,1,1,1.4355e-06
1,10 08 2020: uncl,1,1,0.00042969
2,subtype: P,0.061816,1,0.18673
2,NEW 10 2020: P,0.061816,1,0.18673
2,10 08 2020: P,0.061816,1,0.18673
2,subtype: A2,0.21913,1,0.056346
2,NEW 10 2020: Y,0.22195,1,0.044541
2,10 08 2020: Y,0.22195,1,0.044541
2,10 08 2020: A2,0.26853,1,0.034181
2,NEW 10 2020: A2,0.29435,1,0.025753
2,subtype: uncl,0.34761,1,0.024087
2,source: CCLE,0.3746,1,0.00075941
2,NEW 10 2020: N,0.47546,1,0.0024243
2,10 08 2020: N,0.49754,1,0.0050918
2,subtype: N,0.56769,1,0.0011919
2,subtype: Y,0.58105,1,0.0033543
2,source: Minna,0.82302,1,3.0575e-07
2,subtype: A,0.99962,1,5.2781e-19
2,10 08 2020: A,0.99969,1,9.2788e-19
2,NEW 10 2020: A,1,1,2.0528e-22
2,10 08 2020: uncl,1,1,0.00042969
3,subtype: P,0.061816,1,0.14255
3,NEW 10 2020: P,0.061816,1,0.14255
3,10 08 2020: P,0.061816,1,0.14255
3,source: CCLE,0.062313,1,0.012027
3,subtype: A2,0.073282,1,0.2513
3,10 08 2020: A2,0.098998,1,0.18331
3,NEW 10 2020: A2,0.11358,1,0.13973
3,subtype: Y,0.18284,1,0.069086
3,NEW 10 2020: Y,0.22195,1,0.049534
3,10 08 2020: Y,0.22195,1,0.049534
3,NEW 10 2020: N,0.763,1,8.2496e-05
3,source: Minna,0.98438,1,1.137e-11
3,subtype: A,0.99495,1,1.891e-13
3,10 08 2020: A,0.99574,1,1.5614e-13
3,subtype: N,1,1,1.6273e-09
3,subtype: uncl,1,1,9.9e-05
3,NEW 10 2020: A,1,1,1.575e-22
3,10 08 2020: N,1,1,8.7362e-09
3,10 08 2020: uncl,1,1,0.00045
4,10 08 2020: A2,0.098998,1,0.14972
4,NEW 10 2020: A2,0.11358,1,0.1236
4,10 08 2020: N,0.20046,1,0.066779
4,subtype: A2,0.21913,1,0.04738
4,NEW 10 2020: N,0.21913,1,0.041165
4,subtype: A,0.49719,1,0.00031384
4,subtype: N,0.56769,1,0.0021419
4,source: CCLE,0.61552,1,4.8016e-05
4,source: Minna,0.6254,1,0.00010511
4,10 08 2020: A,0.9012,1,4.0712e-08
4,NEW 10 2020: A,0.92741,1,3.711e-09
4,subtype: P,1,1,6.4164e-07
4,subtype: Y,1,1,4.057e-06
4,subtype: uncl,1,1,0.00010368
4,NEW 10 2020: P,1,1,6.4164e-07
4,NEW 10 2020: Y,1,1,1.5455e-06
4,10 08 2020: P,1,1,6.4164e-07
