Sample,subtype,cell.line,source
m.DMS153,ASCL1,DMS153,Minna
m.NCIH60,NEUROD1,NCIH60,Minna
m.NCIH69,ASCL1,NCIH69,Minna
m.NCIH82,NEUROD1,NCIH82,Minna
m.NCIH128,ASCL1,NCIH128,Minna
m.NCIH146,ASCL1,NCIH146,Minna
m.NCIH187,ASCL1,NCIH187,Minna
m.NCIH209,ASCL1,NCIH209,Minna
m.NCIH211,POU2F3,NCIH211,Minna
m.NCIH250,ASCL1,NCIH250,Minna
m.NCIH345,ASCL1,NCIH345,Minna
m.NCIH378,NEUROD1,NCIH378,Minna
m.NCIH446,NEUROD1,NCIH446,Minna
m.NCIH510,ASCL1,NCIH510,Minna
m.NCIH524,NEUROD1,NCIH524,Minna
m.NCIH526,POU2F3,NCIH526,Minna
m.NCIH711,ASCL1,NCIH711,Minna
m.NCIH735,ASCL1,NCIH735,Minna
m.NCIH738,ASCL1,NCIH738,Minna
m.NCIH740,ASCL1,NCIH740,Minna
m.NCIH748,ASCL1,NCIH748,Minna
m.NCIH774,ASCL1,NCIH774,Minna
m.NCIH841,YAP1,NCIH841,Minna
m.NCIH865,ASCL1,NCIH865,Minna
m.NCIH889,ASCL1,NCIH889,Minna
m.NCIH1048,POU2F3,NCIH1048,Minna
m.NCIH1092,ASCL1,NCIH1092,Minna
m.NCIH1184,ASCL1,NCIH1184,Minna
m.NCIH1238,ASCL1,NCIH1238,Minna
m.NCIH1339,ASCL1,NCIH1339,Minna
m.NCIH1417,ASCL1,NCIH1417,Minna
m.NCIH1436,ASCL1,NCIH1436,Minna
m.NCIH1450,POU2F3,NCIH1450,Minna
m.NCIH1514,ASCL1,NCIH1514,Minna
m.NCIH1522,ASCL1,NCIH1522,Minna
m.NCIH1607,YAP1,NCIH1607,Minna
m.NCIH1628,ASCL1,NCIH1628,Minna
m.NCIH1672,ASCL1,NCIH1672,Minna
m.NCIH1688,ASCL1,NCIH1688,Minna
m.NCIH1694,NEUROD1,NCIH1694,Minna
m.NCIH1836,ASCL1,NCIH1836,Minna
m.NCIH1870,ASCL1,NCIH1870,Minna
m.NCIH1876,ASCL1,NCIH1876,Minna
m.NCIH1882,ASCL1,NCIH1882,Minna
m.NCIH1926,ASCL1,NCIH1926,Minna
m.NCIH1930,ASCL1,NCIH1930,Minna
m.NCIH1963,ASCL1,NCIH1963,Minna
m.NCIH1994,ASCL1,NCIH1994,Minna
m.NCIH2029,ASCL1,NCIH2029,Minna
m.NCIH2081,ASCL1,NCIH2081,Minna
m.NCIH2107,ASCL1,NCIH2107,Minna
m.NCIH2108,ASCL1,NCIH2108,Minna
m.NCIH2141,ASCL1,NCIH2141,Minna
m.NCIH2171,NEUROD1,NCIH2171,Minna
m.NCIH2195,ASCL1,NCIH2195,Minna
m.NCIH2196,ASCL1,NCIH2196,Minna
m.NCIH2198,ASCL1,NCIH2198,Minna
m.NCIH2227,ASCL1,NCIH2227,Minna
m.NCIH2679,POU2F3,NCIH2679,Minna
m.NCIH3282,ASCL1,NCIH3282,Minna
m.HCC33,NEUROD1,HCC33,Minna
m.HCC970,NEUROD1,HCC970,Minna
m.HCC2433,NEUROD1,HCC2433,Minna
m.HCC4000,ASCL1,HCC4000,Minna
m.HCC4001,NEUROD1,HCC4001,Minna
m.HCC4003,ASCL1,HCC4003,Minna
m.HCC4004,NEUROD1,HCC4004,Minna
m.HCC4005,NEUROD1,HCC4005,Minna
m.SHP77,ASCL1,SHP77,Minna
m.HCC4002,NEUROD1,HCC4002,Minna
c.COLO668,ASCL1,COLO668,CCLE
c.CORL24,NEUROD1,CORL24,CCLE
c.CORL279,NEUROD1,CORL279,CCLE
c.CORL311,POU2F3,CORL311,CCLE
c.CORL47,ASCL1,CORL47,CCLE
c.CORL88,ASCL1,CORL88,CCLE
c.CORL95,ASCL1,CORL95,CCLE
c.DMS114,YAP1,DMS114,CCLE
c.DMS153,ASCL1,DMS153,CCLE
c.DMS273,NEUROD1,DMS273,CCLE
c.DMS454,ASCL1,DMS454,CCLE
c.DMS53,ASCL1,DMS53,CCLE
c.DMS79,ASCL1,DMS79,CCLE
c.HCC33,NEUROD1,HCC33,CCLE
c.NCIH1048,POU2F3,NCIH1048,CCLE
c.NCIH1092,ASCL1,NCIH1092,CCLE
c.NCIH1105,ASCL1,NCIH1105,CCLE
c.NCIH1184,ASCL1,NCIH1184,CCLE
c.NCIH1339,YAP1,NCIH1339,CCLE
c.NCIH1341,YAP1,NCIH1341,CCLE
c.NCIH1436,ASCL1,NCIH1436,CCLE
c.NCIH146,ASCL1,NCIH146,CCLE
c.NCIH1618,ASCL1,NCIH1618,CCLE
c.NCIH1694,NEUROD1,NCIH1694,CCLE
c.NCIH1836,ASCL1,NCIH1836,CCLE
c.NCIH1876,ASCL1,NCIH1876,CCLE
c.NCIH1930,ASCL1,NCIH1930,CCLE
c.NCIH1963,ASCL1,NCIH1963,CCLE
c.NCIH196,YAP1,NCIH196,CCLE
c.NCIH2029,ASCL1,NCIH2029,CCLE
c.NCIH2066,ASCL1,NCIH2066,CCLE
c.NCIH2081,ASCL1,NCIH2081,CCLE
c.NCIH209,ASCL1,NCIH209,CCLE
c.NCIH211,POU2F3,NCIH211,CCLE
c.NCIH2171,NEUROD1,NCIH2171,CCLE
c.NCIH2196,ASCL1,NCIH2196,CCLE
c.NCIH2227,NEUROD1,NCIH2227,CCLE
c.NCIH2286,YAP1,NCIH2286,CCLE
c.NCIH446,NEUROD1,NCIH446,CCLE
c.NCIH510,ASCL1,NCIH510,CCLE
c.NCIH524,NEUROD1,NCIH524,CCLE
c.NCIH526,POU2F3,NCIH526,CCLE
c.NCIH69,ASCL1,NCIH69,CCLE
c.NCIH82,NEUROD1,NCIH82,CCLE
c.NCIH841,YAP1,NCIH841,CCLE
c.NCIH889,ASCL1,NCIH889,CCLE
c.SBC5,YAP1,SBC5,CCLE
c.SCLC21H,NEUROD1,SCLC21H,CCLE
c.SHP77,ASCL1,SHP77,CCLE
c.SW1271,YAP1,SW1271,CCLE
t.S00022,ASCL1,S00022,tumor
t.S00035,ASCL1,S00035,tumor
t.S00050,ASCL1,S00050,tumor
t.S00213,ASCL1,S00213,tumor
t.S00356,ASCL1,S00356,tumor
t.S00472,ASCL1,S00472,tumor
t.S00501,ASCL1,S00501,tumor
t.S00825,ASCL1,S00825,tumor
t.S00827,ASCL1,S00827,tumor
t.S00829,ASCL1,S00829,tumor
t.S00830,ASCL1,S00830,tumor
t.S00831,ASCL1,S00831,tumor
t.S00832,ASCL1,S00832,tumor
t.S00836,ASCL1,S00836,tumor
t.S00837,POU2F3,S00837,tumor
t.S00838,ASCL1,S00838,tumor
t.S01242,ASCL1,S01242,tumor
t.S01248,ASCL1,S01248,tumor
t.S01297,ASCL1,S01297,tumor
t.S01366,ASCL1,S01366,tumor
t.S01453,ASCL1,S01453,tumor
t.S01494,NEUROD1,S01494,tumor
t.S01512,ASCL1,S01512,tumor
t.S01524,ASCL1,S01524,tumor
t.S01542,POU2F3,S01542,tumor
t.S01556,POU2F3,S01556,tumor
t.S01563,ASCL1,S01563,tumor
t.S01578,ASCL1,S01578,tumor
t.S01698,ASCL1,S01698,tumor
t.S01728,ASCL1,S01728,tumor
t.S01792,ASCL1,S01792,tumor
t.S01861,ASCL1,S01861,tumor
t.S01864,ASCL1,S01864,tumor
t.S01873,NEUROD1,S01873,tumor
t.S02065,ASCL1,S02065,tumor
t.S02093,ASCL1,S02093,tumor
t.S02120,ASCL1,S02120,tumor
t.S02139,NEUROD1,S02139,tumor
t.S02163,NEUROD1,S02163,tumor
t.S02194,ASCL1,S02194,tumor
t.S02209,POU2F3,S02209,tumor
t.S02234,ASCL1,S02234,tumor
t.S02241,ASCL1,S02241,tumor
t.S02242,ASCL1,S02242,tumor
t.S02243,ASCL1,S02243,tumor
t.S02244,ASCL1,S02244,tumor
t.S02246,YAP1,S02246,tumor
t.S02248,ASCL1,S02248,tumor
t.S02249,ASCL1,S02249,tumor
