archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,2.1039e-11,1,0.99952
1,10 08 2020: Y,2.1039e-11,1,0.99952
1,subtype: Y,1.0239e-07,1,0.98788
1,source: CCLE,0.0026125,1,0.72467
1,subtype: uncl,0.049376,1,0.19683
1,10 08 2020: uncl,0.19076,1,0.055652
1,subtype: P,0.66638,1,0.0009908
1,NEW 10 2020: P,0.66638,1,0.0009908
1,10 08 2020: P,0.66638,1,0.0009908
1,subtype: N,0.87186,1,6.3349e-06
1,subtype: A2,0.94816,1,2.2313e-07
1,NEW 10 2020: N,0.94816,1,1.0493e-07
1,10 08 2020: A2,0.96049,1,6.5673e-08
1,NEW 10 2020: A2,0.96559,1,3.5629e-08
1,source: Minna,0.99974,1,8.19e-19
1,subtype: A,1,1,4.3245e-27
1,NEW 10 2020: A,1,1,1.2246e-22
1,10 08 2020: A,1,1,4.6913e-27
1,10 08 2020: N,1,1,4.7258e-09
2,subtype: P,5.6866e-13,1,0.99991
2,NEW 10 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: uncl,0.19076,1,0.055652
2,source: Minna,0.38448,1,0.01459
2,source: CCLE,0.82173,1,2.3485e-05
2,subtype: N,0.87186,1,1.1012e-05
2,subtype: A2,0.94816,1,2.6779e-07
2,NEW 10 2020: N,0.94816,1,1.2978e-07
2,10 08 2020: A2,0.96049,1,7.236e-08
2,NEW 10 2020: A2,0.96559,1,4.2913e-08
2,subtype: A,1,1,4.3814e-25
2,subtype: Y,1,1,4.7603e-06
2,subtype: uncl,1,1,0.00010368
2,NEW 10 2020: A,1,1,1.1432e-21
2,NEW 10 2020: Y,1,1,2.2849e-06
2,10 08 2020: A,1,1,2.0581e-25
2,10 08 2020: N,1,1,5.7848e-09
2,10 08 2020: Y,1,1,2.2849e-06
3,10 08 2020: N,1.7264e-13,1,0.99977
3,NEW 10 2020: N,4.9325e-10,1,0.97963
3,subtype: N,2.1689e-08,1,0.97686
3,subtype: uncl,0.049376,1,0.21889
3,source: Minna,0.38448,1,0.0044729
3,source: CCLE,0.82173,1,1.2865e-06
3,subtype: A,1,1,7.5786e-26
3,subtype: A2,1,1,8.3606e-13
3,subtype: P,1,1,1.0473e-06
3,subtype: Y,1,1,4.3402e-06
3,NEW 10 2020: A,1,1,1.1879e-22
3,NEW 10 2020: A2,1,1,4.6279e-14
3,NEW 10 2020: P,1,1,1.0473e-06
3,NEW 10 2020: Y,1,1,1.8595e-06
3,10 08 2020: A,1,1,6.9656e-27
3,10 08 2020: A2,1,1,1.0644e-13
3,10 08 2020: P,1,1,1.0473e-06
3,10 08 2020: Y,1,1,1.8595e-06
3,10 08 2020: uncl,1,1,0.00045
4,subtype: A2,4.9325e-10,1,0.98038
4,10 08 2020: A2,1.6489e-09,1,0.88995
4,NEW 10 2020: A2,2.8855e-09,1,0.88994
4,source: CCLE,0.17698,1,0.047828
4,source: Minna,0.93769,1,5.678e-08
4,subtype: A,1,1,8.3896e-26
4,subtype: N,1,1,7.3649e-10
4,subtype: P,1,1,8.5226e-07
4,subtype: Y,1,1,3.8739e-06
4,subtype: uncl,1,1,0.00010368
4,NEW 10 2020: A,1,1,2.8867e-22
4,NEW 10 2020: N,1,1,1.0342e-12
4,NEW 10 2020: P,1,1,8.5226e-07
4,NEW 10 2020: Y,1,1,1.4758e-06
4,10 08 2020: A,1,1,1.1792e-26
4,10 08 2020: N,1,1,3.7363e-09
4,10 08 2020: P,1,1,8.5226e-07
4,10 08 2020: Y,1,1,1.4758e-06
4,10 08 2020: uncl,1,1,0.00045
5,subtype: A2,1.425e-06,1,0.80929
5,10 08 2020: A2,3.5399e-06,1,0.80742
5,NEW 10 2020: A2,5.4008e-06,1,0.80595
5,source: Minna,0.38448,1,0.0068245
5,source: CCLE,0.82173,1,4.6915e-06
5,NEW 10 2020: A,0.98478,1,3.4409e-12
5,subtype: A,0.99495,1,1.5141e-15
5,10 08 2020: A,0.99574,1,6.934e-15
5,subtype: N,1,1,9.8248e-10
5,subtype: P,1,1,9.5485e-07
5,subtype: Y,1,1,2.3478e-06
5,subtype: uncl,1,1,9.9e-05
5,NEW 10 2020: N,1,1,1.2134e-12
5,NEW 10 2020: P,1,1,9.5485e-07
5,NEW 10 2020: Y,1,1,1.0761e-06
5,10 08 2020: N,1,1,3.3477e-09
5,10 08 2020: P,1,1,9.5485e-07
5,10 08 2020: Y,1,1,1.0761e-06
5,10 08 2020: uncl,1,1,0.00042969
6,NEW 10 2020: A,6.6081e-06,1,0.66261
6,subtype: A,4.1614e-05,1,0.22227
6,10 08 2020: A,5.2963e-05,1,0.23622
6,source: Minna,0.17827,1,0.041804
6,source: CCLE,0.94263,1,1.3477e-08
6,subtype: A2,1,1,2.1878e-12
6,subtype: N,1,1,9.8248e-10
6,subtype: P,1,1,6.5793e-07
6,subtype: Y,1,1,2.3478e-06
6,subtype: uncl,1,1,9.9e-05
6,NEW 10 2020: A2,1,1,1.969e-13
6,NEW 10 2020: N,1,1,2.0585e-12
6,NEW 10 2020: P,1,1,6.5793e-07
6,NEW 10 2020: Y,1,1,7.4142e-07
6,10 08 2020: A2,1,1,4.1021e-13
6,10 08 2020: N,1,1,5.5237e-09
6,10 08 2020: P,1,1,6.5793e-07
6,10 08 2020: Y,1,1,7.4142e-07
6,10 08 2020: uncl,1,1,0.00042969
