88541,12412,47872,-43686,-23173,59920,63845,-1.1509e+05,1.1182e+05,-1.301e+05,-52389,-1.5301e+05,81823,-26565,-45589,15863,-81154,-14355,33010,26889,-45803,-42597,25399,-66034,-21280,-32640,-12904,-13177,-16397,-30078,3473.9,25153,231.1,5759.4,14225,-9651.1,-7584.1,-9718.5,-4125.2,-1190.1,13940,-1673.9,-3602.7,8682.9,-636.53,-1785.6,2357.7,-11021,999.86,3976.9,2417.2,2228.3,-2670.1,7111.1,-417.04,-253.47,-1196.9,3147.8,3873.9,-1435.8,-2515.9,6915.1,4344.9,-1245.6,-1945.6,168.25,-1622.4,-3936.3,-2649,-1686.5,-675.74,-307.09,-430.45,-658.78,-1005.4,-2537.4,-1923.1,2502.1,-22.423,1264.2,-364.78,1417.1,-360.73,311.75,1650.7,435.97,549.02,-687.91,1100.5,-534.5,-106.9,13.289,200.1,-296.14,-96.058,-875.94,3.8169,-521.82,-371.94,-264.8,-879.04,211.22,-535.29,-462.16,521.7,274,387,340.99,-266.86,406.12,-180.3,-513.59,10.916,422.98,-244.26,-8.3422,-100.25,163.71,-62.713
1.1369e+05,1381,9944.6,-60248,-31725,11931,-5056.2,11464,-22187,-84023,-41590,31827,31537,34141,19374,-43248,-15398,-17841,5443.4,-13182,4249.1,-5002.1,710.43,22682,26418,-10086,-4533.5,42881,10232,49885,-51433,21519,6035.4,6202.8,11822,-35429,23181,2830.6,-24444,17741,27702,56.58,-8978.1,12173,-1689.6,28769,9040.2,-15525,23971,-6459.6,-12103,-3332.8,1603,-1261.4,6181.6,-9412,-13276,-1845.3,409.47,10240,4796.1,-2089.6,-20055,-3280,3672.1,1343.4,-1516.1,4494.8,6305.4,3128.8,4324.6,5621.1,5623.6,831.27,1173.8,1581.8,75.37,3358.2,1977.7,3638.1,-1843.5,-208.03,-2202.3,109.37,3154.2,138.91,5515.8,53.64,286.47,-629.72,1067.1,-1799.7,401.53,-564.02,942.81,1211.6,279.23,-894.8,-127.99,-763.4,-189.74,109.86,-174.38,1121.3,958.51,-906.77,-271.64,649.86,-2.4299,-731.18,-458.34,-261.31,-28.688,-47.287,108.62,415.16,-477.96,-105.21,-17.222
15496,-55786,-37104,4546.1,47130,-36746,25162,38148,48255,46734,14193,-4472.5,1161.7,18257,-37875,-8085.8,-8904.2,-15687,-34082,-15875,1582.2,-13823,8020.8,6679,10842,-19276,-19316,-29204,29959,-1217.5,-57715,-27575,10052,31795,-2941.5,-5836.9,-9863.7,6817.3,-1956.6,-36623,10561,41858,1864,4172.8,-21574,-19058,26616,-126.01,-22128,-12399,-4472.6,-12083,-17294,11357,-5006.3,-2749.9,-5629.3,15499,-4507.8,-9377.1,-4236.2,8878.4,-322.76,-2465.9,-2541,-2615.2,1794.5,890.4,8897.7,2187.4,-1100,2785.8,-617.21,6072.7,2712.1,7904.5,-6065.6,274.19,-183.28,-1470,4215.9,1594,-2771.7,-615.08,1130.3,1948.4,711.9,979.74,-206.92,962.99,-1814,857.78,103.86,-904.82,463.01,2500.6,1035.5,-2157.2,367.86,-947.89,141.88,-1984.2,1102.4,-581.92,241.92,299.38,-183.41,825.71,934.32,-721.55,38.513,805.91,-115.33,-21.97,-213.46,-190.99,-2.2311,424.2,59.112
2.1654e+05,-14527,796.31,-74659,-88287,-6151,1610.6,-34101,62826,-1.7827e+05,-3915.7,97146,-22543,-12527,68260,-37272,-32263,20876,5041.5,54216,14756,-14392,34900,-307.59,-16972,-22562,14558,-4086.2,7930,39687,2299.4,-15094,-2228.5,-8614.1,-15983,-3369.3,-10789,20255,-19277,12739,-24941,7072.8,23680,-11404,11285,-35535,2353.3,9917.2,-25389,-3438.5,4062.1,945.22,5687.8,-8297,-393.5,-2923.7,-6461.5,645.32,-2042.7,671.06,6955.5,-4493.5,-85.613,-1859.5,-4364.1,-1297.8,602.01,3784.7,4471,4407.7,2228.5,-3512.8,-4959.4,-152.78,-4968.6,-1310.3,2659.4,-1499.8,-884.13,-342.08,2846.1,-4216.4,617.46,-1941,-763.26,-606.71,-1440.1,-832.94,2758.9,846.59,-1222,1895.6,378.34,-534.13,199.21,782.43,-600.58,1774.1,-274.47,-743.13,-428.4,-680.8,543.65,-1042.5,613.15,-531.29,632.24,50.33,253.92,-670.44,362.08,529.03,482.12,-743.1,250.09,-23.32,354.55,-151.5,70.558
67860,1994.4,30682,-49567,57472,-29122,-9111.8,-38997,76221,-6596.2,1.7583e+05,259.98,14117,-22946,-42368,25633,4986,27811,9058.5,-6571.2,-19163,-2896.6,14232,81978,31265,-26548,33000,-7632.4,-58303,-8683.4,19711,4468.1,-723.05,5353.8,-3394.8,-2266.2,-24981,-24302,-14078,-10360,9429.8,4728.9,205.05,21431,15406,11773,1325.1,-1386.7,-14700,7347.4,1463.6,-5673.1,183.04,-7383.6,-4082.7,-3896.2,158.32,-8696.3,-103.18,7463.9,13142,2290.9,-1476.7,8669.8,-203.08,3329.2,-5969,1693.9,12898,1512.7,4801.6,535.25,1441.4,-1926.9,2024.6,4915.3,1248.2,728.32,-1033.6,2518.6,-161.75,-748.67,1614.8,-1048.9,911.95,3014.7,235.41,805.96,184.58,-3143.5,2761.9,-270.77,-514.17,945.5,470.91,-372.62,1324.8,209.2,1420.3,-78.131,-220.58,-969.92,714.05,-111.52,178.57,16.269,986.64,1068.5,1167.6,-821.38,660.71,-784.77,-939.62,117.52,33.871,701.17,146.12,-570.42,-385.55
-80537,-33819,-31176,69302,29878,-7156.3,8382.1,47628,26606,10794,13415,-27056,11585,-18716,-39440,34903,24642,-17344,7217.3,2178.5,17411,13445,4562.1,3836.5,-32488,-3259.4,14750,-8006.9,-9383.3,2303.2,27005,-39674,13271,3507.9,-14260,11526,5498.7,3900.8,-31329,17389,-3264.7,12949,-32494,-4406.5,-8913.7,-11326,17225,-8791.9,17673,-13232,11633,20447,8381.6,-1457.1,-16133,-4310.6,-16961,-203.92,14556,1331.1,14454,4974.1,-7782.3,-8648.1,10094,540.23,9226.1,-9695.7,-9922.9,5346.6,3376.8,3280.8,-8334.8,2834.5,-4254.7,6640.8,2334.4,3387.3,2869.5,-4459.6,-4200.3,854.95,-835.11,-1905.1,-433.79,-5190.3,3118.8,-791.05,3292.5,3214,2417.9,327.98,-4211.4,615.91,1673.4,1171.5,-410.59,4671.3,421.84,-1708,-3358.8,1545.2,85.529,1969.7,929.57,-477.42,554.07,-1024.6,1066.8,-160.34,472.44,-672.01,-326.06,75.065,-225.79,855.71,415.82,103.16,4.6086
-49295,296.7,19980,-1328.9,16207,29119,4894.5,-16333,25924,-48881,36036,-20004,5303.2,-36108,-33005,33817,-11076,-41600,66383,-17553,26569,25137,-13108,35273,14979,-24562,3611,-60070,30296,42089,7079.9,-19023,-19057,-30699,26723,7959.8,11464,3761.6,43946,-6378.2,13370,3215.8,-6305.6,-15265,15120,-13747,-9424.8,3707.8,34586,-4945.6,-11379,-2412.6,-7869.6,-9537.9,4927.8,-2966.4,3192.2,12998,-11102,-3218.4,5844.5,-1508.8,-2886.2,-397.7,-3056.8,3367,3379.4,-4737.5,4955.4,-651.26,-4221.1,-5572.9,-643.62,-691.07,-4997.2,-342.33,2492.3,3795.7,-4656,3830,-326.34,1215,1071.2,971.84,-1223.3,466.43,-895.17,-2669,-1112.4,-589.79,-2513.6,741.33,-1889.8,-1013.7,260.74,2150.4,392.9,-504.16,-632.27,-39.627,1000.3,-1392.9,921.22,-950.34,-705.66,365.58,-404.88,-1391.7,-218.09,-501.58,614.5,143.77,14.487,-83.141,394.77,-208.38,345.35,-7.6765,129.51
1.6107e+05,-26414,-14104,-50217,-58314,23632,-46327,-49526,-77040,-2809.8,-64185,17876,26202,47205,-86173,-48768,11532,60046,-54443,-43263,-53308,9747.5,21631,34687,-17860,6869.2,28122,-9694.5,36118,-4119.6,32394,17386,-43107,22783,-11645,-17430,-23547,-4207.4,11788,28765,1366.7,-10212,-38450,19671,4722.9,-25579,466.6,3789.4,158.73,-6260.9,-3095.8,174.26,-8375.1,-5839.8,4263.9,-5684.1,-73.542,3779.2,-4155.7,-3681.7,-6797.5,-167.09,-2351.9,-2413,-115.15,3088.2,262.73,-40.097,1796.7,-2404.9,7.5114,-816.4,-3529.9,-74.318,-3795.9,-507.14,-1727.3,-2887.9,-1318.7,865.48,3339.6,-1191.3,-723.82,261.23,-2186.8,-969.37,1776.6,374.7,870.89,50.533,-2224.1,-243.95,1313.2,571.5,-525.73,-638.63,-27.815,132.25,49.581,517.55,302.16,180.74,552.3,624.51,-168.9,854.35,-68.492,370.44,-151.46,-328.14,223.27,301.07,374.65,-18.108,-70.181,34.529,179.81,-85.68,25.988
-69034,-12750,-52224,29982,-47399,-4321.9,-9220.7,-1603,64106,-18119,34675,-29773,11404,6359.8,-35602,14533,-512.88,-12359,-12799,-25666,-889.83,-14095,-45883,-9334.4,-11300,7445.7,-8457,-11306,43868,48808,35003,-25508,-25704,13929,-41508,-5114.6,27971,-21680,9440.6,17627,8962.3,14747,38684,29306,-4707.5,22656,-11654,10630,-9542,13739,7987.4,-1499.4,16049,14928,-6575.6,1997.8,-4311.6,1700.8,2441.3,2353.8,-6449,-1274.8,348.92,-5011.5,3590.3,-696.28,2331,-254.69,2096.3,-6098.1,-2127.2,-572.09,-94.946,-4669.8,-277.54,-62.825,-926.01,-1015.5,1384.4,186.66,3915.8,-2278.3,1065,-80.413,4838,-597.23,-1947.3,-1831.3,1239.4,666.82,964.27,-1884.6,1377.1,-1510.4,1512.4,-26.698,991.31,-454.09,4325.5,-1309.8,128.6,2203.3,-2577.9,2328.3,501.35,-763.88,2572.9,280.37,-837.98,1481.6,-477.51,228.19,115.57,823.2,-117.26,-66.562,473.83,387.86,-239.4
1.8188e+06,3.0913e+05,-95016,70203,-1.0779e+05,34539,-2.4569e+05,-17032,86410,65274,-10968,28105,-49994,-13651,-43641,4386.2,11847,-12229,13344,-6565.7,7487.9,-10007,-1901.5,-24345,3849.8,-16716,933.42,-1874.1,-11473,-6191.7,-13086,-1919.4,309.75,-6037,-95.46,750,6343.1,4673.9,-1214.6,642.61,-2137.9,-2510.5,-1959.9,-687.86,-1407.1,3631,-159.16,2489.4,4980.2,1004.9,1406.1,-235.52,508.61,-580.68,-9.3194,1302.5,-435.13,46.919,753.62,192.27,-131.02,637.98,1178,-1100.6,-2452.8,110.99,-587.75,-1049.2,-479.07,-1836.2,481.52,184.66,1148.2,424.15,559.43,305.44,36.076,-383.06,343.17,84.413,-268.98,489.61,-439.8,-53.346,363.11,215.13,-243.15,-517.88,315.56,31.856,-72.585,337.28,65.057,147.83,-176.13,-560.39,-282.07,-62.58,87.711,-188.49,150.71,103.37,70.282,-14.948,-17.355,-12.508,0.55439,-214.46,-140.75,-138.83,-80.335,107.01,-30.464,18.39,-11.786,59.641,-8.6298,104.39,-36.612
