archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,2.1039e-11,1,0.99952
1,10 08 2020: Y,2.1039e-11,1,0.99952
1,subtype: Y,1.0239e-07,1,0.98788
1,source: CCLE,0.0026125,1,0.72467
2,subtype: P,5.6866e-13,1,0.99991
2,NEW 10 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: P,5.6866e-13,1,0.99991
3,10 08 2020: N,1.7264e-13,1,0.99977
3,NEW 10 2020: N,4.9325e-10,1,0.97963
3,subtype: N,2.1689e-08,1,0.97686
4,subtype: A2,4.9325e-10,1,0.98038
4,10 08 2020: A2,1.6489e-09,1,0.88995
4,NEW 10 2020: A2,2.8855e-09,1,0.88994
5,subtype: A2,1.425e-06,1,0.80929
5,10 08 2020: A2,3.5399e-06,1,0.80742
5,NEW 10 2020: A2,5.4008e-06,1,0.80595
6,NEW 10 2020: A,6.6081e-06,1,0.66261
