archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,2.1039e-11,1,0.99952
1,10 08 2020: Y,2.1039e-11,1,0.99952
1,subtype: Y,1.0239e-07,1,0.98788
1,source: CCLE,0.015621,1,0.46537
1,subtype: uncl,0.049376,1,0.19683
1,10 08 2020: uncl,0.19076,1,0.055652
1,subtype: P,0.26199,1,0.021315
1,NEW 10 2020: P,0.26199,1,0.021315
1,10 08 2020: P,0.26199,1,0.021315
1,subtype: N,0.87186,1,1.2875e-05
1,NEW 10 2020: N,0.94816,1,1.1797e-07
1,source: Minna,0.99739,1,2.8859e-14
1,subtype: A,1,1,3.4284e-27
1,subtype: A2,1,1,4.5484e-12
1,NEW 10 2020: A,1,1,6.8189e-23
1,NEW 10 2020: A2,1,1,4.1543e-13
1,10 08 2020: A,1,1,2.6305e-27
1,10 08 2020: A2,1,1,9.0639e-13
1,10 08 2020: N,1,1,6.6457e-09
2,subtype: P,5.6866e-13,1,0.99991
2,NEW 10 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: P,5.6866e-13,1,0.99991
2,source: CCLE,0.61552,1,0.00056041
2,source: Minna,0.6254,1,0.00036244
2,subtype: A2,0.763,1,8.2496e-05
2,10 08 2020: A2,0.80436,1,3.1243e-05
2,NEW 10 2020: A2,0.82283,1,1.5012e-05
2,subtype: A,1,1,3.9686e-25
2,subtype: N,1,1,1.8084e-09
2,subtype: Y,1,1,5.0181e-06
2,subtype: uncl,1,1,9.9e-05
2,NEW 10 2020: A,1,1,7.5045e-22
2,NEW 10 2020: N,1,1,4.3787e-12
2,NEW 10 2020: Y,1,1,2.4087e-06
2,10 08 2020: A,1,1,9.9465e-26
2,10 08 2020: N,1,1,6.1886e-09
2,10 08 2020: Y,1,1,2.4087e-06
2,10 08 2020: uncl,1,1,0.00042969
3,10 08 2020: N,1.7264e-13,1,0.99977
3,NEW 10 2020: N,4.9325e-10,1,0.95212
3,subtype: N,2.1689e-08,1,0.97855
3,subtype: uncl,0.049376,1,0.21889
3,source: Minna,0.38448,1,0.0051873
3,source: CCLE,0.82173,1,5.3091e-06
3,subtype: A,1,1,1.7712e-26
3,subtype: A2,1,1,6.1364e-13
3,subtype: P,1,1,9.0578e-07
3,subtype: Y,1,1,4.3402e-06
3,NEW 10 2020: A,1,1,5.0553e-23
3,NEW 10 2020: A2,1,1,3.2222e-14
3,NEW 10 2020: P,1,1,9.0578e-07
3,NEW 10 2020: Y,1,1,1.8595e-06
3,10 08 2020: A,1,1,2.9642e-27
3,10 08 2020: A2,1,1,7.4111e-14
3,10 08 2020: P,1,1,9.0578e-07
3,10 08 2020: Y,1,1,1.8595e-06
3,10 08 2020: uncl,1,1,0.00045
4,subtype: A2,4.9325e-10,1,0.99231
4,10 08 2020: A2,1.6489e-09,1,0.95195
4,NEW 10 2020: A2,2.8855e-09,1,0.95138
4,source: CCLE,0.17698,1,0.036844
4,source: Minna,0.93769,1,1.1703e-08
4,subtype: A,1,1,3.439e-26
4,subtype: N,1,1,5.2032e-10
4,subtype: P,1,1,6.764e-07
4,subtype: Y,1,1,3.0745e-06
4,subtype: uncl,1,1,9.9e-05
4,NEW 10 2020: A,1,1,4.0329e-23
4,NEW 10 2020: N,1,1,4.6199e-13
4,NEW 10 2020: P,1,1,6.764e-07
4,NEW 10 2020: Y,1,1,1.0761e-06
4,10 08 2020: A,1,1,6.2963e-27
4,10 08 2020: N,1,1,3.1966e-09
4,10 08 2020: P,1,1,6.764e-07
4,10 08 2020: Y,1,1,1.0761e-06
4,10 08 2020: uncl,1,1,0.00045
5,subtype: A2,0.073282,1,0.12432
5,10 08 2020: A2,0.098998,1,0.11263
5,NEW 10 2020: A2,0.11358,1,0.099515
5,10 08 2020: A,0.29103,1,0.002301
5,source: Minna,0.38448,1,0.0038759
5,NEW 10 2020: N,0.47546,1,0.0010299
5,subtype: N,0.56769,1,0.00065151
5,subtype: Y,0.58105,1,0.0011059
5,NEW 10 2020: A,0.78778,1,1.3118e-06
5,source: CCLE,0.82173,1,2.2623e-06
5,subtype: A,0.89019,1,5.0252e-09
5,subtype: P,1,1,9.5485e-07
5,subtype: uncl,1,1,9.9e-05
5,NEW 10 2020: P,1,1,9.5485e-07
5,NEW 10 2020: Y,1,1,1.0761e-06
5,10 08 2020: N,1,1,4.3839e-09
5,10 08 2020: P,1,1,9.5485e-07
5,10 08 2020: Y,1,1,1.0761e-06
5,10 08 2020: uncl,1,1,0.00042969
6,NEW 10 2020: A,6.6081e-06,1,0.6439
6,subtype: A,4.1614e-05,1,0.22227
6,10 08 2020: A,5.2963e-05,1,0.23622
6,source: Minna,0.057365,1,0.14366
6,source: CCLE,0.98873,1,8.3825e-12
6,subtype: A2,1,1,2.4874e-12
6,subtype: N,1,1,1.0397e-09
6,subtype: P,1,1,5.4685e-07
6,subtype: Y,1,1,3.0745e-06
6,subtype: uncl,1,1,0.00010368
6,NEW 10 2020: A2,1,1,2.0058e-13
6,NEW 10 2020: N,1,1,2.0968e-12
6,NEW 10 2020: P,1,1,5.4685e-07
6,NEW 10 2020: Y,1,1,9.7472e-07
6,10 08 2020: A2,1,1,4.1788e-13
6,10 08 2020: N,1,1,3.6184e-09
6,10 08 2020: P,1,1,5.4685e-07
6,10 08 2020: Y,1,1,9.7472e-07
6,10 08 2020: uncl,1,1,0.00045
