archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO BLEB ASSEMBLY,3.3202e-07,1.6202,1.4362,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,0.00022676,1.5121,1.2153,1,1
1,GO MEMBRANE RAFT ASSEMBLY,5.9841e-06,1.4257,1.5296,1,1
1,GO REGULATION OF T HELPER 2 CELL DIFFERENTIATION,6.5896e-07,1.2317,1.0351,1,1
1,GO NEGATIVE REGULATION OF VIRAL ENTRY INTO HOST CELL,5.4977e-07,1.1931,1.0876,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,0.00037661,1.1881,0.92433,1,1
1,GO NEGATIVE REGULATION OF HIPPO SIGNALING,5.7413e-06,1.1139,0.93694,1,1
1,GO REGULATION OF PHOSPHOLIPASE A2 ACTIVITY,1.6015e-06,1.1023,0.93513,1,1
1,GO REGULATION OF TAU PROTEIN KINASE ACTIVITY,0.00026903,1.0756,0.99079,1,1
1,GO T HELPER 2 CELL DIFFERENTIATION,4.3763e-07,1.0692,0.99872,1,1
1,GO POSITIVE REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,2.4692e-06,1.0451,0.88742,1,1
1,GO POSITIVE REGULATION BY SYMBIONT OF ENTRY INTO HOST,2.0033e-05,1.0386,0.93995,1,1
1,GO NEUTROPHIL HOMEOSTASIS,1.7118e-05,1.0288,0.89865,1,1
1,GO MODULATION BY SYMBIONT OF ENTRY INTO HOST,6.0198e-07,1.0286,0.99449,1,1
1,GO HYALURONAN CATABOLIC PROCESS,1.1788e-07,1.0272,1.0718,1,1
1,GO REGULATION OF PLASMINOGEN ACTIVATION,0.00017186,1.0145,0.84865,1,1
1,GO TROPHOBLAST CELL MIGRATION,1.6015e-06,1.0064,0.87657,1,1
1,GO TRAIL ACTIVATED APOPTOTIC SIGNALING PATHWAY,1.2366e-07,0.99939,1.0143,1,1
1,GO GLYCOPROTEIN CATABOLIC PROCESS,2.3654e-06,0.98795,0.85679,1,1
1,GO NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,0.00045924,0.96203,0.71444,1,1
1,GO RESPONSE TO INTERFERON ALPHA,5.508e-06,0.94685,1.038,1,1
1,GO REGULATION OF VIRAL ENTRY INTO HOST CELL,1.7474e-06,0.93268,0.93571,1,1
1,GO REGULATION OF METANEPHROS DEVELOPMENT,1.2971e-07,0.92007,0.89872,1,1
1,GO NEGATIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,0.00030804,0.90973,0.71503,1,1
1,GO PYRIMIDINE RIBONUCLEOSIDE METABOLIC PROCESS,1.2962e-05,0.90936,0.83235,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION VIA MHC CLASS IB,6.2786e-05,0.90396,0.81338,1,1
1,GO POSITIVE REGULATION OF INTERLEUKIN 13 PRODUCTION,1.1964e-05,0.89181,0.75812,1,1
1,GO NEGATIVE REGULATION OF CELL KILLING,0.00017186,0.8802,0.692,1,1
1,GO T HELPER 1 CELL DIFFERENTIATION,2.1831e-07,0.87942,0.83308,1,1
1,GO NEGATIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,1.349e-05,0.87587,0.94636,1,1
1,GO GLOMERULAR EPITHELIAL CELL DEVELOPMENT,1.7474e-06,0.86993,0.7984,1,1
1,GO ENDODERMAL CELL DIFFERENTIATION,1.2308e-06,0.86597,0.88208,1,1
1,GO POSITIVE REGULATION OF MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS,4.1802e-07,0.86182,0.83025,1,1
1,GO NEGATIVE REGULATION OF INTERLEUKIN 8 PRODUCTION,5.0683e-06,0.85104,0.68467,1,1
1,GO GLOMERULAR MESANGIUM DEVELOPMENT,2.6307e-05,0.84298,0.68034,1,1
1,GO RENAL SYSTEM VASCULATURE DEVELOPMENT,4.4712e-06,0.84221,0.79417,1,1
1,GO MEMBRANE RAFT ORGANIZATION,2.7343e-05,0.83709,0.87857,1,1
