archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: A,0.011234,1,0.18419
1,subtype: A,0.032893,1,0.11669
1,10 08 2020: A,0.037705,1,0.10717
1,source: Minna,0.057365,1,0.23617
1,subtype: A2,0.47546,1,0.0046887
1,10 08 2020: A2,0.53538,1,0.001927
1,NEW 10 2020: A2,0.5643,1,0.0012964
1,source: CCLE,0.98873,1,6.0863e-12
1,subtype: N,1,1,1.5031e-09
1,subtype: P,1,1,9.0578e-07
1,subtype: Y,1,1,4.1172e-06
1,subtype: uncl,1,1,0.00010368
1,NEW 10 2020: N,1,1,3.3166e-12
1,NEW 10 2020: P,1,1,9.0578e-07
1,NEW 10 2020: Y,1,1,1.6083e-06
1,10 08 2020: N,1,1,8.6086e-09
1,10 08 2020: P,1,1,9.0578e-07
1,10 08 2020: Y,1,1,1.6083e-06
1,10 08 2020: uncl,1,1,0.00042969
2,source: CCLE,0.00025953,1,0.94496
2,subtype: Y,0.0033559,1,0.53159
2,NEW 10 2020: Y,0.0057012,1,0.29377
2,10 08 2020: Y,0.0057012,1,0.29377
2,10 08 2020: uncl,0.0092437,1,0.35036
2,NEW 10 2020: N,0.073282,1,0.19431
2,subtype: N,0.081298,1,0.18714
2,subtype: uncl,0.34761,1,0.021713
2,10 08 2020: N,0.49754,1,0.0038632
2,subtype: P,0.66638,1,0.00089313
2,NEW 10 2020: P,0.66638,1,0.00089313
2,10 08 2020: P,0.66638,1,0.00089313
2,subtype: A2,0.94816,1,2.0582e-07
2,10 08 2020: A2,0.96049,1,5.1059e-08
2,NEW 10 2020: A2,0.96559,1,3.028e-08
2,10 08 2020: A,0.99574,1,4.9929e-14
2,NEW 10 2020: A,0.99854,1,5.7459e-16
2,subtype: A,0.99962,1,2.8554e-18
2,source: Minna,0.99999,1,2.9093e-24
3,source: CCLE,0.0026125,1,0.78088
3,10 08 2020: uncl,0.0092437,1,0.35036
3,NEW 10 2020: N,0.017596,1,0.43096
3,subtype: N,0.017649,1,0.40935
3,subtype: Y,0.032541,1,0.28716
3,NEW 10 2020: Y,0.045961,1,0.21188
3,10 08 2020: Y,0.045961,1,0.21188
3,10 08 2020: N,0.20046,1,0.046947
3,subtype: uncl,0.34761,1,0.024087
3,subtype: P,0.66638,1,0.00081704
3,NEW 10 2020: P,0.66638,1,0.00081704
3,10 08 2020: P,0.66638,1,0.00081704
3,subtype: A2,0.94816,1,1.6832e-07
3,10 08 2020: A2,0.96049,1,4.5483e-08
3,NEW 10 2020: A2,0.96559,1,2.0732e-08
3,10 08 2020: A,0.99574,1,3.6129e-15
3,NEW 10 2020: A,0.99854,1,8.8117e-17
3,subtype: A,0.99962,1,2.0458e-19
3,source: Minna,0.99974,1,1.0207e-18
