"","V1","V2","V3"
"MT-RNR2",-0.583190278374083,-0.64354714035876,-1.78575400974388
"MT-CO3",-0.226830398226013,-0.607820179634614,-1.74172865877655
"MT-ND4",-0.155300720476506,-0.621963591658826,-1.78355637372723
"MT-ATP6",-0.295301394504703,-0.594123625849364,-1.46075383136415
"MT-ND1",-0.216753155157655,-0.651815553541437,-1.21243150407197
"RPL7A",0.497970077822671,0.135324723613581,-0.976063690302467
"MT-CYB",-0.154973511447094,-0.573047127002971,-1.08550035491148
"MT-RNR1",-0.0686867085636239,-0.307106305855744,-0.851361359267001
"MT-ND2",-0.170779884871806,-0.501081800333744,-1.02457052192866
"EEF1A1",0.372908743542581,0.0579583302818543,-0.409988137904833
"MT-CO1",-0.216237662767953,-0.618605042481708,-0.756611713716375
"RPS12",0.241115780928792,-0.0353046832054266,-0.268261656824584
"MT-CO2",-0.162158163170652,-0.574286177908941,-0.851075779762684
"TUBB",0.278448648868457,0.774752750961305,-0.36386484184267
"RPS19",0.17804423627069,-0.0961237392995104,-0.147251962487172
"TPT1",0.204301770266923,-0.0592929309842508,-0.302436599514002
"RPL27A",0.10939533132233,-0.125504036724863,-0.041807738350912
"RPL23",0.320036693366564,-0.176772369850211,-0.433288298334543
"RPL13A",0.210977088430988,-0.11669783104374,-0.31337531444849
"RPL37A",0.179046849740903,-0.130204218418533,-0.040671314350143
"ACTG1",0.345960109521052,0.526455720515029,0.360799993022588
"RPS28",0.216304141775533,-0.174060251109725,-0.510775320061183
"RPS8",0.320456760998828,-0.223311495703868,-0.122743971207599
"GNAS",0.241003578719233,0.336769884628239,0.108473147965536
"RPL10A",0.305568531606644,-0.0183035876449202,-0.42603150716372
"PTMA",0.173771529788289,0.483111251241361,0.606925499530547
"RPS29",0.0442260653903901,-0.124439056967744,-0.125894027004922
"ACTB",0.0247819501550245,0.318959874422238,0.521769391457673
"RPL11",0.179140520696316,-0.046438645287214,-0.327092264377607
"RPL12",0.228780304723334,-0.0831780737021224,-0.289004044352012
"RPS16",0.149974862388601,-0.142436111419102,-0.0340553976390258
"RPL19",0.155375019708974,-0.189926498232199,-0.283304382079555
"RPL31",0.145557955749377,-0.108063844351539,-0.415303778588376
"HSP90AB1",0.297613219978513,0.0666460753991096,0.209773619151881
"RPS27A",0.136570422735863,-0.0130400196794006,0.250836857865804
"RPS18",0.113763754609706,-0.22501603337872,-0.24309356732418
"H3F3B",0.284574685995654,0.593907973070339,0.0366365250751787
"RPLP2",0.0485990894500091,-0.156222685733522,-0.0911642666595
"TUBA1A",0.256388096907725,0.346853864137893,-0.166650226634019
"RPLP1",-0.0208738306845719,-0.123763510736736,0.0689654317550231
"RPS5",0.239683419030069,-0.109753669052557,-0.145673284647852
"HBB",-0.150822083177666,-0.160637879644613,-0.729469005323528
"RPS24",0.0477289055704078,-0.0939796492275448,-0.374248203712382
