"","V1","V2","V3"
"MT-RNR2",0.787930029790607,0.354444471848713,-5.80121915662159
"MT-CO3",1.12022385842448,-0.0830153702855288,-5.90305910832737
"MT-ND4",1.11908980250696,-0.0796543925748208,-5.90498763094211
"MT-ATP6",0.910018254863232,0.217594649790058,-5.90219016865017
"MT-ND1",1.36878518347602,-0.507621368055025,-5.61764106864287
"RPL7A",0.56774239621042,0.710152118963786,-5.92697597328426
"MT-CYB",1.50392581609431,-0.800277175406527,-5.21792637656128
"MT-RNR1",1.16627631432779,-0.237183620866032,-5.5373110936323
"MT-ND2",1.54096487716863,-0.847795981295075,-5.2453811401728
"EEF1A1",0.686318536066732,0.378935127246818,-5.32446836468159
"MT-CO1",1.87178847471549,-1.7208172458362,-3.63762739778345
"RPS12",0.235374020902058,0.830055408379959,-4.56319099004866
"MT-CO2",1.80480882477633,-1.4494039223408,-4.34779095103973
"TUBB",-0.8180162786096,1.86270420217647,-2.90696341348556
"RPS19",1.06758075655273,-0.52030847223869,-3.85046340157066
"TPT1",0.604711946428373,0.440440316501836,-5.09303396920299
"RPL27A",0.0984137379009017,0.438961128685658,-2.15916693894466
"RPL23",0.817132813021343,0.126837762723257,-5.00801284497726
"RPL13A",0.546665401349975,0.403822700715999,-4.5785763428284
"RPL37A",0.462677373316315,0.139564487449577,-3.05542589029544
"ACTG1",1.17688051648271,-1.68520390184302,-0.0460020936899277
"RPS28",0.838083533865453,0.185265678449172,-5.31981310965259
"RPS8",1.01817041929677,-0.48947523836367,-3.69874126273887
"GNAS",-0.0414640568274764,0.185247522890895,-0.722005694360734
"RPL10A",1.25394920981902,-0.417096499862952,-5.33893474809471
"PTMA",-0.880661771446279,0.146017595411315,4.17930920830826
"RPS29",-0.303792937077336,1.11649511016717,-2.60366161038611
"ACTB",-0.924062340878026,0.228111772563128,4.18603418159196
"RPL11",0.348566918438455,0.756132485382698,-4.90568770650072
"RPL12",0.914775854441548,0.00563085908941381,-5.09189295514575
"RPS16",0.462245425322496,0.0155428201239404,-2.57940903430459
"RPL19",0.115342847356873,0.882824793449824,-4.02930410663949
"RPL31",0.222623200136875,0.915311765371281,-4.79768246803407
"HSP90AB1",1.25636678301252,-1.40810929101135,-1.4249663042154
"RPS27A",0.1646225748302,-0.833880007927176,2.31408232938065
"RPS18",0.453095525810928,0.342056337928067,-3.8286441490086
"H3F3B",0.970949897015346,-0.759480083588573,-2.51197506276365
"RPLP2",-0.0733600854644041,0.671470702406999,-2.20044403587782
"TUBA1A",0.109941061919166,1.05976882285098,-4.89078054036207
"RPLP1",-0.437821311221317,0.0763492120979692,2.18269373836633
"RPS5",1.18759573005147,-0.576597585153528,-4.32539579393569
"HBB",-0.54745627516223,1.93025268564059,-4.47096626579967
"RPS24",0.147697456176931,1.04371554930202,-4.97454503958163
"RPL37",-0.245061761084266,-0.646012648770841,3.98371340538567
"RPS11",-0.0783442252561425,0.523832019198574,-1.52921431533204
"MT-ND5",1.79124554280086,-1.44444901342992,-4.26575297498355
"RPL32",0.614288611164349,0.390602962492652,-4.94048272996391
"RPS2",0.31503457047026,-1.20315626143215,3.02031908057882
"ENO1",1.3078152981808,-0.636635600899531,-4.82226392931609
"RPL8",0.505177865332272,0.312658073342,-3.98754433532713
"RPL27",-0.334349645796967,1.52120269730903,-4.11669050923237
"HIST1H4C",-1.08880734719409,0.783926657711007,2.86997028279205
"HBA2",-0.547049726830694,1.94271177024776,-4.55094652830292
"RPL5",1.25688759253775,-1.34948844554656,-1.66625640628538
