"","V1","V2","V3"
"PC_1",-4.17744893447992,-58.0607794909826,371.85743690855
"PC_2",-61.1608644083977,72.6314948605117,74.9180797870948
"PC_3",8.15294241854684,-8.64290454107555,-39.1758387034277
"PC_4",-1.5834624102508,1.08262509035831,12.6521386870391
"PC_5",0.887584274129559,-0.633457883342588,-10.9459395069009
"PC_6",-0.516040164986894,0.763923244611957,10.5745907280048
"PC_7",-0.0333573561840753,-0.341490004151082,3.16497480415179
"PC_8",0.624407256233752,-1.76490645364531,2.79227782897592
"PC_9",-0.709026940970617,0.275238971812213,-6.07815348844089
"PC_10",-0.268895504622731,-0.755292521225093,2.18243235509031
"PC_11",0.969017949139986,-1.31431088624743,-2.68367729925973
