cell_line	drug	aa	aa_obs	emax	emax_obs	einf	ec50	ic50	hill
COLO668	10058-F4		0.026270090036272974		0.8901				
COLO668	10074-G5	0.004963816848004522	0.03856803779529795	0.859417069809499	0.8594333333	0.4726666532307063	1e-05	1e-05	14.305076415184674
COLO668	17-AAG	1.6316627551133323	1.6152483969616944	0.1652317902470409	0.1402666667	0.16520835056554609	1.1102527712162254e-07	1.3189422073218336e-07	2.328693908938081
COLO668	17-DMAG	1.9699691739824565	1.9218324152616977	0.12005263464647739	0.013000000000000001	0.11992089769977109	5.769375519398635e-08	6.773971255167954e-08	1.7083381636581536
COLO668	1-Methyl-[D]-tryptophan		0.05173457853202596		0.9609333333				
COLO668	1st Precursur Intermediate to TDP 665759	0.04809332127617187	0.0396579349870328	0.8827333357095616	0.8827333333	0.8827330751288962	3.889391760541504e-06		13.78439402210905
COLO668	2-Fluoroadenosine	0.6351672862276341	0.6470672787840941	0.04637751449703954	0.04650000000000001	0.0411795371508732	2.1789319435906678e-06	2.2343769465051435e-06	3.420506889421679
COLO668	2nd Precursur Intermediate to TDP 665759	0.44126841500139896	0.41887545106267504	0.0011722927854083765	-0.00253333333	1.858403486849111e-27	3.620831210110412e-06	3.620831210110412e-06	6.6421339214964465
COLO668	3-AP	1.2167527963736944	1.2795016538827164	0.024243512851518646	0.022566666670000003	0.02423366781772797	5.662778890272554e-07	5.733433503040097e-07	4.006610144036943
COLO668	3-Bromopyruvic acid		0.028420907617992514		0.9329000000000001				
COLO668	4SC-202	0.7113740490934606	0.7714442882379702	0.2797333222919882	0.2575666667	0.2797333222919874	1.0288363504640651e-06	1.0861140538494448e-06	15.131080306093773
COLO668	7-Ethyl-10-hydroxycamptothecin		3.7567988119105293		0.00203333333				
COLO668	AB-1010	0.00541033170339239	0.0355619860702701	0.8510558115655735	0.8510666667	0.17772093522793858	1e-05	1e-05	13.190329314529745
COLO668	abiraterone		0.0		1.023366667				
COLO668	ABT-199	0.21836509426830478	0.36067256570029216	0.1787566216060417	0.17826666670000002	4.933559700843555e-13	6.406370462860886e-06	6.406370462862733e-06	3.4242554394867586
COLO668	ABT-263	1.1470084589184713	1.1707959738823894	0.010090068945852796	-3.333333e-05	3.663722080574435e-17	7.169961550499074e-07	7.169961550499076e-07	1.7402628487378462
COLO668	ABT-348	0.9223577685758703	1.0179573933414159	0.21158787786737646	0.1962	2.854037590112222e-21	1.6433189436241712e-06	1.6433189436241712e-06	0.72839275045574
COLO668	ABT-737	0.9692241302612947	1.0816349353834378	0.04229016224055362	0.01966666667	1.5995306769349063e-20	1.10659647995512e-06	1.10659647995512e-06	1.4173424787227857
COLO668	ABT-869	0.37713934413959055	0.27413766555949304	0.10253333339869332	0.1025333333	0.10253199780799978	3.799916874344092e-06	3.863326546657626e-06	13.867172134963118
COLO668	ABT-888	0.08603397473051437	0.08475189184341526	0.9707162916751821	0.9612	0.9697032835596228	6.099148913085443e-09		0.45447449740646434
COLO668	AC-220	0.04302359665072868	0.061487618065757865	0.9111666666998854	0.9111666667	0.9111666666998112	3.2785502062739256e-06		24.937207544470915
COLO668	Acrichine	0.43486652485576877	0.5447360024810203	0.0730478945668043	-0.00086666667	1.8414463820757295e-17	3.7821587611600183e-06	3.7821587611600183e-06	2.6131979159802956
