Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Camptothecin,1003,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma,-4.0677227918880954,.72769146456022504,.10000000000000001,.11083822420530266,-.9531835245153879,GDSC2
Camptothecin,1003,DMS-114,687983,SCLC,lung,lung_small_cell_carcinoma,-1.2632484613666271,.93422970937038907,.10000000000000001,.098039693493813015,.41341170122583348,GDSC2
Camptothecin,1003,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma,-2.5338405756011717,.87594237766036409,.10000000000000001,.08183615975498372,-.20573645722941153,GDSC2
Camptothecin,1003,NCI-H1048,687995,SCLC,lung,lung_small_cell_carcinoma,-4.1985413359751567,.69386744759816033,.10000000000000001,.11286134484444159,-1.0169302295011144,GDSC2
Camptothecin,1003,NCI-H1092,687997,SCLC,lung,lung_small_cell_carcinoma,-.57975987873281287,.94383153491280969,.10000000000000001,.075622547669325496,.74646956654861052,GDSC2
Camptothecin,1003,NCI-H1417,688001,SCLC,lung,lung_small_cell_carcinoma,-4.4289517273343204,.6725990022711239,.10000000000000001,.12544479561296384,-1.1292071497659011,GDSC2
Camptothecin,1003,NCI-H1694,688006,SCLC,lung,lung_small_cell_carcinoma,-4.4905944174548686,.65954866458215067,.10000000000000001,.10175426661567961,-1.1592450806193895,GDSC2
Camptothecin,1003,NCI-H1963,688010,SCLC,lung,lung_small_cell_carcinoma,-2.7627549097513668,.82643238155683219,.10000000000000001,.11854884610971129,-.31728436221423578,GDSC2
Camptothecin,1003,NCI-H2029,688011,SCLC,lung,lung_small_cell_carcinoma,-1.7058855731069071,.92850040327737593,.10000000000000001,.084199466361340236,.19771860071966013,GDSC2
Camptothecin,1003,NCI-H209,688013,SCLC,lung,lung_small_cell_carcinoma,-5.5689866181371555,.52520458595066333,.10000000000000001,.1023479309529054,-1.6847359424505104,GDSC2
Camptothecin,1003,NCI-H2141,688014,SCLC,lung,lung_small_cell_carcinoma,-.94038114750937607,.937269547867432,.10000000000000001,.078014937817254229,.5707420518242533,GDSC2
Camptothecin,1003,NCI-H2227,688018,SCLC,lung,lung_small_cell_carcinoma,-2.0316720372434562,.84608967319655337,.10000000000000001,.11322379436857023,.038965774332642686,GDSC2
Camptothecin,1003,NCI-H345,688021,SCLC,lung,lung_small_cell_carcinoma,.45457658376567123,.9523333329884297,.10000000000000001,.19436305848137769,1.250492461704745,GDSC2
Camptothecin,1003,NCI-H446,688023,SCLC,lung,lung_small_cell_carcinoma,-2.0225635384071503,.9060431798536529,.10000000000000001,.11607298124241471,.043404264244244276,GDSC2
Camptothecin,1003,NCI-H526,688025,SCLC,lung,lung_small_cell_carcinoma,-4.9775795394165288,.60507461560370523,.10000000000000001,.11928650657575411,-1.396548569347013,GDSC2
Camptothecin,1003,NCI-H64,688026,SCLC,lung,lung_small_cell_carcinoma,1.7959001693264898,.98329823017528117,.10000000000000001,.030995242398187555,1.9041074327002796,GDSC2
Camptothecin,1003,NCI-H69,688027,SCLC,lung,lung_small_cell_carcinoma,-1.749722366720621,.9283563379742451,.10000000000000001,.058158013906503186,.17635732377291574,GDSC2
Camptothecin,1003,NCI-H82,688031,SCLC,lung,lung_small_cell_carcinoma,-2.8978118473789864,.87555597030547605,.10000000000000001,.14407547838208767,-.38309639841526455,GDSC2
Camptothecin,1003,LU-139,713878,SCLC,lung,lung_small_cell_carcinoma,-1.8584841809911472,.91605062036430007,.10000000000000001,.09677974008923218,.12335866569733356,GDSC2
Camptothecin,1003,SBC-5,713880,SCLC,lung,lung_small_cell_carcinoma,-3.6890531900572459,.76767452351432219,.10000000000000001,.134879171433616,-.76866121872585846,GDSC2
Camptothecin,1003,LU-135,713899,SCLC,lung,lung_small_cell_carcinoma,-2.4207632858395245,.87636787223277146,.10000000000000001,.088621022324063062,-.15063490659432691,GDSC2
Camptothecin,1003,SHP-77,724872,SCLC,lung,lung_small_cell_carcinoma,-1.2073140328742078,.96383492764864198,.10000000000000001,.072661710324838813,.44066804730837744,GDSC2
Camptothecin,1003,CPC-N,753547,SCLC,lung,lung_small_cell_carcinoma,-1.1767607303636658,.95742439067044316,.10000000000000001,.11393558220066312,.45555639800109715,GDSC2
Camptothecin,1003,DMS-79,753551,SCLC,lung,lung_small_cell_carcinoma,-4.3475825937998467,.69734843548491721,.10000000000000001,.084791243624362231,-1.0895566996973369,GDSC2
Camptothecin,1003,IST-SL2,753565,SCLC,lung,lung_small_cell_carcinoma,-4.8588178267349855,.61532689080376035,.10000000000000001,.14659060301202068,-1.338677050330018,GDSC2
Camptothecin,1003,LU-165,753589,SCLC,lung,lung_small_cell_carcinoma,-.86525114037019091,.92431374436182656,.10000000000000001,.067556010775017911,.60735223147500583,GDSC2
Camptothecin,1003,MS-1,753594,SCLC,lung,lung_small_cell_carcinoma,-2.5614209201258027,.89861551564852626,.10000000000000001,.11694855598551106,-.2191761121199772,GDSC2
Camptothecin,1003,SBC-3,753610,SCLC,lung,lung_small_cell_carcinoma,-4.5970327302263136,.6519977575010546,.10000000000000001,.090957213397915473,-1.2111115172226301,GDSC2
Camptothecin,1003,COR-L88,906808,SCLC,lung,lung_small_cell_carcinoma,-1.5863493281272769,.90786779865583822,.10000000000000001,.086425910714800241,.25596754238917463,GDSC2
Camptothecin,1003,DMS-53,907295,SCLC,lung,lung_small_cell_carcinoma,-3.3245354971140837,.76170894440680814,.10000000000000001,.097991484261190281,-.59103501139961645,GDSC2
Camptothecin,1003,NCI-H524,908483,SCLC,lung,lung_small_cell_carcinoma,-2.2464616797184394,.92483611183055148,.10000000000000001,.10664348835550561,-.065699294892789042,GDSC2
Camptothecin,1003,COLO-668,910692,SCLC,lung,lung_small_cell_carcinoma,-3.479166537677334,.75530898280225045,.10000000000000001,.12299600960656024,-.66638533266493616,GDSC2
Camptothecin,1003,COR-L279,910937,SCLC,lung,lung_small_cell_carcinoma,-4.7139513227277643,.63313138018197457,.10000000000000001,.1391541935029979,-1.268084900281963,GDSC2
Camptothecin,1003,NCI-H250,924241,SCLC,lung,lung_small_cell_carcinoma,1.5768138846780506,.94123020741822694,.10000000000000001,.07270691710156188,1.7973486482223817,GDSC2
Camptothecin,1003,NCI-H196,1240186,SCLC,lung,lung_small_cell_carcinoma,1.6142456156481297,.98236439406021681,.10000000000000001,.044641880975341094,1.8155887955035399,GDSC2
Camptothecin,1003,NCI-H211,1240189,SCLC,lung,lung_small_cell_carcinoma,-3.1978623540235978,.80686450483527039,.10000000000000001,.11970716030015097,-.52930832319530541,GDSC2
