archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,subtype: YAP1,2.5601e-08,1,0.97664
1,subtype: POU2F3,5.3838e-05,1,0.79201
1,source: CCLE,0.19967,1,0.07108
1,source: tumor,0.60104,1,0.00015885
1,source: Minna,0.89108,1,7.6653e-07
1,subtype: ASCL1,1,1,1.0873e-39
1,subtype: NEUROD1,1,1,1.8783e-14
2,subtype: NEUROD1,1.1102e-16,1,0.99999
2,source: Minna,0.014038,1,0.32356
2,source: CCLE,0.37474,1,0.0038845
2,source: tumor,0.99972,1,7.1844e-21
2,subtype: ASCL1,1,1,1.1238e-58
2,subtype: POU2F3,1,1,3.2238e-09
2,subtype: YAP1,1,1,2.6411e-07
3,subtype: ASCL1,0.00033874,1,0.087377
3,source: CCLE,0.088033,1,0.12593
3,source: Minna,0.10644,1,0.085154
3,source: tumor,0.99972,1,3.0565e-20
3,subtype: NEUROD1,1,1,5.6473e-16
3,subtype: POU2F3,1,1,1.8393e-09
3,subtype: YAP1,1,1,2.1432e-07
4,source: tumor,0.0010422,1,0.76723
4,subtype: POU2F3,0.25938,1,0.03727
4,subtype: ASCL1,0.35692,1,0.0073887
4,subtype: NEUROD1,0.87693,1,2.1073e-06
4,source: Minna,0.89108,1,8.1373e-07
4,subtype: YAP1,1,1,2.374e-07
4,source: CCLE,1,1,1.3254e-20
5,source: tumor,0.050386,1,0.27456
5,subtype: NEUROD1,0.085013,1,0.22787
5,subtype: ASCL1,0.5567,1,1.0288e-05
5,source: Minna,0.89108,1,5.9312e-07
5,source: CCLE,0.91803,1,4.502e-07
5,subtype: POU2F3,1,1,1.7951e-09
5,subtype: YAP1,1,1,1.8048e-07
