archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,2.1039e-11,1,0.99952
1,10 08 2020: Y,2.1039e-11,1,0.99952
1,subtype: Y,1.0239e-07,1,0.98788
1,source: CCLE,0.015621,1,0.37299
1,subtype: uncl,0.049376,1,0.19683
1,subtype: P,0.061816,1,0.22302
1,NEW 10 2020: P,0.061816,1,0.22302
1,10 08 2020: P,0.061816,1,0.22302
1,source: Minna,0.99739,1,4.3972e-15
1,subtype: A,1,1,2.9031e-27
1,subtype: A2,1,1,3.6099e-12
1,subtype: N,1,1,1.6273e-09
1,NEW 10 2020: A,1,1,8.4987e-23
1,NEW 10 2020: A2,1,1,3.0819e-13
1,NEW 10 2020: N,1,1,4.8341e-12
1,10 08 2020: A,1,1,8.6372e-27
1,10 08 2020: A2,1,1,7.0885e-13
1,10 08 2020: N,1,1,9.6448e-09
1,10 08 2020: uncl,1,1,0.00045
2,subtype: P,5.6866e-13,1,0.99991
2,NEW 10 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: uncl,0.19076,1,0.055652
2,source: CCLE,0.61552,1,0.0012468
2,source: Minna,0.6254,1,0.0011022
2,subtype: N,0.87186,1,1.8933e-05
2,subtype: A2,0.94816,1,3.4854e-07
2,NEW 10 2020: N,0.94816,1,2.0273e-07
2,10 08 2020: A2,0.96049,1,9.4181e-08
2,NEW 10 2020: A2,0.96559,1,5.1095e-08
2,subtype: A,1,1,6.4254e-25
2,subtype: Y,1,1,4.5454e-06
2,subtype: uncl,1,1,0.00010368
2,NEW 10 2020: A,1,1,1.2691e-21
2,NEW 10 2020: Y,1,1,2.3e-06
2,10 08 2020: A,1,1,2.2489e-25
2,10 08 2020: N,1,1,8.6086e-09
2,10 08 2020: Y,1,1,2.3e-06
3,10 08 2020: N,4.3261e-11,1,0.99441
3,NEW 10 2020: N,4.9325e-10,1,0.95212
3,subtype: N,2.1689e-08,1,0.95132
3,subtype: uncl,0.049376,1,0.21889
3,10 08 2020: uncl,0.19076,1,0.055652
3,source: CCLE,0.3746,1,0.0082035
3,source: Minna,0.82302,1,5.1816e-06
3,subtype: A,1,1,4.6336e-26
3,subtype: A2,1,1,9.2301e-14
3,subtype: P,1,1,1.0473e-06
3,subtype: Y,1,1,4.3402e-06
3,NEW 10 2020: A,1,1,6.2914e-23
3,NEW 10 2020: A2,1,1,6.4377e-15
3,NEW 10 2020: P,1,1,1.0473e-06
3,NEW 10 2020: Y,1,1,2.0833e-06
3,10 08 2020: A,1,1,1.1732e-26
3,10 08 2020: A2,1,1,1.4807e-14
3,10 08 2020: P,1,1,1.0473e-06
3,10 08 2020: Y,1,1,2.0833e-06
4,subtype: A2,4.9325e-10,1,0.99173
4,10 08 2020: A2,1.6489e-09,1,0.95139
4,NEW 10 2020: A2,2.8855e-09,1,0.94969
4,source: CCLE,0.3746,1,0.01541
4,source: Minna,0.82302,1,2.3161e-05
4,subtype: A,1,1,3.4029e-25
4,subtype: N,1,1,7.1639e-10
4,subtype: P,1,1,7.7198e-07
4,subtype: Y,1,1,4.3402e-06
4,subtype: uncl,1,1,9.9e-05
4,NEW 10 2020: A,1,1,3.7011e-22
4,NEW 10 2020: N,1,1,6.2678e-13
4,NEW 10 2020: P,1,1,7.7198e-07
4,NEW 10 2020: Y,1,1,1.8871e-06
4,10 08 2020: A,1,1,2.2667e-26
4,10 08 2020: N,1,1,2.3217e-09
4,10 08 2020: P,1,1,7.7198e-07
4,10 08 2020: Y,1,1,1.8871e-06
4,10 08 2020: uncl,1,1,0.00045
5,NEW 10 2020: A,6.6081e-06,1,0.56616
5,subtype: A,4.1614e-05,1,0.33724
5,10 08 2020: A,5.2963e-05,1,0.1249
5,source: Minna,0.17827,1,0.043849
5,source: CCLE,0.94263,1,5.461e-09
5,subtype: A2,1,1,2.1281e-12
5,subtype: N,1,1,1.2727e-09
5,subtype: P,1,1,8.2046e-07
5,subtype: Y,1,1,2.3478e-06
5,subtype: uncl,1,1,9.9e-05
5,NEW 10 2020: A2,1,1,1.129e-13
5,NEW 10 2020: N,1,1,3.7805e-12
5,NEW 10 2020: P,1,1,8.2046e-07
5,NEW 10 2020: Y,1,1,7.4142e-07
5,10 08 2020: A2,1,1,2.3521e-13
5,10 08 2020: N,1,1,6.3042e-09
5,10 08 2020: P,1,1,8.2046e-07
5,10 08 2020: Y,1,1,7.4142e-07
5,10 08 2020: uncl,1,1,0.00042969
