archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: Y,2.1039e-11,1,0.99952
1,10 08 2020: Y,2.1039e-11,1,0.99952
1,subtype: Y,1.0239e-07,1,0.98788
1,source: CCLE,0.015621,1,0.57548
1,subtype: uncl,0.049376,1,0.19683
1,subtype: P,0.061816,1,0.18673
1,NEW 10 2020: P,0.061816,1,0.18673
1,10 08 2020: P,0.061816,1,0.18673
1,source: Minna,0.99739,1,6.6991e-14
1,subtype: A,1,1,1.8377e-27
1,subtype: A2,1,1,4.12e-12
1,subtype: N,1,1,1.1604e-09
1,NEW 10 2020: A,1,1,3.5625e-23
1,NEW 10 2020: A2,1,1,3.0819e-13
1,NEW 10 2020: N,1,1,2.6814e-12
1,10 08 2020: A,1,1,3.5325e-27
1,10 08 2020: A2,1,1,7.5336e-13
1,10 08 2020: N,1,1,7.9132e-09
1,10 08 2020: uncl,1,1,0.00045
2,subtype: P,5.6866e-13,1,0.99991
2,NEW 10 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: P,5.6866e-13,1,0.99991
2,10 08 2020: uncl,0.19076,1,0.055652
2,source: CCLE,0.61552,1,0.00019888
2,source: Minna,0.6254,1,0.00016325
2,subtype: N,0.87186,1,7.5428e-06
2,subtype: A2,0.94816,1,2.2234e-07
2,NEW 10 2020: N,0.94816,1,2.0412e-07
2,10 08 2020: A2,0.96049,1,5.5156e-08
2,NEW 10 2020: A2,0.96559,1,3.271e-08
2,subtype: A,1,1,4.9254e-26
2,subtype: Y,1,1,3.509e-06
2,subtype: uncl,1,1,9.9e-05
2,NEW 10 2020: A,1,1,2.7658e-22
2,NEW 10 2020: Y,1,1,1.4355e-06
2,10 08 2020: A,1,1,1.1708e-26
2,10 08 2020: N,1,1,6.4811e-09
2,10 08 2020: Y,1,1,1.4355e-06
3,10 08 2020: N,1.7264e-13,1,0.99977
3,NEW 10 2020: N,4.9325e-10,1,0.95212
3,subtype: N,2.1689e-08,1,0.97855
3,subtype: uncl,0.049376,1,0.21889
3,source: Minna,0.38448,1,0.0035466
3,source: CCLE,0.82173,1,2.3029e-06
3,subtype: A,1,1,8.9082e-27
3,subtype: A2,1,1,7.5409e-13
3,subtype: P,1,1,8.1379e-07
3,subtype: Y,1,1,3.9314e-06
3,NEW 10 2020: A,1,1,4.4468e-23
3,NEW 10 2020: A2,1,1,4.2356e-14
3,NEW 10 2020: P,1,1,8.1379e-07
3,NEW 10 2020: Y,1,1,1.7755e-06
3,10 08 2020: A,1,1,1.4908e-27
3,10 08 2020: A2,1,1,1.0354e-13
3,10 08 2020: P,1,1,8.1379e-07
3,10 08 2020: Y,1,1,1.7755e-06
3,10 08 2020: uncl,1,1,0.00045
4,subtype: A2,4.9325e-10,1,0.98021
4,10 08 2020: A2,1.6489e-09,1,0.88979
4,NEW 10 2020: A2,2.8855e-09,1,0.88927
4,source: CCLE,0.3746,1,0.0039343
4,source: Minna,0.82302,1,7.2199e-06
4,subtype: A,1,1,1.3678e-27
4,subtype: N,1,1,5.53e-10
4,subtype: P,1,1,6.764e-07
4,subtype: Y,1,1,1.5446e-06
4,subtype: uncl,1,1,9.9e-05
4,NEW 10 2020: A,1,1,4.1328e-25
4,NEW 10 2020: N,1,1,4.592e-13
4,NEW 10 2020: P,1,1,6.764e-07
4,NEW 10 2020: Y,1,1,4.2906e-07
4,10 08 2020: A,1,1,8.4816e-30
4,10 08 2020: N,1,1,9.7371e-10
4,10 08 2020: P,1,1,6.764e-07
4,10 08 2020: Y,1,1,4.2906e-07
4,10 08 2020: uncl,1,1,0.00045
5,NEW 10 2020: A,6.6081e-06,1,0.64352
5,subtype: A,4.1614e-05,1,0.33724
5,10 08 2020: A,5.2963e-05,1,0.1249
5,source: Minna,0.17827,1,0.023831
5,source: CCLE,0.94263,1,9.0657e-09
5,subtype: A2,1,1,2.4874e-12
5,subtype: N,1,1,1.7155e-09
5,subtype: P,1,1,6.9925e-07
5,subtype: Y,1,1,2.3478e-06
5,subtype: uncl,1,1,9.9e-05
5,NEW 10 2020: A2,1,1,1.5919e-13
5,NEW 10 2020: N,1,1,4.5484e-12
5,NEW 10 2020: P,1,1,6.9925e-07
5,NEW 10 2020: Y,1,1,7.0795e-07
5,10 08 2020: A2,1,1,3.3165e-13
5,10 08 2020: N,1,1,6.6457e-09
5,10 08 2020: P,1,1,6.9925e-07
5,10 08 2020: Y,1,1,7.0795e-07
5,10 08 2020: uncl,1,1,0.00045
