archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,NEW 10 2020: A,0.011234,1,0.17398
1,subtype: A,0.032893,1,0.11669
1,10 08 2020: A,0.037705,1,0.104
1,source: Minna,0.057365,1,0.21307
1,subtype: A2,0.47546,1,0.0039062
1,10 08 2020: A2,0.53538,1,0.0016054
1,NEW 10 2020: A2,0.5643,1,0.0009807
1,source: CCLE,0.98873,1,2.02e-12
1,subtype: N,1,1,1.3416e-09
1,subtype: P,1,1,9.0578e-07
1,subtype: Y,1,1,3.8739e-06
1,subtype: uncl,1,1,0.00010368
1,NEW 10 2020: N,1,1,2.9059e-12
1,NEW 10 2020: P,1,1,9.0578e-07
1,NEW 10 2020: Y,1,1,1.6083e-06
1,10 08 2020: N,1,1,7.1552e-09
1,10 08 2020: P,1,1,9.0578e-07
1,10 08 2020: Y,1,1,1.6083e-06
1,10 08 2020: uncl,1,1,0.00042969
2,source: CCLE,0.0026125,1,0.45657
2,NEW 10 2020: Y,0.0057012,1,0.57178
2,10 08 2020: Y,0.0057012,1,0.57178
2,subtype: Y,0.032541,1,0.31338
2,10 08 2020: N,0.20046,1,0.067306
2,NEW 10 2020: N,0.21913,1,0.029529
2,subtype: N,0.25857,1,0.025275
2,subtype: uncl,0.34761,1,0.024087
2,subtype: A2,0.47546,1,0.0051316
2,10 08 2020: A2,0.53538,1,0.0027938
2,NEW 10 2020: A2,0.5643,1,0.0018796
2,subtype: P,0.66638,1,0.00076153
2,NEW 10 2020: P,0.66638,1,0.00076153
2,10 08 2020: P,0.66638,1,0.00076153
2,subtype: A,0.99962,1,4.606e-19
2,10 08 2020: A,0.99969,1,5.6559e-19
2,source: Minna,0.99974,1,1.6944e-19
2,NEW 10 2020: A,1,1,5.9746e-23
2,10 08 2020: uncl,1,1,0.00042969
3,10 08 2020: A2,0.026455,1,0.35332
3,NEW 10 2020: A2,0.031915,1,0.3489
3,subtype: A2,0.073282,1,0.17456
3,source: CCLE,0.17698,1,0.023031
3,subtype: Y,0.58105,1,0.0030237
3,NEW 10 2020: Y,0.62594,1,0.0016707
3,10 08 2020: Y,0.62594,1,0.0016707
3,subtype: P,0.66638,1,0.0012896
3,NEW 10 2020: P,0.66638,1,0.0012896
3,10 08 2020: P,0.66638,1,0.0012896
3,subtype: A,0.72691,1,5.4609e-05
3,NEW 10 2020: N,0.763,1,0.00019799
3,10 08 2020: N,0.83604,1,6.528e-05
3,source: Minna,0.93769,1,1.3922e-08
3,10 08 2020: A,0.97361,1,5.3362e-10
3,NEW 10 2020: A,0.98478,1,6.0639e-11
3,subtype: N,1,1,2.1219e-09
3,subtype: uncl,1,1,0.00010368
3,10 08 2020: uncl,1,1,0.00045
4,NEW 10 2020: Y,1.8483e-05,1,0.92023
4,10 08 2020: Y,1.8483e-05,1,0.92023
4,subtype: Y,0.00019889,1,0.85513
4,source: CCLE,0.00025953,1,0.95347
4,subtype: uncl,0.049376,1,0.21889
4,subtype: P,0.66638,1,0.00073651
4,NEW 10 2020: P,0.66638,1,0.00073651
4,10 08 2020: P,0.66638,1,0.00073651
4,subtype: A2,0.763,1,9.131e-05
4,NEW 10 2020: N,0.763,1,9.131e-05
4,10 08 2020: A2,0.80436,1,3.4539e-05
4,NEW 10 2020: A2,0.82283,1,2.4549e-05
4,10 08 2020: N,0.83604,1,7.1107e-05
4,subtype: N,0.87186,1,1.764e-05
4,10 08 2020: A,0.99574,1,2.825e-14
4,NEW 10 2020: A,0.99854,1,4.6684e-16
4,subtype: A,0.99962,1,1.863e-18
4,source: Minna,0.99999,1,2.1803e-24
4,10 08 2020: uncl,1,1,0.00042969
5,subtype: N,0.0026409,1,0.68552
5,NEW 10 2020: N,0.0029966,1,0.70718
5,10 08 2020: uncl,0.0092437,1,0.35036
5,source: CCLE,0.015621,1,0.48811
5,subtype: Y,0.032541,1,0.31338
5,NEW 10 2020: Y,0.045961,1,0.25307
5,10 08 2020: Y,0.045961,1,0.25307
5,10 08 2020: N,0.054524,1,0.21695
5,subtype: uncl,0.34761,1,0.024087
5,subtype: P,0.66638,1,0.00080224
5,NEW 10 2020: P,0.66638,1,0.00080224
5,10 08 2020: P,0.66638,1,0.00080224
5,subtype: A2,0.94816,1,1.5689e-07
5,10 08 2020: A2,0.96049,1,4.6341e-08
5,NEW 10 2020: A2,0.96559,1,2.7482e-08
5,source: Minna,0.99739,1,3.9355e-14
5,10 08 2020: A,0.99969,1,1.2656e-19
5,subtype: A,1,1,2.3253e-26
5,NEW 10 2020: A,1,1,5.5488e-23
